date,symbol,open,high,low,close,volume,turnover,trades,source,source_priority,source_timestamp,raw_payload_hash,validation_status,validation_warnings,source_open,source_high,source_low,source_close,source_ohlc_invalid,ohlc_repaired,ohlc_invalid
2026-09-22,ABAN.N0000,1036.0,1070.0,1025.0,1026.75,917.0,948853.0,21.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,1036.0,1070.0,1025.0,1026.75,False,False,False
2026-09-22,AFSL.N0000,88.7,88.7,88.7,88.7,115.0,10200.5,2.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,88.7,88.7,88.7,88.7,False,False,False
2026-09-22,AEL.N0000,77.0,79.6,76.4,79.0,65072.0,5056507.4,101.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,77.0,79.6,76.4,79.0,False,False,False
2026-09-22,ACL.N0000,92.0,95.0,91.5,93.3,374655.0,34494264.2,206.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,92.0,95.0,91.5,93.3,False,False,False
2026-09-22,APLA.N0000,160.0,162.0,155.5,160.0,36847.0,5840347.25,68.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,160.0,162.0,155.5,160.0,False,False,False
2026-09-22,ACME.N0000,3.9,4.1,3.9,4.0,347319.0,1372499.4,109.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,3.9,4.1,3.9,4.0,False,False,False
2026-09-22,AGAL.N0000,51.0,52.4,51.0,51.5,77748.0,3979938.5,35.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,51.0,52.4,51.0,51.5,False,False,False
2026-09-22,AGST.N0000,12.8,13.3,12.5,12.9,354712.0,4545244.2,92.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,12.8,13.3,12.5,12.9,False,False,False
2026-09-22,AGST.X0000,11.5,11.5,10.3,10.7,729.0,7898.3,7.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,11.5,11.5,10.3,10.7,False,False,False
2026-09-22,AHUN.N0000,86.9,86.9,85.0,86.6,4448.0,384270.8,32.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,86.9,86.9,85.0,86.6,False,False,False
2026-09-22,SPEN.N0000,140.0,140.0,138.0,138.25,4244.0,588783.75,24.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,140.0,140.0,138.0,138.25,False,False,False
2026-09-22,ALLI.N0000,304.5,306.0,302.0,302.0,10731.0,3253610.25,16.0,cse_trade_summary_current,10,2026-09-22,892d67cc4be1fce25569c15536cc4249292504ad271827edbcf63d78e47fc4e4,accepted,,304.5,306.0,302.0,302.0,False,False,False
