symbol,gics_code
AAF.N0000,4020
AAF.P0000,4020
AAF.R0000,4020
AAF.R0001,4020
AAIC.N0000,4030
ABAN.N0000,2520
ABL.N0000,4010
ABL.R0000,4010
ACAP.N0000,4020
ACL.N0000,2010
ACME.N0000,1510
ACME.R0000,1510
AEL.N0000,2010
AFS.N0000,2010
AFS.R0000,2010
AFSL.N0000,4020
AFSL.R0000,4020
AGAL.N0000,3020
AGAL.R0000,3020
AGPL.N0000,3020
AGST.N0000,1510
AGST.R0000,1510
AGST.R0001,1510
AGST.X0000,1510
AHPL.N0000,2530
AHUN.N0000,2530
AINS.N0000,4030
AINV.N0000,4020
ALHP.N0000,2530
ALHP.R0000,2530
ALLI.N0000,4020
ALUF.N0000,2010
ALUF.R0000,2010
ALUM.N0000,1510
AMF.N0000,4020
AMF.R0000,4020
AMSL.N0000,3510
APLA.N0000,1510
ARPI.N0000,4020
ASCO.N0000,6020
ASCO.R0000,6020
ASHO.N0000,2010
ASIR.N0000,3510
ASIY.N0000,4020
ASPH.N0000,1510
ASPH.R0000,1510
ASPM.N0000,3020
ATL.N0000,4030
ATLL.N0000,4030
AUTO.N0000,2550
BALA.N0000,3020
BALA.R0000,3020
BBH.N0000,2530
BERU.N0000,2530
BERU.R0000,2530
BFL.N0000,3020
BFN.N0000,4020
BFN.R0000,4020
BIL.N0000,3020
BIL.R0000,3020
BLI.N0000,4020
BLUE.N0000,2520
BLUE.R0000,2520
BLUE.R0001,2520
BLUE.X0000,2520
BOGA.N0000,1510
BOPL.N0000,3020
BPPL.N0000,3030
BREW.N0000,3020
BRR.N0000,2530
BRWN.N0000,2010
BRWN.R0000,2010
BUKI.N0000,3020
CABO.N0000,6020
CABO.R0000,6020
CALF.N0000,4020
CALF.R0000,4020
CALH.N0000,4020
CARE.N0000,2020
CARG.N0000,3010
CARS.N0000,3020
CBNK.N0000,4010
CCS.N0000,3020
CDB.N0000,4020
CDB.R0000,4020
CDB.R0001,4020
CDB.X0000,4020
CERA.N0000,2010
CFI.N0000,4020
CFI.R0000,4020
CFIN.N0000,4020
CFLB.N0000,2010
CFLB.R0000,2010
CFT.N0000,3010
CFVF.N0000,4020
CHL.N0000,3510
CHL.R0000,3510
CHL.R0001,3510
CHL.X0000,3510
CHMX.N0000,1510
CHOT.N0000,2530
CHOU.N0000,6020
CIC.N0000,1510
CIC.X0000,1510
CIND.N0000,2010
CINS.N0000,4030
CINS.X0000,4030
CINV.N0000,4020
CIT.N0000,4020
CITH.N0000,2530
CITH.R0000,2530
CITW.N0000,2530
CITW.R0000,2530
CLC.N0000,4020
CLND.N0000,6020
COCO.N0000,3020
COCO.R0000,3020
COCO.R0001,3020
COCO.X0000,3020
COCR.N0000,4020
COLO.N0000,2550
COMB.N0000,4010
COMB.R0000,4010
COMB.R0001,4010
COMB.X0000,4010
COMD.N0000,6020
CONN.N0000,2530
CPRT.N0000,6020
CRL.N0000,4020
CRL.R0000,4020
CSD.N0000,6020
CSEC.N0000,4020
CSF.N0000,4020
CSF.R0000,4020
CSLK.N0000,2010
CTBL.N0000,2550
CTBL.R0000,2550
CTC.N0000,3020
CTEA.N0000,3020
CTHR.N0000,3010
CTLD.N0000,6020
CWM.N0000,2550
DFCC.N0000,4010
DFCC.R0000,4010
DIAL.N0000,5010
DIMO.N0000,2550
DIPD.N0000,1510
DIST.N0000,3020
DOCK.N0000,2010
DOCK.R0000,2010
DPL.N0000,2520
EAST.N0000,6020
EBCR.N0000,2010
EBCR.R0000,2010
ECL.N0000,3510
EDEN.N0000,2530
EDEN.R0000,2530
ELPL.N0000,3020
EMER.N0000,2550
EML.N0000,2020
ETWO.N0000,6020
EXT.N0000,2020
GEST.N0000,2020
GHLL.N0000,2530
GLAS.N0000,1510
GOOD.N0000,4020
GRAN.N0000,3020
GREG.N0000,2520
GSF.N0000,4020
GSF.R0000,4020
GUAR.N0000,4020
HAPU.N0000,3020
HARI.N0000,3020
HASU.N0000,4030
HAYC.N0000,1510
HAYL.N0000,2010
HDFC.N0000,4010
HELA.N0000,2520
HELA.R0000,2520
HEXP.N0000,2520
HHL.N0000,2010
HNB.N0000,4010
HNB.R0000,4010
HNB.R0001,4010
HNB.X0000,4010
HOPL.N0000,3020
HPFL.N0000,5510
HPL.N0000,3020
HPWR.N0000,5510
HSIG.N0000,2530
HSIG.R0000,2530
HUEJ.N0000,6020
HUNA.N0000,2530
HUNT.N0000,2550
HVA.N0000,3020
HVA.R0000,3020
IDL.N0000,2010
INDO.N0000,4020
INME.N0000,4030
JAT.N0000,1510
JETS.N0000,2530
JETS.R0000,2530
JFP.N0000,1510
JINS.N0000,4030
JKH.N0000,2010
JKH.R0000,2010
JKL.N0000,2550
KAHA.N0000,3020
KAPI.N0000,2010
KCAB.N0000,2010
KDL.N0000,2520
KFP.N0000,3020
KGAL.N0000,3020
KHC.N0000,2530
KHL.N0000,2530
KOTA.N0000,3020
KOTA.R0000,3020
KPHL.N0000,2550
KVAL.N0000,3020
KZOO.N0000,6020
KZOO.R0000,6020
LALU.N0000,1510
LAMB.N0000,3020
LCEM.N0000,1510
LCEY.N0000,2010
LCEY.R0000,2010
LDEV.N0000,3020
LDEV.R0000,3020
LFIN.N0000,4020
LGL.N0000,1010
LGL.X0000,1010
LHCL.N0000,3510
LHL.N0000,2530
LIOC.N0000,1010
LION.N0000,3020
LITE.N0000,2010
LITE.R0000,2010
LLMP.N0000,3020
LLMP.X0000,3020
LLUB.N0000,1510
LMF.N0000,3020
LOFC.N0000,4020
LOFC.R0000,4020
LOLC.N0000,4020
LPL.N0000,5510
LPL.X0000,5510
LPRT.N0000,2020
LUMX.N0000,2010
LVEF.N0000,5510
LVEF.R0000,5510
LVEN.N0000,4020
LVEN.R0000,4020
LWL.N0000,2010
MADU.N0000,3020
MAL.N0000,3020
MAL.X0000,3020
MARA.N0000,2530
MARA.R0000,2530
MASK.N0000,3020
MBSL.N0000,4020
MBSL.R0000,4020
MCPL.N0000,3020
MEL.N0000,2010
MELS.N0000,3020
MERC.N0000,4020
MFL.N0000,4020
MFPE.N0000,3020
MGT.N0000,2520
MHDL.N0000,6020
MRH.N0000,2530
MULL.N0000,3510
NAMU.N0000,3020
NDB.N0000,4010
NDB.R0000,4010
NEH.N0000,2530
NEST.N0000,3020
NHL.N0000,3510
NIFL.N0000,4020
NIFL.R0000,4020
NTB.N0000,4010
NTB.R0001,4010
NTB.X0000,4010
ODEL.N0000,2550
ODEL.R0000,2550
OFEQ.N0000,2010
ONAL.N0000,6020
ONAL.R0000,6020
OSEA.N0000,6020
OSEA.R0000,6020
PABC.N0000,4010
PABC.R0000,4010
PACK.N0000,1510
PALM.N0000,2530
PALM.R0000,2530
PAP.N0000,5510
PARA.N0000,2020
PARQ.N0000,1510
PCHH.N0000,1510
PCP.N0000,3510
PDL.N0000,6020
PEG.N0000,2530
PEG.R0000,2530
PHAR.N0000,6020
PINS.N0000,4030
PKME.N0000,2030
PLC.N0000,4020
PMB.N0000,4020
PMB.R0000,4020
RAL.N0000,3020
RAL.R0000,3020
RCH.N0000,2530
RCL.N0000,2010
REEF.N0000,2530
REEF.R0000,2530
REG.N0000,2520
RENU.N0000,2530
REXP.N0000,1510
RFL.N0000,2530
RGEM.N0000,2520
RHL.N0000,2010
RHL.R0000,2010
RHL.R0001,2010
RHL.X0000,2010
RHTL.N0000,2530
RICH.N0000,2010
RIL.N0000,2550
RIL.R0000,2550
RPBH.N0000,2530
RWSL.N0000,3020
SAMP.N0000,4010
SAMP.R0000,4010
SCAP.N0000,4030
SCAP.R0000,4030
SDB.N0000,4010
SDB.R0000,4010
SELI.N0000,4020
SEMB.N0000,4020
SEMB.R0000,4020
SEMB.R0001,4020
SEMB.X0000,4020
SERV.N0000,2530
SEYB.N0000,4010
SEYB.R0000,4010
SEYB.R0001,4010
SEYB.X0000,4010
SFCL.N0000,4020
SFCL.R0000,4020
SFIN.N0000,4020
SFIN.R0000,4020
SFL.N0000,4020
SFL.P0000,4020
SFS.N0000,4020
SHAL.N0000,4020
SHAW.N0000,6020
SHL.N0000,2010
SHL.R0000,2010
SHL.W0000,2010
SHOT.N0000,2530
SHOT.R0000,2530
SHOT.R0001,2530
SHOT.X0000,2530
SIGV.N0000,2530
SIL.N0000,1510
SING.N0000,6020
SINH.N0000,3510
SINI.N0000,2520
SINS.N0000,2550
SIRA.N0000,2010
SLND.N0000,6020
SLTL.N0000,5010
SMOT.N0000,2550
SOY.N0000,3020
SPEN.N0000,2010
STAF.N0000,2530
STAF.R0000,2530
SUN.N0000,3020
SWAD.N0000,3030
SWAD.R0000,3030
TAFL.N0000,3020
TAJ.N0000,2530
TANG.N0000,2530
TAP.N0000,2520
TFC.N0000,4020
TFC.X0000,4020
TFIL.N0000,4020
TILE.N0000,2010
TJL.N0000,2520
TKYO.N0000,1510
TKYO.X0000,1510
TPL.N0000,3020
TRAN.N0000,2530
TSML.N0000,3020
TYRE.N0000,2510
UAL.N0000,4030
UBC.N0000,4010
UBF.N0000,4020
UBF.R0000,4020
UCAR.N0000,1510
UDPL.N0000,3020
UML.N0000,2550
VFIN.N0000,4020
VFIN.R0000,4020
VLL.N0000,5510
VLL.R0001,5510
VLL.X0000,5510
VONE.N0000,5510
WAPO.N0000,4020
WATA.N0000,3020
YORK.N0000,6020
