gics_code,sector_name
1010,Energy
1510,Materials
2010,Capital Goods
2020,Commercial & Professional Services
2030,Transportation
2510,Automobiles & Components
2520,Consumer Durables & Apparel
2530,Consumer Services
2550,Retailing
3010,Food & Staples Retailing
3020,"Food, Beverage & Tobacco"
3030,Household & Personal Products
3510,Health Care Equipment & Services
4010,Banks
4020,Diversified Financials
4030,Insurance
4510,Software & Services
5010,Telecommunication Services
5510,Utilities
6020,Real Estate Management&Development
