rank,source_id,display_name,family,probe_type,recommendation,total_score,reachable,status_code,has_cse_coverage,has_2026_dates,has_verifiable_dates,has_report_date,has_per_row_dates,required_fields_present,current_snapshot,recommendation_reason,url
1,cse_chart_data_aspi,CSE chartData ASPI,indices,api,accepted_candidate,12.6,True,200,True,True,True,False,True,True,False,date-bearing source for non-OHLCV family,https://www.cse.lk/api/chartData
2,world_bank_lka_interest_rate,World Bank Sri Lanka real interest rate API,macro_rates,api,accepted_candidate,12.6,True,200,True,True,True,False,True,True,False,date-bearing source for non-OHLCV family,https://api.worldbank.org/v2/country/LKA/indicator/FR.INR.RINR?format=json&per_page=5
3,lbo_wordpress_posts,LBO WordPress posts API,news_announcements,api,accepted_candidate,10.4,True,200,True,True,True,False,True,False,False,date-bearing source for non-OHLCV family,https://www.lankabusinessonline.com/wp-json/wp/v2/posts?per_page=5&orderby=date
4,cbsl_exchange_rates_html,CBSL exchange rates page,macro_rates,html,cross_check_only,8.4,True,200,True,True,False,False,False,True,False,useful fields observed but not enough for primary ingestion,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates
5,marketscreener_comb_html,MarketScreener COMB.N0000 page,ohlcv,html,quarantine,7.6,True,200,True,True,False,False,False,True,False,OHLCV candidate lacks verifiable row/report dates,https://www.marketscreener.com/quote/stock/COMMERCIAL-BANK-OF-CEYLON-20701211/
6,daily_mirror_business_html,Daily Mirror business page,news_announcements,html,cross_check_only,7.6,True,200,True,True,False,False,False,True,False,useful fields observed but not enough for primary ingestion,https://www.dailymirror.lk/business
7,cse_trade_summary_current,CSE tradeSummary API,ohlcv,api,quarantine,6.6,True,200,True,False,False,False,False,False,True,current snapshot only; cannot fill historical 2026 gap,https://www.cse.lk/api/tradeSummary
8,cse_daily_report_cdn_pdf,CSE StockMarketDaily CDN PDF,ohlcv,download,rejected,6.0,True,403,False,False,False,False,False,False,False,HTTP status 403,https://cdn.cse.lk/cse-daily/StockMarketDaily%28SMD%2931-05-2026.pdf
9,cse_announcements_api,CSE announcements API,news_announcements,api,rejected,6.0,True,404,False,False,False,False,False,False,False,HTTP status 404,https://www.cse.lk/api/announcement
10,yahoo_comb_chart,Yahoo Finance COMB.CM chart API,ohlcv,api,rejected,5.8,True,200,False,True,False,False,False,False,False,no observed CSE or Sri Lanka coverage,https://query1.finance.yahoo.com/v8/finance/chart/COMB.CM?period1=1767139200&period2=1780185600&interval=1d
11,stooq_comb_csv,Stooq COMB daily CSV probe,ohlcv,download,rejected,5.8,True,200,False,True,False,False,False,False,False,no observed CSE or Sri Lanka coverage,https://stooq.com/q/d/l/?s=comb.lk&i=d&d1=20260101
12,eodhd_comb_demo,EODHD COMB.CSE demo EOD API,ohlcv,api,rejected,5.2,True,403,False,False,False,False,False,False,False,HTTP status 403,https://eodhd.com/api/eod/COMB.CSE?from=2026-01-01&api_token=demo&fmt=json
13,nasdaq_data_link_search,Nasdaq Data Link CSE search,ohlcv,api,rejected,5.2,True,403,False,False,False,False,False,False,False,HTTP status 403,https://data.nasdaq.com/api/v3/datasets.json?query=Colombo+Stock+Exchange+COMB
14,cse_all_stock_current,CSE allStock API,ohlcv,api,rejected,5.0,True,404,False,False,False,False,False,False,True,HTTP status 404,https://www.cse.lk/api/allStock
15,tradingview_comb_browser,TradingView COMB.N0000 browser page,ohlcv,browser,quarantine,4.8,True,200,True,True,False,False,False,False,False,OHLCV candidate lacks verifiable row/report dates,https://www.tradingview.com/symbols/CSELK-COMB.N0000/
16,investing_aspi_historical_browser,Investing.com CSE All-Share historical data,indices,browser,rejected,4.8,True,403,True,True,False,False,False,False,False,HTTP status 403,https://www.investing.com/indices/cse-all-share-historical-data
17,dailyft_business_html,Daily FT business page,news_announcements,html,rejected,3.6,True,404,False,False,False,False,False,False,False,HTTP status 404,https://www.ft.lk/business
18,alpha_vantage_symbol_search,Alpha Vantage symbol search,ohlcv,api,rejected,1.7,False,,False,False,False,False,False,False,False,requires unset API key ALPHAVANTAGE_API_KEY,https://www.alphavantage.co/query
19,finnhub_exchange_symbols,Finnhub Sri Lanka exchange symbols,listings,api,rejected,1.7,False,,False,False,False,False,False,False,False,requires unset API key FINNHUB_API_KEY,https://finnhub.io/api/v1/stock/symbol
