symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
AAF.N0000,AAF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,58.099998474121094,
AAIC.N0000,AAIC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,95.30000305175781,
ABAN.N0000,ABAN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,1250.0,
ABL.N0000,ABL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,29.899999618530273,
ACAP.N0000,ACAP-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,7.0,
ACL.N0000,ACL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,104.25,
ACME.N0000,ACME-N0000.CM,200,105,2026-01-02,2026-05-29,True,1,10.699999809265137,
AEL.N0000,AEL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,74.0999984741211,
AFS.N0000,AFS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,41.599998474121094,
AFSL.N0000,AFSL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,96.0999984741211,
AGAL.N0000,AGAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,58.5,
AGPL.N0000,AGPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,18.200000762939453,
AGST.N0000,AGST-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,10.800000190734863,
AGST.X0000,AGST-X0000.CM,200,104,2026-01-02,2026-05-29,True,4,12.199999809265137,
AHPL.N0000,AHPL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,59.0,
AHUN.N0000,AHUN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,113.5,
AINS.N0000,AINS-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,35.0,
ALHP.N0000,ALHP-N0000.CM,200,106,2026-01-02,2026-05-29,True,0,0.8999999761581421,
ALLI.N0000,ALLI-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,367.0,
ALUM.N0000,ALUM-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,19.0,
AMCL.N0000,AMCL-N0000.CM,404,0,,,False,0,,HTTP status 404
AMF.N0000,AMF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,64.19999694824219,
AMSL.N0000,AMSL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,15.300000190734863,
