,SECURITY_DA,PRICE,
1991-08-26 00:00:00,ABAN,90,
1991-09-13 00:00:00,ABAN,90,
1991-09-17 00:00:00,ABAN,90,
1991-09-25 00:00:00,ABAN,95,
1991-09-26 00:00:00,ABAN,100,
1991-09-27 00:00:00,ABAN,100,
1991-09-30 00:00:00,ABAN,105,
1991-10-01 00:00:00,ABAN,105,
1991-10-02 00:00:00,ABAN,105,
1991-10-03 00:00:00,ABAN,100,
1991-10-09 00:00:00,ABAN,105,
1991-10-11 00:00:00,ABAN,110,
1991-10-14 00:00:00,ABAN,110,
1991-10-16 00:00:00,ABAN,110,
1991-10-17 00:00:00,ABAN,105,
1991-10-18 00:00:00,ABAN,110,
1991-10-21 00:00:00,ABAN,110,
1991-10-23 00:00:00,ABAN,115,
1991-10-24 00:00:00,ABAN,115,
1991-10-25 00:00:00,ABAN,115,
1991-10-28 00:00:00,ABAN,115,
1991-10-30 00:00:00,ABAN,121.75,
1991-11-06 00:00:00,ABAN,130,
1991-11-07 00:00:00,ABAN,130,
1991-11-12 00:00:00,ABAN,140,
1991-11-13 00:00:00,ABAN,150,
1991-11-15 00:00:00,ABAN,155,
1991-11-19 00:00:00,ABAN,150.25,
1991-11-26 00:00:00,ABAN,165,
1991-11-28 00:00:00,ABAN,165,
1991-12-02 00:00:00,ABAN,0,
1991-12-03 00:00:00,ABAN,169.75,
1991-12-04 00:00:00,ABAN,169.5,
1991-12-06 00:00:00,ABAN,160.25,
1991-12-17 00:00:00,ABAN,161,
1992-01-08 00:00:00,ABAN,185,
1992-01-14 00:00:00,ABAN,0,
1992-01-17 00:00:00,ABAN,120,
1992-01-27 00:00:00,ABAN,130,
1992-01-29 00:00:00,ABAN,143,
1992-02-14 00:00:00,ABAN,138,
1992-02-18 00:00:00,ABAN,145,
1992-03-03 00:00:00,ABAN,133,
1992-03-04 00:00:00,ABAN,135,
1992-03-06 00:00:00,ABAN,135,
1992-03-11 00:00:00,ABAN,135,
1992-03-13 00:00:00,ABAN,135,
1992-03-20 00:00:00,ABAN,135,
1992-03-23 00:00:00,ABAN,135,
1992-03-24 00:00:00,ABAN,135,
1992-03-25 00:00:00,ABAN,135,
