,SECURITY_DA,PRICE
1991-08-27 00:00:00,SAMP,23
1991-08-28 00:00:00,SAMP,23
1991-08-29 00:00:00,SAMP,22
1991-09-02 00:00:00,SAMP,17.5
1991-09-03 00:00:00,SAMP,20
1991-09-04 00:00:00,SAMP,21
1991-09-05 00:00:00,SAMP,21
1991-09-06 00:00:00,SAMP,20.5
1991-09-09 00:00:00,SAMP,21
1991-09-10 00:00:00,SAMP,21
1991-09-11 00:00:00,SAMP,19.25
1991-09-12 00:00:00,SAMP,19.25
1991-09-13 00:00:00,SAMP,20
1991-09-16 00:00:00,SAMP,20
1991-09-17 00:00:00,SAMP,19
1991-09-18 00:00:00,SAMP,19
1991-09-19 00:00:00,SAMP,19.25
1991-09-20 00:00:00,SAMP,19
1991-09-25 00:00:00,SAMP,21
1991-09-26 00:00:00,SAMP,21.25
1991-09-27 00:00:00,SAMP,21.25
1991-09-30 00:00:00,SAMP,22.5
1991-10-01 00:00:00,SAMP,22.75
1991-10-02 00:00:00,SAMP,21.5
1991-10-03 00:00:00,SAMP,20
1991-10-04 00:00:00,SAMP,20
1991-10-07 00:00:00,SAMP,21.25
1991-10-08 00:00:00,SAMP,21
1991-10-09 00:00:00,SAMP,20
1991-10-10 00:00:00,SAMP,20
1991-10-11 00:00:00,SAMP,20
1991-10-14 00:00:00,SAMP,20
1991-10-15 00:00:00,SAMP,20
1991-10-16 00:00:00,SAMP,20
1991-10-17 00:00:00,SAMP,20
1991-10-18 00:00:00,SAMP,19.25
1991-10-21 00:00:00,SAMP,19.75
1991-10-23 00:00:00,SAMP,19.75
1991-10-24 00:00:00,SAMP,19.75
1991-10-25 00:00:00,SAMP,19.5
1991-10-28 00:00:00,SAMP,19.5
1991-10-29 00:00:00,SAMP,19.75
1991-10-30 00:00:00,SAMP,19.75
1991-10-31 00:00:00,SAMP,19.75
1991-11-01 00:00:00,SAMP,19.75
1991-11-04 00:00:00,SAMP,19.25
1991-11-05 00:00:00,SAMP,19
1991-11-06 00:00:00,SAMP,18.75
1991-11-07 00:00:00,SAMP,19
1991-11-08 00:00:00,SAMP,19
1991-11-11 00:00:00,SAMP,18.75
1991-11-12 00:00:00,SAMP,18.5
1991-11-13 00:00:00,SAMP,18
1991-11-14 00:00:00,SAMP,22
1991-11-15 00:00:00,SAMP,25
1991-11-18 00:00:00,SAMP,28
1991-11-19 00:00:00,SAMP,28.75
1991-11-20 00:00:00,SAMP,29
1991-11-22 00:00:00,SAMP,29.75
1991-11-25 00:00:00,SAMP,31.25
1991-11-26 00:00:00,SAMP,30
1991-11-27 00:00:00,SAMP,29
1991-11-28 00:00:00,SAMP,28
1991-11-29 00:00:00,SAMP,26.75
1991-12-02 00:00:00,SAMP,25.5
1991-12-03 00:00:00,SAMP,23.5
1991-12-04 00:00:00,SAMP,25
1991-12-05 00:00:00,SAMP,25
1991-12-06 00:00:00,SAMP,25
1991-12-09 00:00:00,SAMP,27.75
1991-12-10 00:00:00,SAMP,27.75
1991-12-11 00:00:00,SAMP,28
1991-12-12 00:00:00,SAMP,30
1991-12-13 00:00:00,SAMP,30.25
1991-12-16 00:00:00,SAMP,30.75
1991-12-17 00:00:00,SAMP,31
1991-12-18 00:00:00,SAMP,31.5
1991-12-19 00:00:00,SAMP,31.75
1991-12-23 00:00:00,SAMP,33
1991-12-24 00:00:00,SAMP,35.5
1991-12-27 00:00:00,SAMP,39.5
1991-12-30 00:00:00,SAMP,41
1991-12-31 00:00:00,SAMP,45
1992-01-02 00:00:00,SAMP,50
1992-01-03 00:00:00,SAMP,55
1992-01-06 00:00:00,SAMP,62.25
1992-01-07 00:00:00,SAMP,68
