Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id :  AAIC,,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Month,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded Date,Days Traded
2002-01-03 00:00:00,2002-01-03 00:00:00,11,2002-01-03 00:00:00,11,11,2,2000,22000,2002-01-03 00:00:00,1
2002-01-07 00:00:00,2002-01-07 00:00:00,11,2002-01-07 00:00:00,10.75,10.75,2,1600,17475,2002-01-07 00:00:00,1
2002-01-10 00:00:00,2002-01-10 00:00:00,10.75,2002-01-10 00:00:00,10.75,10.75,2,1100,11825,2002-01-10 00:00:00,1
2002-03-11 00:00:00,2002-03-11 00:00:00,10.75,2002-03-11 00:00:00,10.75,10.75,1,100,1075,2002-03-11 00:00:00,1
2002-04-04 00:00:00,2002-04-04 00:00:00,11,2002-04-04 00:00:00,11,11,2,1400,15400,2002-04-04 00:00:00,1
2002-04-05 00:00:00,2002-04-05 00:00:00,11,2002-04-05 00:00:00,11,11,1,200,2200,2002-04-05 00:00:00,1
2002-04-16 00:00:00,2002-04-16 00:00:00,11,2002-04-16 00:00:00,10.5,11,2,600,6500,2002-04-16 00:00:00,1
2002-04-17 00:00:00,2002-04-17 00:00:00,11,2002-04-17 00:00:00,11,11,1,200,2200,2002-04-17 00:00:00,1
2002-04-19 00:00:00,2002-04-19 00:00:00,11,2002-04-19 00:00:00,10.75,10.75,2,1500,16250,2002-04-19 00:00:00,1
2002-04-23 00:00:00,2002-04-23 00:00:00,10.75,2002-04-23 00:00:00,10.75,10.75,3,3900,41925,2002-04-23 00:00:00,1
2002-04-29 00:00:00,2002-04-29 00:00:00,10.75,2002-04-29 00:00:00,10.75,10.75,2,2000,21500,2002-04-29 00:00:00,1
2002-05-03 00:00:00,2002-05-03 00:00:00,10.75,2002-05-03 00:00:00,10.75,10.75,1,100,1075,2002-05-03 00:00:00,1
2002-05-06 00:00:00,2002-05-06 00:00:00,10.5,2002-05-06 00:00:00,10.5,10.5,2,600,6300,2002-05-06 00:00:00,1
2002-05-07 00:00:00,2002-05-07 00:00:00,10.75,2002-05-07 00:00:00,10.75,10.75,1,400,4300,2002-05-07 00:00:00,1
2002-05-08 00:00:00,2002-05-08 00:00:00,10.5,2002-05-08 00:00:00,10.5,10.5,1,500,5250,2002-05-08 00:00:00,1
2002-05-14 00:00:00,2002-05-14 00:00:00,12.5,2002-05-14 00:00:00,12.25,12.5,3,3600,44950,2002-05-14 00:00:00,1
2002-05-17 00:00:00,2002-05-17 00:00:00,10.75,2002-05-17 00:00:00,10.75,10.75,1,2000,21500,2002-05-17 00:00:00,1
2002-05-20 00:00:00,2002-05-20 00:00:00,10.75,2002-05-20 00:00:00,10.75,10.75,2,300,3225,2002-05-20 00:00:00,1
2002-05-21 00:00:00,2002-05-21 00:00:00,10.5,2002-05-21 00:00:00,10.5,10.5,1,1000,10500,2002-05-21 00:00:00,1
2002-05-22 00:00:00,2002-05-22 00:00:00,10.75,2002-05-22 00:00:00,10.5,10.75,4,2600,27350,2002-05-22 00:00:00,1
2002-05-23 00:00:00,2002-05-23 00:00:00,12.5,2002-05-23 00:00:00,12,12.5,7,5900,73200,2002-05-23 00:00:00,1
2002-05-29 00:00:00,2002-05-29 00:00:00,10.5,2002-05-29 00:00:00,10.5,10.5,1,200,2100,2002-05-29 00:00:00,1
