Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id :,AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name :,ASIAN ALLIA,NCE,,,,,,,,
------------,-------------,---------,------------,-----------,------------,-------------,------------,--------------------,-----------,-------
Day,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Tr
-----------,-------------,---------,------------,-----------,------------,-------------,------------,--------------------,-----------,-------
2003-01-02 00:00:00,2003-01-02 00:00:00,11.25,2003-01-02 00:00:00,11.25,11.25,2,1500,16875,2003-01-02 00:00:00,1
2003-01-03 00:00:00,2003-01-03 00:00:00,10,2003-01-03 00:00:00,10,10,1,100,1000,2003-01-03 00:00:00,1
2003-01-06 00:00:00,2003-01-06 00:00:00,10,2003-01-06 00:00:00,10,10,2,300,3000,2003-01-06 00:00:00,1
2003-01-08 00:00:00,2003-01-08 00:00:00,10,2003-01-08 00:00:00,10,10,1,3500,35000,2003-01-08 00:00:00,1
2003-01-14 00:00:00,2003-01-14 00:00:00,10,2003-01-14 00:00:00,10,10,1,1000,10000,2003-01-14 00:00:00,1
2003-02-05 00:00:00,2003-02-05 00:00:00,11,2003-02-05 00:00:00,11,11,1,200,2200,2003-02-05 00:00:00,1
2003-02-19 00:00:00,2003-02-19 00:00:00,11,2003-02-19 00:00:00,11,11,1,100,1100,2003-02-19 00:00:00,1
2003-02-21 00:00:00,2003-02-21 00:00:00,11.5,2003-02-21 00:00:00,11.5,11.5,1,200,2300,2003-02-21 00:00:00,1
2003-02-26 00:00:00,2003-02-26 00:00:00,11,2003-02-26 00:00:00,11,11,1,100,1100,2003-02-26 00:00:00,1
2003-03-03 00:00:00,2003-03-03 00:00:00,11,2003-03-03 00:00:00,11,11,1,900,9900,2003-03-03 00:00:00,1
2003-03-05 00:00:00,2003-03-05 00:00:00,10.5,2003-03-05 00:00:00,10,10,2,1200,12100,2003-03-05 00:00:00,1
2003-03-06 00:00:00,2003-03-06 00:00:00,11,2003-03-06 00:00:00,11,11,2,700,7700,2003-03-06 00:00:00,1
2003-03-13 00:00:00,2003-03-13 00:00:00,10.75,2003-03-13 00:00:00,10.75,10.75,1,800,8600,2003-03-13 00:00:00,1
2003-04-11 00:00:00,2003-04-11 00:00:00,8,2003-04-11 00:00:00,8,8,8,11000,88000,2003-04-11 00:00:00,1
2003-04-17 00:00:00,2003-04-17 00:00:00,8,2003-04-17 00:00:00,8,8,6,3500,28000,2003-04-17 00:00:00,1
2003-04-24 00:00:00,2003-04-24 00:00:00,8.5,2003-04-24 00:00:00,8.5,8.5,1,800,6800,2003-04-24 00:00:00,1
2003-04-25 00:00:00,2003-04-25 00:00:00,9.5,2003-04-25 00:00:00,9,9.5,4,6500,61500,2003-04-25 00:00:00,1
2003-04-28 00:00:00,2003-04-28 00:00:00,9.5,2003-04-28 00:00:00,9.5,9.5,1,1000,9500,2003-04-28 00:00:00,1
2003-04-29 00:00:00,2003-04-29 00:00:00,9.5,2003-04-29 00:00:00,9.5,9.5,1,1000,9500,2003-04-29 00:00:00,1
2003-05-07 00:00:00,2003-05-07 00:00:00,9.5,2003-05-07 00:00:00,9,9.25,5,5800,53400,2003-05-07 00:00:00,1
2003-05-13 00:00:00,2003-05-13 00:00:00,10.5,2003-05-13 00:00:00,9,10,29,32400,324750,2003-05-13 00:00:00,1
2003-05-19 00:00:00,2003-05-19 00:00:00,9.5,2003-05-19 00:00:00,9.5,9.5,1,200,1900,2003-05-19 00:00:00,1
2003-05-20 00:00:00,2003-05-20 00:00:00,9.25,2003-05-20 00:00:00,9.25,9.25,4,3500,32375,2003-05-20 00:00:00,1
2003-05-21 00:00:00,2003-05-21 00:00:00,9,2003-05-21 00:00:00,9,9,1,1000,9000,2003-05-21 00:00:00,1
2003-05-22 00:00:00,2003-05-22 00:00:00,10.5,2003-05-22 00:00:00,9.5,10.25,5,19400,198200,2003-05-22 00:00:00,1
2003-05-23 00:00:00,2003-05-23 00:00:00,9.5,2003-05-23 00:00:00,9.5,9.5,1,500,4750,2003-05-23 00:00:00,1
2003-05-26 00:00:00,2003-05-26 00:00:00,9.25,2003-05-26 00:00:00,9.25,9.25,1,1000,9250,2003-05-26 00:00:00,1
2003-05-27 00:00:00,2003-05-27 00:00:00,9.25,2003-05-27 00:00:00,9,9,2,1500,13625,2003-05-27 00:00:00,1
2003-05-28 00:00:00,2003-05-28 00:00:00,9.5,2003-05-28 00:00:00,9,9,11,11200,101100,2003-05-28 00:00:00,1
2003-05-29 00:00:00,2003-05-29 00:00:00,9,2003-05-29 00:00:00,9,9,3,3600,32400,2003-05-29 00:00:00,1
2003-05-30 00:00:00,2003-05-30 00:00:00,9,2003-05-30 00:00:00,9,9,2,1100,9900,2003-05-30 00:00:00,1
2003-06-02 00:00:00,2003-06-02 00:00:00,9,2003-06-02 00:00:00,8.75,9,10,5600,49900,2003-06-02 00:00:00,1
2003-06-03 00:00:00,2003-06-03 00:00:00,9,2003-06-03 00:00:00,9,9,1,900,8100,2003-06-03 00:00:00,1
2003-06-04 00:00:00,2003-06-04 00:00:00,9,2003-06-04 00:00:00,9,9,1,2000,18000,2003-06-04 00:00:00,1
2003-06-06 00:00:00,2003-06-06 00:00:00,9,2003-06-06 00:00:00,8.75,9,2,6700,59875,2003-06-06 00:00:00,1
2003-06-09 00:00:00,2003-06-09 00:00:00,9,2003-06-09 00:00:00,8.5,8.5,8,4100,35100,2003-06-09 00:00:00,1
2003-06-10 00:00:00,2003-06-10 00:00:00,9,2003-06-10 00:00:00,8.5,8.5,2,1300,11550,2003-06-10 00:00:00,1
2003-06-11 00:00:00,2003-06-11 00:00:00,8.5,2003-06-11 00:00:00,8.5,8.5,1,2700,22950,2003-06-11 00:00:00,1
2003-06-16 00:00:00,2003-06-16 00:00:00,8.5,2003-06-16 00:00:00,8,8.5,17,30800,248775,2003-06-16 00:00:00,1
2003-06-17 00:00:00,2003-06-17 00:00:00,8,2003-06-17 00:00:00,8,8,8,4800,38400,2003-06-17 00:00:00,1
2003-06-18 00:00:00,2003-06-18 00:00:00,9.25,2003-06-18 00:00:00,8.5,9.25,9,30500,280600,2003-06-18 00:00:00,1
2003-06-20 00:00:00,2003-06-20 00:00:00,8.5,2003-06-20 00:00:00,8.5,8.5,1,100,850,2003-06-20 00:00:00,1
2003-06-25 00:00:00,2003-06-25 00:00:00,9,2003-06-25 00:00:00,9,9,3,9000,81000,2003-06-25 00:00:00,1
2003-06-26 00:00:00,2003-06-26 00:00:00,9.25,2003-06-26 00:00:00,9,9.25,5,6400,58850,2003-06-26 00:00:00,1
2003-06-27 00:00:00,2003-06-27 00:00:00,9,2003-06-27 00:00:00,9,9,1,1600,14400,2003-06-27 00:00:00,1
2003-07-01 00:00:00,2003-07-01 00:00:00,9,2003-07-01 00:00:00,9,9,1,500,4500,2003-07-01 00:00:00,1
2003-07-02 00:00:00,2003-07-02 00:00:00,9,2003-07-02 00:00:00,9,9,2,1000,9000,2003-07-02 00:00:00,1
2003-07-03 00:00:00,2003-07-03 00:00:00,9,2003-07-03 00:00:00,9,9,1,500,4500,2003-07-03 00:00:00,1
2003-07-04 00:00:00,2003-07-04 00:00:00,8.5,2003-07-04 00:00:00,8.5,8.5,1,1800,15300,2003-07-04 00:00:00,1
2003-07-08 00:00:00,2003-07-08 00:00:00,8.75,2003-07-08 00:00:00,8.75,8.75,1,100,875,2003-07-08 00:00:00,1
2003-07-11 00:00:00,2003-07-11 00:00:00,8.75,2003-07-11 00:00:00,8.75,8.75,2,1000,8750,2003-07-11 00:00:00,1
2003-07-14 00:00:00,2003-07-14 00:00:00,8.75,2003-07-14 00:00:00,8.75,8.75,1,200,1750,2003-07-14 00:00:00,1
2003-07-22 00:00:00,2003-07-22 00:00:00,9,2003-07-22 00:00:00,8.75,9,3,1300,11675,2003-07-22 00:00:00,1
2003-07-23 00:00:00,2003-07-23 00:00:00,9,2003-07-23 00:00:00,9,9,2,1800,16200,2003-07-23 00:00:00,1
2003-07-24 00:00:00,2003-07-24 00:00:00,8.75,2003-07-24 00:00:00,8.75,8.75,1,200,1750,2003-07-24 00:00:00,1
2003-07-30 00:00:00,2003-07-30 00:00:00,9,2003-07-30 00:00:00,9,9,1,800,7200,2003-07-30 00:00:00,1
2003-08-05 00:00:00,2003-08-05 00:00:00,8.5,2003-08-05 00:00:00,8.5,8.5,1,2000,17000,2003-08-05 00:00:00,1
2003-08-08 00:00:00,2003-08-08 00:00:00,8.5,2003-08-08 00:00:00,8.5,8.5,3,4000,34000,2003-08-08 00:00:00,1
2003-08-18 00:00:00,2003-08-18 00:00:00,9.25,2003-08-18 00:00:00,9.25,9.25,1,500,4625,2003-08-18 00:00:00,1
2003-08-21 00:00:00,2003-08-21 00:00:00,8.5,2003-08-21 00:00:00,8.5,8.5,1,1000,8500,2003-08-21 00:00:00,1
2003-08-22 00:00:00,2003-08-22 00:00:00,9.5,2003-08-22 00:00:00,9.5,9.5,1,100,950,2003-08-22 00:00:00,1
2003-08-25 00:00:00,2003-08-25 00:00:00,9,2003-08-25 00:00:00,9,9,2,1000,9000,2003-08-25 00:00:00,1
