Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id :  AAIC,,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Quarter,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded Date,Days Traded
2004-01-06 00:00:00,2004-01-06 00:00:00,11,2004-01-06 00:00:00,11,11,1,1000,11000,2004-01-06 00:00:00,1
2004-01-13 00:00:00,2004-01-13 00:00:00,10.25,2004-01-13 00:00:00,10.25,10.25,2,2200,22550,2004-01-13 00:00:00,1
2004-01-14 00:00:00,2004-01-14 00:00:00,11,2004-01-14 00:00:00,10.25,11,7,7500,80200,2004-01-14 00:00:00,1
2004-01-19 00:00:00,2004-01-19 00:00:00,10.25,2004-01-19 00:00:00,10.25,10.25,1,1000,10250,2004-01-19 00:00:00,1
2004-01-26 00:00:00,2004-01-26 00:00:00,10.5,2004-01-26 00:00:00,10.5,10.5,1,700,7350,2004-01-26 00:00:00,1
2004-01-27 00:00:00,2004-01-27 00:00:00,12.25,2004-01-27 00:00:00,10.5,11,13,21100,243550,2004-01-27 00:00:00,1
2004-01-28 00:00:00,2004-01-28 00:00:00,11,2004-01-28 00:00:00,11,11,2,3000,33000,2004-01-28 00:00:00,1
2004-02-03 00:00:00,2004-02-03 00:00:00,10,2004-02-03 00:00:00,9.5,9.75,3,3500,33750,2004-02-03 00:00:00,1
2004-02-09 00:00:00,2004-02-09 00:00:00,9,2004-02-09 00:00:00,9,9,1,200,1800,2004-02-09 00:00:00,1
2004-02-10 00:00:00,2004-02-10 00:00:00,8,2004-02-10 00:00:00,8,8,1,5000,40000,2004-02-10 00:00:00,1
2004-02-11 00:00:00,2004-02-11 00:00:00,9.5,2004-02-11 00:00:00,9.5,9.5,1,5000,47500,2004-02-11 00:00:00,1
2004-02-12 00:00:00,2004-02-12 00:00:00,9.25,2004-02-12 00:00:00,9.25,9.25,1,1000,9250,2004-02-12 00:00:00,1
2004-02-13 00:00:00,2004-02-13 00:00:00,9.5,2004-02-13 00:00:00,9.5,9.5,1,500,4750,2004-02-13 00:00:00,1
2004-02-16 00:00:00,2004-02-16 00:00:00,10,2004-02-16 00:00:00,9.75,10,2,200,1975,2004-02-16 00:00:00,1
2004-02-19 00:00:00,2004-02-19 00:00:00,9.75,2004-02-19 00:00:00,9.75,9.75,1,100,975,2004-02-19 00:00:00,1
2004-02-23 00:00:00,2004-02-23 00:00:00,9.75,2004-02-23 00:00:00,9.75,9.75,2,1600,15600,2004-02-23 00:00:00,1
2004-02-25 00:00:00,2004-02-25 00:00:00,9.5,2004-02-25 00:00:00,9.5,9.5,3,2200,20900,2004-02-25 00:00:00,1
2004-02-27 00:00:00,2004-02-27 00:00:00,9.5,2004-02-27 00:00:00,9.5,9.5,1,500,4750,2004-02-27 00:00:00,1
2004-03-02 00:00:00,2004-03-02 00:00:00,9.25,2004-03-02 00:00:00,9.25,9.25,2,600,5550,2004-03-02 00:00:00,1
2004-03-05 00:00:00,2004-03-05 00:00:00,9.5,2004-03-05 00:00:00,9.5,9.5,3,5500,52250,2004-03-05 00:00:00,1
2004-03-08 00:00:00,2004-03-08 00:00:00,9.5,2004-03-08 00:00:00,9.5,9.5,1,100,950,2004-03-08 00:00:00,1
2004-03-11 00:00:00,2004-03-11 00:00:00,9.25,2004-03-11 00:00:00,9,9.25,3,2200,20300,2004-03-11 00:00:00,1
2004-03-15 00:00:00,2004-03-15 00:00:00,9,2004-03-15 00:00:00,9,9,2,6000,54000,2004-03-15 00:00:00,1
2004-03-22 00:00:00,2004-03-22 00:00:00,9,2004-03-22 00:00:00,9,9,2,2100,18900,2004-03-22 00:00:00,1
2004-03-24 00:00:00,2004-03-24 00:00:00,9.5,2004-03-24 00:00:00,9.5,9.5,1,1000,9500,2004-03-24 00:00:00,1
2004-03-25 00:00:00,2004-03-25 00:00:00,10.75,2004-03-25 00:00:00,9.75,9.75,5,3700,37425,2004-03-25 00:00:00,1
2004-03-29 00:00:00,2004-03-29 00:00:00,9.75,2004-03-29 00:00:00,9.5,9.75,3,2000,19250,2004-03-29 00:00:00,1
2004-03-30 00:00:00,2004-03-30 00:00:00,9.75,2004-03-30 00:00:00,9.75,9.75,1,2500,24375,2004-03-30 00:00:00,1
2004-04-01 00:00:00,2004-04-01 00:00:00,10,2004-04-01 00:00:00,10,10,2,2000,20000,2004-04-01 00:00:00,1
2004-04-02 00:00:00,2004-04-02 00:00:00,10.75,2004-04-02 00:00:00,10.75,10.75,3,3000,32250,2004-04-02 00:00:00,1
2004-04-19 00:00:00,2004-04-19 00:00:00,8,2004-04-19 00:00:00,8,8,1,100,800,2004-04-19 00:00:00,1
2004-04-27 00:00:00,2004-04-27 00:00:00,8.5,2004-04-27 00:00:00,8.5,8.5,1,600,5100,2004-04-27 00:00:00,1
2004-04-29 00:00:00,2004-04-29 00:00:00,8.5,2004-04-29 00:00:00,8.5,8.5,1,400,3400,2004-04-29 00:00:00,1
2004-05-10 00:00:00,2004-05-10 00:00:00,8.5,2004-05-10 00:00:00,8.5,8.5,1,500,4250,2004-05-10 00:00:00,1
2004-05-12 00:00:00,2004-05-12 00:00:00,9.5,2004-05-12 00:00:00,9.5,9.5,2,8400,79800,2004-05-12 00:00:00,1
2004-05-17 00:00:00,2004-05-17 00:00:00,9.25,2004-05-17 00:00:00,9.25,9.25,1,1000,9250,2004-05-17 00:00:00,1
2004-05-20 00:00:00,2004-05-20 00:00:00,9.75,2004-05-20 00:00:00,9.5,9.5,3,300,2875,2004-05-20 00:00:00,1
2004-05-21 00:00:00,2004-05-21 00:00:00,10,2004-05-21 00:00:00,10,10,2,200,2000,2004-05-21 00:00:00,1
