Company Daily Share Prices (Closing) and Highest - Lowest Prices,,,,,,,,,,
Company Id :  AAIC,,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,Trades(No.),Shares(No.),Turnover(Rs.),Last Traded Date,Days Traded
2005-01-03 00:00:00,2005-01-03 00:00:00,10,2005-01-03 00:00:00,10,10,2,1500,15000,2005-01-03 00:00:00,1
2005-01-06 00:00:00,2005-01-06 00:00:00,10,2005-01-06 00:00:00,10,10,3,10500,105000,2005-01-06 00:00:00,1
2005-01-11 00:00:00,2005-01-11 00:00:00,10,2005-01-11 00:00:00,10,10,1,100,1000,2005-01-11 00:00:00,1
2005-01-12 00:00:00,2005-01-12 00:00:00,10,2005-01-12 00:00:00,9.75,9.75,10,4400,43000,2005-01-12 00:00:00,1
2005-01-13 00:00:00,2005-01-13 00:00:00,10,2005-01-13 00:00:00,9.75,10,4,2100,20775,2005-01-13 00:00:00,1
2005-01-19 00:00:00,2005-01-19 00:00:00,9.75,2005-01-19 00:00:00,9.75,9.75,1,2000,19500,2005-01-19 00:00:00,1
2005-01-20 00:00:00,2005-01-20 00:00:00,10,2005-01-20 00:00:00,9.75,10,2,1300,12925,2005-01-20 00:00:00,1
2005-01-26 00:00:00,2005-01-26 00:00:00,10,2005-01-26 00:00:00,9.75,10,3,2100,20725,2005-01-26 00:00:00,1
2005-01-27 00:00:00,2005-01-27 00:00:00,9.75,2005-01-27 00:00:00,9.75,9.75,5,11200,109200,2005-01-27 00:00:00,1
2005-01-28 00:00:00,2005-01-28 00:00:00,10,2005-01-28 00:00:00,9.75,9.75,4,8300,81175,2005-01-28 00:00:00,1
2005-01-31 00:00:00,2005-01-31 00:00:00,9.75,2005-01-31 00:00:00,9.75,9.75,4,6500,63375,2005-01-31 00:00:00,1
2005-02-01 00:00:00,2005-02-01 00:00:00,9.75,2005-02-01 00:00:00,9.75,9.75,1,500,4875,2005-02-01 00:00:00,1
2005-02-02 00:00:00,2005-02-02 00:00:00,9.75,2005-02-02 00:00:00,9.5,9.5,5,3100,29500,2005-02-02 00:00:00,1
2005-02-07 00:00:00,2005-02-07 00:00:00,10,2005-02-07 00:00:00,9.75,10,6,25300,251225,2005-02-07 00:00:00,1
2005-02-08 00:00:00,2005-02-08 00:00:00,10.75,2005-02-08 00:00:00,10,10,8,18700,189475,2005-02-08 00:00:00,1
2005-02-09 00:00:00,2005-02-09 00:00:00,10,2005-02-09 00:00:00,10,10,3,15000,150000,2005-02-09 00:00:00,1
2005-02-10 00:00:00,2005-02-10 00:00:00,10,2005-02-10 00:00:00,10,10,1,1000,10000,2005-02-10 00:00:00,1
2005-02-11 00:00:00,2005-02-11 00:00:00,10,2005-02-11 00:00:00,10,10,2,16600,166000,2005-02-11 00:00:00,1
2005-02-15 00:00:00,2005-02-15 00:00:00,10,2005-02-15 00:00:00,10,10,3,5500,55000,2005-02-15 00:00:00,1
2005-02-16 00:00:00,2005-02-16 00:00:00,11,2005-02-16 00:00:00,10,10.5,30,118800,1247075,2005-02-16 00:00:00,1
2005-02-17 00:00:00,2005-02-17 00:00:00,10.75,2005-02-17 00:00:00,10.5,10.75,19,34200,361125,2005-02-17 00:00:00,1
2005-02-18 00:00:00,2005-02-18 00:00:00,10.5,2005-02-18 00:00:00,10.25,10.25,2,1500,15500,2005-02-18 00:00:00,1
2005-02-21 00:00:00,2005-02-21 00:00:00,10.25,2005-02-21 00:00:00,10.25,10.25,1,500,5125,2005-02-21 00:00:00,1
2005-02-24 00:00:00,2005-02-24 00:00:00,10.5,2005-02-24 00:00:00,10,10.25,7,10000,102750,2005-02-24 00:00:00,1
2005-02-25 00:00:00,2005-02-25 00:00:00,11,2005-02-25 00:00:00,10.25,10.5,9,9400,98800,2005-02-25 00:00:00,1
2005-02-28 00:00:00,2005-02-28 00:00:00,10.5,2005-02-28 00:00:00,10.5,10.5,9,32000,336000,2005-02-28 00:00:00,1
2005-03-01 00:00:00,2005-03-01 00:00:00,11,2005-03-01 00:00:00,10.5,10.5,26,71700,760350,2005-03-01 00:00:00,1
2005-03-02 00:00:00,2005-03-02 00:00:00,10.75,2005-03-02 00:00:00,10.5,10.5,12,93100,979075,2005-03-02 00:00:00,1
2005-03-03 00:00:00,2005-03-03 00:00:00,10.5,2005-03-03 00:00:00,10.5,10.5,1,2000,21000,2005-03-03 00:00:00,1
2005-03-04 00:00:00,2005-03-04 00:00:00,10.75,2005-03-04 00:00:00,10.25,10.5,11,47500,498625,2005-03-04 00:00:00,1
2005-03-07 00:00:00,2005-03-07 00:00:00,10.25,2005-03-07 00:00:00,10.25,10.25,2,4000,41000,2005-03-07 00:00:00,1
2005-03-09 00:00:00,2005-03-09 00:00:00,10.25,2005-03-09 00:00:00,10.25,10.25,4,20000,205000,2005-03-09 00:00:00,1
2005-03-10 00:00:00,2005-03-10 00:00:00,10,2005-03-10 00:00:00,10,10,6,22100,221000,2005-03-10 00:00:00,1
2005-03-11 00:00:00,2005-03-11 00:00:00,10.25,2005-03-11 00:00:00,10,10,15,64200,648625,2005-03-11 00:00:00,1
2005-03-14 00:00:00,2005-03-14 00:00:00,10.5,2005-03-14 00:00:00,10,10.25,6,10100,101500,2005-03-14 00:00:00,1
2005-03-15 00:00:00,2005-03-15 00:00:00,10.5,2005-03-15 00:00:00,10.25,10.5,27,66800,698350,2005-03-15 00:00:00,1
2005-03-16 00:00:00,2005-03-16 00:00:00,11.5,2005-03-16 00:00:00,10.75,11,95,180200,2022300,2005-03-16 00:00:00,1
2005-03-17 00:00:00,2005-03-17 00:00:00,11.25,2005-03-17 00:00:00,10.75,11,49,214200,2339400,2005-03-17 00:00:00,1
2005-03-18 00:00:00,2005-03-18 00:00:00,11.25,2005-03-18 00:00:00,10.75,10.75,19,99300,1079075,2005-03-18 00:00:00,1
2005-03-21 00:00:00,2005-03-21 00:00:00,10.75,2005-03-21 00:00:00,10.5,10.5,5,6100,64075,2005-03-21 00:00:00,1
2005-03-22 00:00:00,2005-03-22 00:00:00,10.25,2005-03-22 00:00:00,10,10.25,10,16000,162075,2005-03-22 00:00:00,1
2005-03-23 00:00:00,2005-03-23 00:00:00,10.25,2005-03-23 00:00:00,10,10,20,35500,355750,2005-03-23 00:00:00,1
2005-03-24 00:00:00,2005-03-24 00:00:00,13.5,2005-03-24 00:00:00,10.5,12.25,637,2550000,31947925,2005-03-24 00:00:00,1
2005-03-28 00:00:00,2005-03-28 00:00:00,12.5,2005-03-28 00:00:00,10.75,11.25,22,95800,1149700,2005-03-28 00:00:00,1
2005-03-29 00:00:00,2005-03-29 00:00:00,12.25,2005-03-29 00:00:00,11.25,11.5,23,67100,786475,2005-03-29 00:00:00,1
2005-03-30 00:00:00,2005-03-30 00:00:00,11.75,2005-03-30 00:00:00,11,11,14,14900,167025,2005-03-30 00:00:00,1
2005-03-31 00:00:00,2005-03-31 00:00:00,11,2005-03-31 00:00:00,10.75,10.75,13,14300,154850,2005-03-31 00:00:00,1
2005-04-01 00:00:00,2005-04-01 00:00:00,12.5,2005-04-01 00:00:00,10.75,12,58,145300,1720550,2005-04-01 00:00:00,1
2005-04-04 00:00:00,2005-04-04 00:00:00,12,2005-04-04 00:00:00,11.25,12,10,35100,400525,2005-04-04 00:00:00,1
2005-04-05 00:00:00,2005-04-05 00:00:00,12,2005-04-05 00:00:00,11,11.25,13,18300,212825,2005-04-05 00:00:00,1
2005-04-06 00:00:00,2005-04-06 00:00:00,11,2005-04-06 00:00:00,11,11,11,11500,126500,2005-04-06 00:00:00,1
