REPORT : H,IGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,1,
,,,==========,===========,===========,==========,================,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN AL,LIANCE,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-01-02 00:00:00,2006-01-02 00:00:00,8.75,2006-01-02 00:00:00,8.5,8.5,3,4500,39000,2006-01-02 00:00:00,1
2006-01-03 00:00:00,2006-01-03 00:00:00,9,2006-01-03 00:00:00,8.5,8.5,11,11800,103450,2006-01-03 00:00:00,1
2006-01-04 00:00:00,2006-01-04 00:00:00,8.75,2006-01-04 00:00:00,8.75,8.75,1,200,1750,2006-01-04 00:00:00,1
2006-01-05 00:00:00,2006-01-05 00:00:00,8.25,2006-01-05 00:00:00,8.25,8.25,7,5100,42075,2006-01-05 00:00:00,1
2006-01-09 00:00:00,2006-01-09 00:00:00,8.25,2006-01-09 00:00:00,8.25,8.25,1,1000,8250,2006-01-09 00:00:00,1
2006-01-10 00:00:00,2006-01-10 00:00:00,8.25,2006-01-10 00:00:00,8,8,3,1700,13725,2006-01-10 00:00:00,1
2006-01-16 00:00:00,2006-01-16 00:00:00,7.75,2006-01-16 00:00:00,7.75,7.75,6,5500,42625,2006-01-16 00:00:00,1
2006-01-17 00:00:00,2006-01-17 00:00:00,7.75,2006-01-17 00:00:00,7,7.75,14,12800,91725,2006-01-17 00:00:00,1
2006-01-18 00:00:00,2006-01-18 00:00:00,8.75,2006-01-18 00:00:00,7.5,8,7,10000,82475,2006-01-18 00:00:00,1
2006-01-19 00:00:00,2006-01-19 00:00:00,8,2006-01-19 00:00:00,7.75,7.75,7,5000,39250,2006-01-19 00:00:00,1
2006-01-20 00:00:00,2006-01-20 00:00:00,8.75,2006-01-20 00:00:00,8,8.5,14,18500,152150,2006-01-20 00:00:00,1
2006-01-23 00:00:00,2006-01-23 00:00:00,8.75,2006-01-23 00:00:00,8.75,8.75,8,9800,85750,2006-01-23 00:00:00,1
2006-01-24 00:00:00,2006-01-24 00:00:00,8.75,2006-01-24 00:00:00,8.5,8.5,11,10100,86750,2006-01-24 00:00:00,1
2006-01-25 00:00:00,2006-01-25 00:00:00,9,2006-01-25 00:00:00,8.75,9,7,102800,899950,2006-01-25 00:00:00,1
2006-01-26 00:00:00,2006-01-26 00:00:00,9.75,2006-01-26 00:00:00,9.25,9.5,45,68000,648825,2006-01-26 00:00:00,1
2006-01-27 00:00:00,2006-01-27 00:00:00,10.25,2006-01-27 00:00:00,9.75,9.75,23,23400,232025,2006-01-27 00:00:00,1
2006-01-30 00:00:00,2006-01-30 00:00:00,9.75,2006-01-30 00:00:00,9.5,9.5,6,3000,28625,2006-01-30 00:00:00,1
2006-01-31 00:00:00,2006-01-31 00:00:00,10.25,2006-01-31 00:00:00,9.75,9.75,8,9400,95525,2006-01-31 00:00:00,1
2006-02-01 00:00:00,2006-02-01 00:00:00,10.25,2006-02-01 00:00:00,10,10.25,6,13100,133900,2006-02-01 00:00:00,1
2006-02-02 00:00:00,2006-02-02 00:00:00,11.75,2006-02-02 00:00:00,10.25,11.25,192,231600,2563400,2006-02-02 00:00:00,1
2006-02-06 00:00:00,2006-02-06 00:00:00,11.5,2006-02-06 00:00:00,11,11.25,50,74300,840450,2006-02-06 00:00:00,1
2006-02-07 00:00:00,2006-02-07 00:00:00,11.75,2006-02-07 00:00:00,11.25,11.5,46,83300,958250,2006-02-07 00:00:00,1
2006-02-08 00:00:00,2006-02-08 00:00:00,11.75,2006-02-08 00:00:00,11.25,11.25,16,26400,298675,2006-02-08 00:00:00,1
2006-02-09 00:00:00,2006-02-09 00:00:00,11.25,2006-02-09 00:00:00,11,11,6,8300,91500,2006-02-09 00:00:00,1
2006-02-10 00:00:00,2006-02-10 00:00:00,11.25,2006-02-10 00:00:00,11,11,5,4400,48575,2006-02-10 00:00:00,1
