Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date high,High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last Traded,Days Traded
----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
2007-01-04 00:00:00,2007-01-04 00:00:00,14,2007-01-04 00:00:00,14,14,9,5300,74200,2007-01-04 00:00:00,1
2007-01-05 00:00:00,2007-01-05 00:00:00,14,2007-01-05 00:00:00,14,14,9,14000,196000,2007-01-05 00:00:00,1
2007-01-08 00:00:00,2007-01-08 00:00:00,14,2007-01-08 00:00:00,14,14,1,100,1400,2007-01-08 00:00:00,1
2007-01-09 00:00:00,2007-01-09 00:00:00,14.5,2007-01-09 00:00:00,13.5,13.75,14,9300,128250,2007-01-09 00:00:00,1
2007-01-10 00:00:00,2007-01-10 00:00:00,14.5,2007-01-10 00:00:00,14,14,5,5200,72900,2007-01-10 00:00:00,1
2007-01-11 00:00:00,2007-01-11 00:00:00,15,2007-01-11 00:00:00,14.5,14.5,6,1800,26300,2007-01-11 00:00:00,1
2007-01-12 00:00:00,2007-01-12 00:00:00,14.75,2007-01-12 00:00:00,14.75,14.75,1,800,11800,2007-01-12 00:00:00,1
2007-01-16 00:00:00,2007-01-16 00:00:00,14.75,2007-01-16 00:00:00,14.5,14.75,6,4700,69075,2007-01-16 00:00:00,1
2007-01-17 00:00:00,2007-01-17 00:00:00,14.75,2007-01-17 00:00:00,14.25,14.5,5,3000,43050,2007-01-17 00:00:00,1
2007-01-18 00:00:00,2007-01-18 00:00:00,15.25,2007-01-18 00:00:00,14.5,15,47,42400,635425,2007-01-18 00:00:00,1
2007-01-19 00:00:00,2007-01-19 00:00:00,16,2007-01-19 00:00:00,14.75,15.25,87,113600,1742375,2007-01-19 00:00:00,1
2007-01-22 00:00:00,2007-01-22 00:00:00,17,2007-01-22 00:00:00,15.75,16.5,113,119700,1986375,2007-01-22 00:00:00,1
2007-01-23 00:00:00,2007-01-23 00:00:00,16.75,2007-01-23 00:00:00,16.25,16.5,8,6900,113600,2007-01-23 00:00:00,1
2007-01-24 00:00:00,2007-01-24 00:00:00,16,2007-01-24 00:00:00,16,16,6,3200,51200,2007-01-24 00:00:00,1
2007-01-25 00:00:00,2007-01-25 00:00:00,16,2007-01-25 00:00:00,15.75,16,2,200,3175,2007-01-25 00:00:00,1
2007-01-26 00:00:00,2007-01-26 00:00:00,16.5,2007-01-26 00:00:00,15.75,16,16,21600,349725,2007-01-26 00:00:00,1
2007-01-29 00:00:00,2007-01-29 00:00:00,15.75,2007-01-29 00:00:00,15.75,15.75,2,3000,47250,2007-01-29 00:00:00,1
2007-01-31 00:00:00,2007-01-31 00:00:00,16.5,2007-01-31 00:00:00,16,16.25,5,3200,51700,2007-01-31 00:00:00,1
2007-02-02 00:00:00,2007-02-02 00:00:00,16.5,2007-02-02 00:00:00,16,16.25,31,53000,861325,2007-02-02 00:00:00,1
2007-02-06 00:00:00,2007-02-06 00:00:00,16.5,2007-02-06 00:00:00,16.25,16.25,18,37200,606075,2007-02-06 00:00:00,1
2007-02-07 00:00:00,2007-02-07 00:00:00,20.75,2007-02-07 00:00:00,16.5,19.25,240,527500,9616300,2007-02-07 00:00:00,1
2007-02-08 00:00:00,2007-02-08 00:00:00,22.5,2007-02-08 00:00:00,20.75,20.75,172,275500,5877475,2007-02-08 00:00:00,1
2007-02-09 00:00:00,2007-02-09 00:00:00,20.75,2007-02-09 00:00:00,19.5,19.5,33,49100,982825,2007-02-09 00:00:00,1
2007-02-12 00:00:00,2007-02-12 00:00:00,19.5,2007-02-12 00:00:00,18,19.25,42,51100,970625,2007-02-12 00:00:00,1
2007-02-13 00:00:00,2007-02-13 00:00:00,20.25,2007-02-13 00:00:00,19,19.25,62,60600,1189550,2007-02-13 00:00:00,1
2007-02-14 00:00:00,2007-02-14 00:00:00,20,2007-02-14 00:00:00,19.25,19.75,7,3900,76925,2007-02-14 00:00:00,1
2007-02-15 00:00:00,2007-02-15 00:00:00,20,2007-02-15 00:00:00,19.25,19.25,10,9200,179350,2007-02-15 00:00:00,1
2007-02-19 00:00:00,2007-02-19 00:00:00,19.25,2007-02-19 00:00:00,19,19,4,3200,61100,2007-02-19 00:00:00,1
2007-02-20 00:00:00,2007-02-20 00:00:00,20.75,2007-02-20 00:00:00,19,19,51,79400,1560050,2007-02-20 00:00:00,1
2007-02-21 00:00:00,2007-02-21 00:00:00,19.25,2007-02-21 00:00:00,19,19,6,9700,184825,2007-02-21 00:00:00,1
2007-02-22 00:00:00,2007-02-22 00:00:00,19.25,2007-02-22 00:00:00,19,19,12,15100,288225,2007-02-22 00:00:00,1
2007-02-23 00:00:00,2007-02-23 00:00:00,21.5,2007-02-23 00:00:00,20,20.75,56,69500,1450275,2007-02-23 00:00:00,1
2007-02-26 00:00:00,2007-02-26 00:00:00,22.5,2007-02-26 00:00:00,20.25,20.75,170,114800,2397225,2007-02-26 00:00:00,1
2007-02-27 00:00:00,2007-02-27 00:00:00,22.25,2007-02-27 00:00:00,21.25,21.5,63,77400,1680250,2007-02-27 00:00:00,1
2007-02-28 00:00:00,2007-02-28 00:00:00,21.25,2007-02-28 00:00:00,20.5,20.5,6,50600,1067400,2007-02-28 00:00:00,1
2007-03-01 00:00:00,2007-03-01 00:00:00,21,2007-03-01 00:00:00,20.25,20.5,33,3800800,77911575,2007-03-01 00:00:00,1
2007-03-02 00:00:00,2007-03-02 00:00:00,21,2007-03-02 00:00:00,20.5,20.75,8,13600,282300,2007-03-02 00:00:00,1
2007-03-05 00:00:00,2007-03-05 00:00:00,20.5,2007-03-05 00:00:00,20.5,20.5,5,6000,123000,2007-03-05 00:00:00,1
2007-03-06 00:00:00,2007-03-06 00:00:00,20.5,2007-03-06 00:00:00,19.5,20.25,13,13800,278875,2007-03-06 00:00:00,1
2007-03-07 00:00:00,2007-03-07 00:00:00,20.75,2007-03-07 00:00:00,20.5,20.75,21,23000,475625,2007-03-07 00:00:00,1
2007-03-08 00:00:00,2007-03-08 00:00:00,21.5,2007-03-08 00:00:00,20.5,20.5,30,61800,1268025,2007-03-08 00:00:00,1
2007-03-09 00:00:00,2007-03-09 00:00:00,21.5,2007-03-09 00:00:00,20.75,21.5,10,10100,212250,2007-03-09 00:00:00,1
2007-03-12 00:00:00,2007-03-12 00:00:00,20.75,2007-03-12 00:00:00,20.5,20.5,14,20600,424600,2007-03-12 00:00:00,1
2007-03-13 00:00:00,2007-03-13 00:00:00,21,2007-03-13 00:00:00,20.5,20.5,9,12600,259300,2007-03-13 00:00:00,1
2007-03-14 00:00:00,2007-03-14 00:00:00,20.5,2007-03-14 00:00:00,20,20,21,29400,597800,2007-03-14 00:00:00,1
2007-03-15 00:00:00,2007-03-15 00:00:00,20,2007-03-15 00:00:00,19.5,20,10,15100,301950,2007-03-15 00:00:00,1
2007-03-16 00:00:00,2007-03-16 00:00:00,21,2007-03-16 00:00:00,20.5,20.5,16,20600,423100,2007-03-16 00:00:00,1
2007-03-19 00:00:00,2007-03-19 00:00:00,21,2007-03-19 00:00:00,20.5,20.5,12,20100,412175,2007-03-19 00:00:00,1
2007-03-20 00:00:00,2007-03-20 00:00:00,20.5,2007-03-20 00:00:00,20.5,20.5,4,5600,114800,2007-03-20 00:00:00,1
2007-03-21 00:00:00,2007-03-21 00:00:00,20.75,2007-03-21 00:00:00,20.75,20.75,1,400,8300,2007-03-21 00:00:00,1
2007-03-22 00:00:00,2007-03-22 00:00:00,20.5,2007-03-22 00:00:00,20.5,20.5,2,10000,205000,2007-03-22 00:00:00,1
2007-03-23 00:00:00,2007-03-23 00:00:00,20.5,2007-03-23 00:00:00,20.5,20.5,5,7000,143500,2007-03-23 00:00:00,1
2007-03-26 00:00:00,2007-03-26 00:00:00,21,2007-03-26 00:00:00,20.5,21,7,10900,228400,2007-03-26 00:00:00,1
_x000c_ REPORT :,HIGHLOW Re,v 2.1,,,,,,RUN :,2008-01-11 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES,AS AT    11-JAN-,2008          PAGE:,2,
,,,==========,===========,===========,=========,================,=,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date Hig,h       High,Date Low,Low,Closing,Trades(N,o.)  Shares(No.),Turnover(Rs.),Last Traded,Days Tr
----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
2007-03-28 00:00:00,2007-03-28 00:00:00,21,2007-03-28 00:00:00,20.5,21,4,7000,146000,2007-03-28 00:00:00,1
2007-03-30 00:00:00,2007-03-30 00:00:00,20,2007-03-30 00:00:00,20,20,3,3000,60000,2007-03-30 00:00:00,1
2007-04-03 00:00:00,2007-04-03 00:00:00,20.75,2007-04-03 00:00:00,20,20.5,12,37300,753000,2007-04-03 00:00:00,1
