Daily Share price high low and closing share prices -2008,,,,,,,,,1,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
Day,Date High,     High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last TradedDay, Days Trades
2008-01-04 00:00:00,2008-01-04 00:00:00,41,2008-01-04 00:00:00,39,39,5,2500,98850,2008-01-04 00:00:00,1
2008-01-07 00:00:00,2008-01-07 00:00:00,39,2008-01-07 00:00:00,39,39,1,100,3900,2008-01-07 00:00:00,1
2008-01-08 00:00:00,2008-01-08 00:00:00,38.5,2008-01-08 00:00:00,38.5,38.5,7,2200,84700,2008-01-08 00:00:00,1
2008-01-09 00:00:00,2008-01-09 00:00:00,38,2008-01-09 00:00:00,38,38,1,100,3800,2008-01-09 00:00:00,1
2008-01-10 00:00:00,2008-01-10 00:00:00,37,2008-01-10 00:00:00,37,37,2,200,7400,2008-01-10 00:00:00,1
2008-01-23 00:00:00,2008-01-23 00:00:00,41,2008-01-23 00:00:00,39,40.75,24,6800,274775,2008-01-23 00:00:00,1
2008-01-24 00:00:00,2008-01-24 00:00:00,37.75,2008-01-24 00:00:00,37,37,3,400,14975,2008-01-24 00:00:00,1
2008-01-25 00:00:00,2008-01-25 00:00:00,36.25,2008-01-25 00:00:00,36.25,36.25,2,200,7250,2008-01-25 00:00:00,1
2008-01-28 00:00:00,2008-01-28 00:00:00,37.25,2008-01-28 00:00:00,37.25,37.25,4,1000,37250,2008-01-28 00:00:00,1
2008-01-29 00:00:00,2008-01-29 00:00:00,37.5,2008-01-29 00:00:00,37.5,37.5,2,300,11250,2008-01-29 00:00:00,1
2008-01-30 00:00:00,2008-01-30 00:00:00,37.5,2008-01-30 00:00:00,37.5,37.5,1,100,3750,2008-01-30 00:00:00,1
2008-01-31 00:00:00,2008-01-31 00:00:00,38,2008-01-31 00:00:00,38,38,1,500,19000,2008-01-31 00:00:00,1
2008-02-06 00:00:00,2008-02-06 00:00:00,38,2008-02-06 00:00:00,38,38,1,100,3800,2008-02-06 00:00:00,1
2008-02-08 00:00:00,2008-02-08 00:00:00,40,2008-02-08 00:00:00,39,39.75,2,700,27900,2008-02-08 00:00:00,1
2008-02-11 00:00:00,2008-02-11 00:00:00,40,2008-02-11 00:00:00,40,40,6,2900,116000,2008-02-11 00:00:00,1
2008-02-12 00:00:00,2008-02-12 00:00:00,40,2008-02-12 00:00:00,39,39.5,6,1200,47650,2008-02-12 00:00:00,1
2008-02-13 00:00:00,2008-02-13 00:00:00,44,2008-02-13 00:00:00,39.75,43,27,13700,582250,2008-02-13 00:00:00,1
