Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-01-02 00:00:00,2009-01-02 00:00:00,31,2009-01-02 00:00:00,30,30.25,4,600,18100,2009-01-02 00:00:00,1
2009-01-05 00:00:00,2009-01-05 00:00:00,33,2009-01-05 00:00:00,30,31,9,7800,243600,2009-01-05 00:00:00,1
2009-01-09 00:00:00,2009-01-09 00:00:00,25.5,2009-01-09 00:00:00,25.5,25.5,1,500,12750,2009-01-09 00:00:00,1
2009-01-12 00:00:00,2009-01-12 00:00:00,26.25,2009-01-12 00:00:00,25.5,26,2,1000,25875,2009-01-12 00:00:00,1
2009-01-13 00:00:00,2009-01-13 00:00:00,30,2009-01-13 00:00:00,30,30,1,100,3000,2009-01-13 00:00:00,1
2009-01-15 00:00:00,2009-01-15 00:00:00,32,2009-01-15 00:00:00,30,31.75,14,14600,462325,2009-01-15 00:00:00,1
2009-01-16 00:00:00,2009-01-16 00:00:00,33,2009-01-16 00:00:00,32,32,2,1100,35300,2009-01-16 00:00:00,1
2009-01-19 00:00:00,2009-01-19 00:00:00,35,2009-01-19 00:00:00,32.25,33.5,13,4000,133025,2009-01-19 00:00:00,1
2009-01-20 00:00:00,2009-01-20 00:00:00,38,2009-01-20 00:00:00,34.75,35.25,10,6500,228550,2009-01-20 00:00:00,1
2009-01-21 00:00:00,2009-01-21 00:00:00,36,2009-01-21 00:00:00,32,33.5,8,2000,66800,2009-01-21 00:00:00,1
2009-01-22 00:00:00,2009-01-22 00:00:00,36,2009-01-22 00:00:00,35.5,35.75,2,200,7150,2009-01-22 00:00:00,1
2009-01-26 00:00:00,2009-01-26 00:00:00,38,2009-01-26 00:00:00,35.5,36.5,35,29900,1094250,2009-01-26 00:00:00,1
2009-01-27 00:00:00,2009-01-27 00:00:00,38,2009-01-27 00:00:00,37.5,37.75,7,9000,339625,2009-01-27 00:00:00,1
2009-01-30 00:00:00,2009-01-30 00:00:00,38,2009-01-30 00:00:00,37,38,10,4100,153250,2009-01-30 00:00:00,1
2009-02-05 00:00:00,2009-02-05 00:00:00,37.75,2009-02-05 00:00:00,35,37,5,1800,65725,2009-02-05 00:00:00,1
2009-02-06 00:00:00,2009-02-06 00:00:00,37.75,2009-02-06 00:00:00,37.5,37.75,4,3100,116750,2009-02-06 00:00:00,1
2009-02-10 00:00:00,2009-02-10 00:00:00,39.25,2009-02-10 00:00:00,37.75,39,22,18500,715650,2009-02-10 00:00:00,1
2009-02-11 00:00:00,2009-02-11 00:00:00,39.75,2009-02-11 00:00:00,34,39.25,7,1400,54450,2009-02-11 00:00:00,1
2009-02-12 00:00:00,2009-02-12 00:00:00,40,2009-02-12 00:00:00,39.75,39.75,8,2400,95500,2009-02-12 00:00:00,1
2009-02-13 00:00:00,2009-02-13 00:00:00,40,2009-02-13 00:00:00,39.75,39.75,10,3300,131225,2009-02-13 00:00:00,1
2009-02-16 00:00:00,2009-02-16 00:00:00,44,2009-02-16 00:00:00,40,43.25,19,17300,708825,2009-02-16 00:00:00,1
2009-02-17 00:00:00,2009-02-17 00:00:00,44.75,2009-02-17 00:00:00,43,44,11,5200,228600,2009-02-17 00:00:00,1
2009-02-18 00:00:00,2009-02-18 00:00:00,47.75,2009-02-18 00:00:00,45,45.75,8,2400,109925,2009-02-18 00:00:00,1
2009-02-19 00:00:00,2009-02-19 00:00:00,47,2009-02-19 00:00:00,46.5,46.75,4,400,18650,2009-02-19 00:00:00,1
2009-02-20 00:00:00,2009-02-20 00:00:00,49,2009-02-20 00:00:00,47,48,21,9300,443575,2009-02-20 00:00:00,1
2009-02-26 00:00:00,2009-02-26 00:00:00,52,2009-02-26 00:00:00,47.5,49.5,24,17000,843325,2009-02-26 00:00:00,1
2009-02-27 00:00:00,2009-02-27 00:00:00,53.5,2009-02-27 00:00:00,49,53.25,19,10500,549375,2009-02-27 00:00:00,1
2009-03-02 00:00:00,2009-03-02 00:00:00,55,2009-03-02 00:00:00,43.25,53.5,7,3100,165525,2009-03-02 00:00:00,1
2009-03-03 00:00:00,2009-03-03 00:00:00,54.75,2009-03-03 00:00:00,47,52.75,4,700,36575,2009-03-03 00:00:00,1
2009-03-04 00:00:00,2009-03-04 00:00:00,54,2009-03-04 00:00:00,46,53.5,7,2700,142175,2009-03-04 00:00:00,1
2009-03-05 00:00:00,2009-03-05 00:00:00,53.25,2009-03-05 00:00:00,48,53.25,7,7700,409275,2009-03-05 00:00:00,1
2009-03-06 00:00:00,2009-03-06 00:00:00,53.5,2009-03-06 00:00:00,53.5,53.5,1,100,5350,2009-03-06 00:00:00,1
2009-03-09 00:00:00,2009-03-09 00:00:00,50,2009-03-09 00:00:00,50,50,1,100,5000,2009-03-09 00:00:00,1
2009-03-12 00:00:00,2009-03-12 00:00:00,53,2009-03-12 00:00:00,47.75,52,15,6200,311025,2009-03-12 00:00:00,1
2009-03-17 00:00:00,2009-03-17 00:00:00,49.75,2009-03-17 00:00:00,48,49,17,15400,745550,2009-03-17 00:00:00,1
2009-03-18 00:00:00,2009-03-18 00:00:00,51.25,2009-03-18 00:00:00,51.25,51.25,1,100,5125,2009-03-18 00:00:00,1
2009-03-19 00:00:00,2009-03-19 00:00:00,52,2009-03-19 00:00:00,50,50.25,4,1800,90375,2009-03-19 00:00:00,1
2009-03-20 00:00:00,2009-03-20 00:00:00,51,2009-03-20 00:00:00,48,50,6,1300,64900,2009-03-20 00:00:00,1
2009-03-23 00:00:00,2009-03-23 00:00:00,52,2009-03-23 00:00:00,50.5,50.75,2,1200,60750,2009-03-23 00:00:00,1
2009-03-24 00:00:00,2009-03-24 00:00:00,52,2009-03-24 00:00:00,51.5,52,12,10500,543825,2009-03-24 00:00:00,1
2009-03-26 00:00:00,2009-03-26 00:00:00,49,2009-03-26 00:00:00,48.25,49,2,1100,53825,2009-03-26 00:00:00,1
2009-04-01 00:00:00,2009-04-01 00:00:00,44.25,2009-04-01 00:00:00,44.25,44.25,1,100,4425,2009-04-01 00:00:00,1
2009-04-06 00:00:00,2009-04-06 00:00:00,43.5,2009-04-06 00:00:00,43.5,43.5,1,100,4350,2009-04-06 00:00:00,1
2009-04-20 00:00:00,2009-04-20 00:00:00,47,2009-04-20 00:00:00,42,42.25,2,1900,80300,2009-04-20 00:00:00,1
2009-04-21 00:00:00,2009-04-21 00:00:00,54.75,2009-04-21 00:00:00,49,50.5,18,4300,216875,2009-04-21 00:00:00,1
2009-04-22 00:00:00,2009-04-22 00:00:00,53.75,2009-04-22 00:00:00,52,52.5,5,1200,62925,2009-04-22 00:00:00,1
2009-04-23 00:00:00,2009-04-23 00:00:00,52.5,2009-04-23 00:00:00,52.5,52.5,1,100,5250,2009-04-23 00:00:00,1
2009-05-06 00:00:00,2009-05-06 00:00:00,50,2009-05-06 00:00:00,48.25,49.5,7,2800,139675,2009-05-06 00:00:00,1
2009-05-07 00:00:00,2009-05-07 00:00:00,52,2009-05-07 00:00:00,50,50.75,7,5900,299000,2009-05-07 00:00:00,1
2009-05-15 00:00:00,2009-05-15 00:00:00,50,2009-05-15 00:00:00,50,50,3,300,15000,2009-05-15 00:00:00,1
2009-05-18 00:00:00,2009-05-18 00:00:00,50,2009-05-18 00:00:00,50,50,7,2503700,125185000,2009-05-18 00:00:00,1
2009-05-21 00:00:00,2009-05-21 00:00:00,52.75,2009-05-21 00:00:00,52.75,52.75,1,200,10550,2009-05-21 00:00:00,1
2009-05-26 00:00:00,2009-05-26 00:00:00,52,2009-05-26 00:00:00,52,52,1,100,5200,2009-05-26 00:00:00,1
_x000c_ REPORT :,HIGHLOW Re,v 2.1,,,,,,RUN :,2010-01-20 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSING,PRICES,AS AT    20-JAN-,2010          PAGE:,2,
,,,==========,===========,============,========,================,=,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,------------,--------,----------------,--------------------,------------,-------
Day,Date Hig,h       High,Date Low,Low,Closing,Trades(N,o.)  Shares(No.),Turnover(Rs.),Last Traded,Days Tr
----------,----------,-------------,------------,-----------,------------,--------,----------------,--------------------,------------,-------
2009-06-09 00:00:00,2009-06-09 00:00:00,53.75,2009-06-09 00:00:00,49.5,51.75,5,4200,217100,2009-06-09 00:00:00,1
