Daily High Low and Closing Share Prices - 2010,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
Company Id :  AAIC,,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2010-01-04 00:00:00,2010-01-04 00:00:00,55.75,2010-01-04 00:00:00,55.75,55.75,2,500,27875,2010-01-04 00:00:00,1
2010-01-05 00:00:00,2010-01-05 00:00:00,57,2010-01-05 00:00:00,57,57,1,100,5700,2010-01-05 00:00:00,1
2010-01-07 00:00:00,2010-01-07 00:00:00,55,2010-01-07 00:00:00,51.5,54.25,11,4500,241125,2010-01-07 00:00:00,1
2010-01-08 00:00:00,2010-01-08 00:00:00,56,2010-01-08 00:00:00,56,56,1,100,5600,2010-01-08 00:00:00,1
2010-01-11 00:00:00,2010-01-11 00:00:00,56,2010-01-11 00:00:00,56,56,2,200,11200,2010-01-11 00:00:00,1
2010-01-12 00:00:00,2010-01-12 00:00:00,54.75,2010-01-12 00:00:00,54.75,54.75,1,500,27375,2010-01-12 00:00:00,1
2010-01-13 00:00:00,2010-01-13 00:00:00,54.75,2010-01-13 00:00:00,52,54.25,10,2300,122275,2010-01-13 00:00:00,1
2010-01-15 00:00:00,2010-01-15 00:00:00,52.75,2010-01-15 00:00:00,52.25,52.75,2,2600,136900,2010-01-15 00:00:00,1
2010-01-18 00:00:00,2010-01-18 00:00:00,53.25,2010-01-18 00:00:00,52.75,53.25,5,600,31700,2010-01-18 00:00:00,1
2010-01-19 00:00:00,2010-01-19 00:00:00,52.75,2010-01-19 00:00:00,52,52,7,3600,188450,2010-01-19 00:00:00,1
2010-01-20 00:00:00,2010-01-20 00:00:00,56.5,2010-01-20 00:00:00,52,56.5,2,500,26900,2010-01-20 00:00:00,1
2010-01-22 00:00:00,2010-01-22 00:00:00,52,2010-01-22 00:00:00,52,52,1,5000,260000,2010-01-22 00:00:00,1
2010-01-25 00:00:00,2010-01-25 00:00:00,52.25,2010-01-25 00:00:00,52.25,52.25,1,500,26125,2010-01-25 00:00:00,1
2010-01-26 00:00:00,2010-01-26 00:00:00,55,2010-01-26 00:00:00,55,55,1,100,5500,2010-01-26 00:00:00,1
2010-01-28 00:00:00,2010-01-28 00:00:00,58,2010-01-28 00:00:00,52,57.25,6,2000,114200,2010-01-28 00:00:00,1
2010-02-01 00:00:00,2010-02-01 00:00:00,60,2010-02-01 00:00:00,59.25,59.5,2,300,17850,2010-02-01 00:00:00,1
2010-02-03 00:00:00,2010-02-03 00:00:00,57,2010-02-03 00:00:00,53.5,55,9,3200,175000,2010-02-03 00:00:00,1
2010-02-05 00:00:00,2010-02-05 00:00:00,55,2010-02-05 00:00:00,55,55,1,1000,55000,2010-02-05 00:00:00,1
2010-02-08 00:00:00,2010-02-08 00:00:00,57,2010-02-08 00:00:00,57,57,1,100,5700,2010-02-08 00:00:00,1
2010-02-11 00:00:00,2010-02-11 00:00:00,56,2010-02-11 00:00:00,52.25,52.25,2,1500,78750,2010-02-11 00:00:00,1
2010-02-12 00:00:00,2010-02-12 00:00:00,58,2010-02-12 00:00:00,56,57,4,800,45600,2010-02-12 00:00:00,1
2010-02-15 00:00:00,2010-02-15 00:00:00,60,2010-02-15 00:00:00,58,58,6,1700,99500,2010-02-15 00:00:00,1
2010-02-16 00:00:00,2010-02-16 00:00:00,58,2010-02-16 00:00:00,54,54.25,3,1100,59800,2010-02-16 00:00:00,1
2010-02-17 00:00:00,2010-02-17 00:00:00,60,2010-02-17 00:00:00,57.5,58,9,4100,238950,2010-02-17 00:00:00,1
2010-02-18 00:00:00,2010-02-18 00:00:00,60,2010-02-18 00:00:00,59.5,59.75,2,200,11950,2010-02-18 00:00:00,1
2010-02-19 00:00:00,2010-02-19 00:00:00,55,2010-02-19 00:00:00,55,55,3,301600,16588000,2010-02-19 00:00:00,1
2010-02-22 00:00:00,2010-02-22 00:00:00,60,2010-02-22 00:00:00,60,60,1,100,6000,2010-02-22 00:00:00,1
2010-02-23 00:00:00,2010-02-23 00:00:00,60,2010-02-23 00:00:00,59.25,60,13,3800,226625,2010-02-23 00:00:00,1
2010-02-24 00:00:00,2010-02-24 00:00:00,60,2010-02-24 00:00:00,60,60,3,1700,102000,2010-02-24 00:00:00,1
2010-02-25 00:00:00,2010-02-25 00:00:00,60,2010-02-25 00:00:00,60,60,5,3200,192000,2010-02-25 00:00:00,1
2010-02-26 00:00:00,2010-02-26 00:00:00,64.5,2010-02-26 00:00:00,60,63.5,4,1500,95400,2010-02-26 00:00:00,1
2010-03-02 00:00:00,2010-03-02 00:00:00,62.5,2010-03-02 00:00:00,62.5,62.5,3,2100,131250,2010-03-02 00:00:00,1
2010-03-03 00:00:00,2010-03-03 00:00:00,63.5,2010-03-03 00:00:00,62.5,63.5,5,600,37700,2010-03-03 00:00:00,1
2010-03-04 00:00:00,2010-03-04 00:00:00,60,2010-03-04 00:00:00,50,57.5,62,4934900,247123100,2010-03-04 00:00:00,1
2010-03-05 00:00:00,2010-03-05 00:00:00,61,2010-03-05 00:00:00,59,59,15,10900,656225,2010-03-05 00:00:00,1
2010-03-15 00:00:00,2010-03-15 00:00:00,57,2010-03-15 00:00:00,57,57,3,900,51300,2010-03-15 00:00:00,1
2010-03-17 00:00:00,2010-03-17 00:00:00,52.75,2010-03-17 00:00:00,52.5,52.5,3,600,31525,2010-03-17 00:00:00,1
2010-03-18 00:00:00,2010-03-18 00:00:00,58,2010-03-18 00:00:00,53.25,57.75,6,1300,70550,2010-03-18 00:00:00,1
2010-03-25 00:00:00,2010-03-25 00:00:00,60.5,2010-03-25 00:00:00,56,58.75,8,2700,158650,2010-03-25 00:00:00,1
2010-03-26 00:00:00,2010-03-26 00:00:00,60,2010-03-26 00:00:00,58,58,8,2500,149525,2010-03-26 00:00:00,1
2010-03-30 00:00:00,2010-03-30 00:00:00,55.25,2010-03-30 00:00:00,55.25,55.25,1,100,5525,2010-03-30 00:00:00,1
2010-04-01 00:00:00,2010-04-01 00:00:00,59.75,2010-04-01 00:00:00,57.75,58.25,6,1600,94525,2010-04-01 00:00:00,1
2010-04-05 00:00:00,2010-04-05 00:00:00,55.25,2010-04-05 00:00:00,55,55,4,900,49550,2010-04-05 00:00:00,1
2010-04-06 00:00:00,2010-04-06 00:00:00,58.75,2010-04-06 00:00:00,58,58.75,3,5800,340325,2010-04-06 00:00:00,1
