,Statutory Reserve Requirement (SRR)(a),
,,Per cent
,        Date,SRR
,05.01.2000,11
,19.10.2001,10
,17.10.2008,9.25
,28.11.2008,7.75
,27.02.2009,7
,29.04.2011,8
,01.07.2013,6
,16.01.2016,7.5
,16.11.2018,6
,01.03.2019,5
,16.03.2020,4
,16.06.2020,2
,01.09.2021,4
,16.08.2023 ,2
     Source: Central Bank of Sri Lanka,,
,"(a) Statutory Reserve Requirement (SRR) is the propotion of rupee deposit liabilities that 
     commercial banks are required to maintain as a deposit with the Central Bank, subject to
     an allowance for vault cash balances, which could be deducted from the requirement.",
