Dividend Record 1995,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
CFIN,Nt0000,CENTRAL FINANCE,1994-12-15 00:00:00,1995-01-09 00:00:00,10,FIRST INTERIM (T.F.),570,512
LPRT,Nt0000,LAKE HOUSE PRIN.,1994-12-28 00:00:00,1995-01-11 00:00:00,5,FINAL,30,20
KHC,Nt0000,KANDY HOTELS 1/-,1994-12-30 00:00:00,1995-01-16 00:00:00,20,FINAL,59,59
CARS,Nt0000,CARSONS,1995-01-02 00:00:00,1995-01-20 00:00:00,40,FIRST INTERIM,615,625
TANG,Nt0000,TANGERINE,1995-01-04 00:00:00,1995-01-20 00:00:00,20,INTERIM (T.F),140,140
VTEX,Nt0000,VEYTEX,1995-01-02 00:00:00,1995-01-20 00:00:00,10,FIRST & FINAL,19.5,19.5
ITH,Nt0000,INT. TOURISTS,1995-01-11 00:00:00,1995-02-06 00:00:00,8,1ST INTERIM,25.75,24
WALK,Nt0000,WALKERS TOURS,1995-01-12 00:00:00,1995-02-08 00:00:00,10,1ST INTERIM,83,83
CHMX,Nt0000,CHEMANEX,1995-01-24 00:00:00,1995-02-10 00:00:00,8,INTERIM,99.5,99.5
JKL,Nt0000,JOHN KEELLS,1995-01-18 00:00:00,1995-02-10 00:00:00,10,1ST INTERIM,137,136
JKH,Nt0000,JKH,1995-01-19 00:00:00,1995-02-13 00:00:00,10,1ST INTERIM,276,270
COMD,Nt0000,COMMERCIAL DEV.,1995-01-26 00:00:00,1995-02-15 00:00:00,11.25,INTERIM (T.F.),26.5,26
HLOG,Nt0000,HABARANA LODGE,1995-01-20 00:00:00,1995-02-15 00:00:00,10,1ST INTERIM,62,62
KINN,Nt0000,KANDY WALK INN,1995-01-25 00:00:00,1995-02-17 00:00:00,10,1ST INTERIM,70,66
COCO,Nt0000,COCO LANKA,1995-01-25 00:00:00,1995-02-20 00:00:00,10,INTERIM (T.F.),21,21
HINN,Nt0000,HABARANA WALKINN,1995-01-26 00:00:00,1995-02-20 00:00:00,10,1ST INTERIM,66.25,63
CIC,Nt0000,CIC,1995-02-15 00:00:00,1995-03-07 00:00:00,15,INTERIM (11.7% T.F.),95,91.5
SIDL,Nt0000,SIEDLES,1995-02-23 00:00:00,1995-03-15 00:00:00,10,INTERIM,13.5,13
SING,Nt0000,SINGALANKA,1995-03-06 00:00:00,1995-03-23 00:00:00,10,INTERIM,58,61
