Dividend Records - 2000,,,,,,,,
Company ID,Type of Shares,Company Name,XD Date,Date of Payment,Rate,Description,Cum Price,Ex Price
LLUB,Nt0000,CALTEX,1999-12-27 00:00:00,2000-01-07 00:00:00,41.5,INTERIM DIVIDEND,73.75,68
CDIC,Nt0000,CDIC,1999-12-29 00:00:00,2000-01-11 00:00:00,20,INTERIM DIVIDEND,28,28
CDIC,Nt0000,CDIC,2000-01-18 00:00:00,2000-02-01 00:00:00,15,SECOND INTERIM DIVIDEND,28,28
SAMP,Nt0000,SAMPATH,2000-01-24 00:00:00,2000-02-03 00:00:00,31.25,20% PAID OUT - 80% RETAINED BY CO.,45.25,45.25
GRAN,Nt0000,GRAIN ELEVATORS,2000-02-08 00:00:00,2000-02-18 00:00:00,25,INTERIM (TAX FREE),22.75,20.5
TAFL,Nt0000,THREE ACRE FARMS,2000-02-08 00:00:00,2000-02-18 00:00:00,20,INTERIM,25.25,20
HSIG,Nt0000,HOTEL SIGIRIYA,2000-02-10 00:00:00,2000-02-22 00:00:00,10,INTERIM DIVIDEND,12.75,13.5
LOLC,Nt0000,LOLC,2000-02-11 00:00:00,2000-02-23 00:00:00,10,INTERIM,30,29.5
RCL,Nt0000,ROYAL CERAMICS,2000-02-14 00:00:00,2000-02-24 00:00:00,10,INTERIM DIVIDEND,16,14.5
CHMX,Nt0000,CHEMANEX,2000-02-21 00:00:00,2000-03-02 00:00:00,12,INTERIM,30.5,30
KINN,Nt0000,KANDY WALK INN,2000-02-24 00:00:00,2000-03-07 00:00:00,10,INTERIM DIVIDEND,21,21
KFP,Nt0000,KEELLS FOOD,2000-02-24 00:00:00,2000-03-07 00:00:00,10,INTERIM DIVIDEND,14,13.75
JKL,Nt0000,JOHN KEELLS,2000-02-25 00:00:00,2000-03-08 00:00:00,10,INTERIM DIVIDEND,34,33
WALK,Nt0000,WALKERS TOURS,2000-02-25 00:00:00,2000-03-08 00:00:00,20,INTERIM DIVIDEND,58,53.75
CCS,Nt0000,COLD STORES 8/-,2000-02-22 00:00:00,2000-03-09 00:00:00,15,INTERIM DIVIDEND,67,65
HINN,Nt0000,HABARANA WALKINN,2000-02-28 00:00:00,2000-03-09 00:00:00,20,INTERIM DIVIDEND,56.5,52
CIC,Nt0000,CIC,2000-02-29 00:00:00,2000-03-10 00:00:00,12.5,INTERIM DIVIDEND (VOTING & NON-VOTING),31.25,31.5
CIC,Xt0000,CIC,2000-02-29 00:00:00,2000-03-10 00:00:00,12.5,INTERIM DIV. (VOTING & NON-VOTING),24.25,25
HLOG,Nt0000,HABARANA LODGE,2000-02-29 00:00:00,2000-03-10 00:00:00,10,INTERIM DIVIDEND,25,24
JKH,Nt0000,JKH,2000-02-23 00:00:00,2000-03-10 00:00:00,10,INTERIM DIVIDEND,150,150
ITH,Nt0000,INT. TOURISTS,2000-03-01 00:00:00,2000-03-13 00:00:00,10,INTERIM DIVIDEND,15,14.5
HEXP,Nt0000,HAYLEYS EXPORTS,2000-03-02 00:00:00,2000-03-14 00:00:00,15,INTERIM DIVIDEND,30,30
