Dividend Records - 2001,,,,,,,
Company ID,Type of Shares,Company Name,XD From,Date of Payment,Rate & Description,Cum Price,Ex Price
NEH,Nt0000,NUWARA ELIYA,2000-12-20 00:00:00,2001-01-03 00:00:00,60.00INTERIM (TAX FREE),205,205
HARI,Nt0000,HARISCHANDRA,2000-12-29 00:00:00,2001-01-18 00:00:00,20.00FINAL,140,140
LLUB,Nt0000,CALTEX,2001-01-03 00:00:00,2001-01-17 00:00:00,41.50THIRD INTERIM,50,45.75
COML,Nt0000,COMM. LEASING,2001-01-04 00:00:00,2001-01-18 00:00:00,15.00INTERIM,27,27
CARE,Nt0000,PRINTCARE (CEY),2001-01-05 00:00:00,2001-01-19 00:00:00,10.00INTERIM (TAX FREE),27,20
EBCR,Nt0000,E B CREASY,2001-01-10 00:00:00,2001-01-23 00:00:00,20.00FIRST & FINAL,35,33
CDIC,Nt0000,CDIC,2001-01-18 00:00:00,2001-01-30 00:00:00,12.00INTERIM,28,28
NEH,Nt0000,NUWARA ELIYA,2001-02-02 00:00:00,2001-02-16 00:00:00,25.002ND INTERIM (TAX FREE),200,200
TYRE,Nt0000,KELANI TYRES,2001-02-12 00:00:00,2001-02-22 00:00:00,7.46INTERIM (TAX FREE),5.75,5
HEXP,Nt0000,HAYLEYS EXPORTS,2001-02-13 00:00:00,2001-02-23 00:00:00,20.00INTERIM,32,32
TRAN,Nt0000,TRANS ASIA,2001-02-13 00:00:00,2001-02-28 00:00:00,10.00INTERIM,22.75,24
CSF,Nt0000,CEYLINCO SEC.,2001-02-22 00:00:00,2001-03-06 00:00:00,5.00INTERIM,3.5,3
CTCE,Nt0000,EAGLE INSURANCE,2001-02-22 00:00:00,2001-03-13 00:00:00,45.00FIRST & FINAL,35.25,32
CCS,Nt0000,COLD STORES 8/-,2001-02-26 00:00:00,2001-03-08 00:00:00,25.00INTERIM,48,44.5
HLOG,Nt0000,HABARANA LODGE,2001-02-26 00:00:00,2001-03-08 00:00:00,10.00INTERIM,20.5,20.5
JKH,Nt0000,JKH,2001-02-26 00:00:00,2001-03-08 00:00:00,10.00INTERIM,36.5,35.5
JKL,Nt0000,JOHN KEELLS,2001-02-26 00:00:00,2001-03-08 00:00:00,20.00INTERIM,41,40
KFP,Nt0000,KEELLS FOOD,2001-02-26 00:00:00,2001-03-08 00:00:00,15.00INTERIM,15,13
CTC,Nt0000,CEYLON TOBACCO,2001-02-27 00:00:00,2001-03-15 00:00:00,14.00FINAL,30,29.25
CIC,Nt0000,CIC,2001-03-02 00:00:00,2001-03-15 00:00:00,15.00INTERIM (VOTING & NON VOTING CLASS X),24.5,36.75
HAYC,Nt0000,HAYCARB,2001-03-02 00:00:00,2001-03-15 00:00:00,"20.00INTERIM(TAXABLE- 18.9% ,TAX EXEMPT-1.1%)",42,41
LOLC,Nt0000,LOLC,2001-03-05 00:00:00,2001-03-16 00:00:00,10.00SECOND INTERIM,21,21
DIMO,Nt0000,DIMO,2001-03-06 00:00:00,2001-03-19 00:00:00,20.00INTERIM,38,38
DIPD,Nt0000,DIPPED PRODUCTS,2001-03-06 00:00:00,2001-03-19 00:00:00,20.00INTERIM (TAX FREE),51,50.5
ASIR,Nt0000,ASIRI,2001-03-07 00:00:00,2001-03-20 00:00:00,30.00INTERIM (ON THE EXISTING SHARE CAPITAL),55,52.25
HNB,Nt0000,HNB,2001-03-07 00:00:00,2001-04-06 00:00:00,20.00FINAL (VOTING & NON-VOTING),43.75,41
CHOT,Nt0000,HOTELS CORP. 2/-,2001-03-07 00:00:00,2001-03-27 00:00:00,50.00INTERIM,70,75
