Dividend Records - 2006,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
COLO-N-0,10% FIRST & FINAL DIVI,2005-12-02 00:00:00,2006-01-17 00:00:00,2006-01-27 00:00:00,24.5,25.5
HSIG-N-0,5% INTERIM DIVIDEND (T,2005-12-21 00:00:00,2006-01-06 00:00:00,2006-01-20 00:00:00,34,25.5
CFIN-N-0,10% FIRST INTERIM DIVI,2005-12-23 00:00:00,2005-12-30 00:00:00,2006-01-16 00:00:00,150,152.5
AMSL-N-0,10% INTERIM DIVIDEND (,2005-12-28 00:00:00,2006-01-02 00:00:00,2006-01-12 00:00:00,3,2.75
ASIR-N-0,10% INTERIM DIVIDEND (,2005-12-28 00:00:00,2006-01-04 00:00:00,2006-01-19 00:00:00,55.5,54
CTC-N-00,26% FOURTH INTERIM DIV,2005-12-29 00:00:00,2006-01-17 00:00:00,2006-01-27 00:00:00,57,52
LOLC-N-0,15% INTERIM DIVIDEND,2005-12-29 00:00:00,2006-01-02 00:00:00,2006-01-16 00:00:00,100.75,99.75
CFI-N-00,7.5% FIRST & FINAL DIV,2006-01-02 00:00:00,2006-02-02 00:00:00,2006-02-15 00:00:00,16.25,18.75
CIT-N-00,7.5% FIRST & FINAL DIV,2006-01-02 00:00:00,2006-02-02 00:00:00,2006-02-15 00:00:00,15,14.5
ASHA-N-0,20% INTERIM DIVIDEND,2006-01-19 00:00:00,2006-02-02 00:00:00,2006-02-15 00:00:00,33.25,31
TSML-N-0,10% SECOND INTERIM DIV,2006-01-24 00:00:00,2006-02-08 00:00:00,2006-02-20 00:00:00,53,53.5
PDL-N-00,18% FIRST & FINAL DIVI,2006-02-01 00:00:00,2006-03-03 00:00:00,2006-03-16 00:00:00,33.25,34.5
LWL-N-00,12.5% INTERIM DIVIDEND,2006-02-02 00:00:00,2006-02-21 00:00:00,2006-03-03 00:00:00,42.5,42
UAL-N-00,50% FIRST & FINAL DIVI,2006-02-02 00:00:00,2006-03-21 00:00:00,2006-03-31 00:00:00,108,107.5
HASU-N-0,5% FIRST & FINAL DIVID,2006-02-06 00:00:00,2006-03-27 00:00:00,2006-04-06 00:00:00,18.25,18
TILE-N-0,12% INTERIM DIVIDEND,2006-02-06 00:00:00,2006-02-08 00:00:00,2006-02-20 00:00:00,70,65
VLL-N-00,5% INTERIM DIVIDEND,2006-02-07 00:00:00,2006-02-22 00:00:00,2006-03-06 00:00:00,27,27
MBSL-N-0,7.5% FIRST & FINAL DIV,2006-02-10 00:00:00,2006-03-21 00:00:00,2006-03-31 00:00:00,18.75,18.75
AHPL-N-0,10% INTERIM DIVIDEND,2006-02-14 00:00:00,2006-03-01 00:00:00,2006-03-13 00:00:00,56,56.5
KVAL-N-0,20% FIRST & FINAL DIVI,2006-02-14 00:00:00,2006-03-30 00:00:00,2006-04-12 00:00:00,43,41.75
TRAN-N-0,18.5% INTERIM DIVIDEND,2006-02-14 00:00:00,2006-03-01 00:00:00,2006-03-13 00:00:00,116.5,110
CTCE-N-0,57.5%FIN. DVD. RS. 5.75/SHA,2006-02-15 00:00:00,2006-03-10 00:00:00,2006-03-30 00:00:00,138.5,121
DIMO-N-0,30% INTERIM DIVIDEND,2006-02-16 00:00:00,2006-03-01 00:00:00,2006-03-13 00:00:00,149.75,147.25
HNB-X-00,20% FINAL DIVIDEND,2006-02-17 00:00:00,2006-03-24 00:00:00,2006-04-05 00:00:00,58.5,56
HNB-N-00,20% FINAL DIVIDEND,2006-02-17 00:00:00,2006-03-24 00:00:00,2006-04-05 00:00:00,123.75,123
NHL-N-00,5% INTERIM DIVIDEND,2006-02-22 00:00:00,2006-03-03 00:00:00,2006-03-16 00:00:00,2.6,2.6
DOCK-N-0,8% 1ST & FIN DIV (BONU,2006-02-23 00:00:00,2006-04-17 00:00:00,2006-04-26 00:00:00,25.5,23.5
TPL-N-00,15% FIRST & FINAL DIVI,2006-02-23 00:00:00,2006-03-20 00:00:00,2006-03-30 00:00:00,26.75,25.25
MGT-N-00,25% INTERIM DIVIDEND (,2006-02-24 00:00:00,2006-03-13 00:00:00,2006-03-24 00:00:00,56.25,54.5
CINS-N-0,25% FINAL DIVIDEND,2006-03-01 00:00:00,2006-03-15 00:00:00,2006-04-07 00:00:00,134.75,135.75
DIPD-N-0,15% INTERIM DIVIDEND (,2006-03-01 00:00:00,2006-03-07 00:00:00,2006-03-20 00:00:00,85,84
LHL-N-00,5% INTERIM DIVIDEND (T,2006-03-01 00:00:00,2006-03-15 00:00:00,2006-03-27 00:00:00,55,55
REG-N-00,15% FIRST AND FINAL DI,2006-03-01 00:00:00,2006-03-20 00:00:00,2006-03-30 00:00:00,52,51.75
SINI-N-0,25% FINAL DIVIDEND,2006-03-01 00:00:00,2006-03-20 00:00:00,2006-03-30 00:00:00,60.25,60
SINS-N-0,25% FIRST AND FINAL DI,2006-03-01 00:00:00,2006-03-20 00:00:00,2006-03-30 00:00:00,84,83
SLTL-N-0,7.5% FIRST AND FINAL D,2006-03-01 00:00:00,2006-04-24 00:00:00,2006-05-05 00:00:00,19,18
ASPH-N-0,10% INTERIM DIVIDEND,2006-03-02 00:00:00,2006-03-09 00:00:00,2006-03-22 00:00:00,135,120
CTEA-N-0,40% SECOND INTERIM DIV,2006-03-02 00:00:00,2006-03-16 00:00:00,2006-03-28 00:00:00,460,455
AGAL-N-0,5% FINAL DIVIDEND,2006-03-06 00:00:00,2006-03-28 00:00:00,2006-04-07 00:00:00,16.5,16.5
JFIN-N-0,20% FINAL DIVIDEND,2006-03-06 00:00:00,2006-03-21 00:00:00,2006-03-31 00:00:00,210,215
JKH-N-00,10% SECOND INTERIM DIV,2006-03-06 00:00:00,2006-03-08 00:00:00,2006-03-24 00:00:00,159.75,158
SAMP-N-0,5% SECOND AND FINAL DI,2006-03-06 00:00:00,2006-03-16 00:00:00,2006-04-03 00:00:00,86.5,86
CIC-N-00,17.5% / RS 1.75 PER ORDINARY/,2006-03-08 00:00:00,2006-03-15 00:00:00,2006-03-27 00:00:00,300,300
COXY-N-0,150% FINAL DIVIDEND,2006-03-08 00:00:00,2006-05-24 00:00:00,2006-06-05 00:00:00,192.25,178.75
COMB-X-0,30% FINAL DIVIDEND,2006-03-10 00:00:00,2006-03-15 00:00:00,2006-03-30 00:00:00,76.5,74
COMB-N-0,30% FINAL DIVIDEND,2006-03-10 00:00:00,2006-03-15 00:00:00,2006-03-30 00:00:00,154,150
CHMX-N-0,15% INTERIM DIVIDEND,2006-03-13 00:00:00,2006-03-16 00:00:00,2006-03-28 00:00:00,105,105
CARG-N-0,70% INTERIM DIVIDEND (,2006-03-15 00:00:00,2006-03-23 00:00:00,2006-04-04 00:00:00,550,550
CTLD-N-0,RS.0.40 PER SHARE (LES,2006-03-15 00:00:00,2006-03-23 00:00:00,2006-04-04 00:00:00,14.5,15.25
GLAS-N-0,12% INTERIM DIVIDEND,2006-03-15 00:00:00,2006-03-20 00:00:00,2006-03-30 00:00:00,2.6,2.5
LLUB-N-0,15% FIRST INTERIM DIVI,2006-03-15 00:00:00,2006-03-27 00:00:00,2006-04-06 00:00:00,68,65.5
CTHR-N-0,50% INTERIM DIVIDEND (,2006-03-16 00:00:00,2006-03-23 00:00:00,2006-04-04 00:00:00,3799,3700
MILL-N-0,140% INTERIM DIVIDEND,2006-03-16 00:00:00,2006-03-23 00:00:00,2006-04-04 00:00:00,700,700
NDB-N-00,60% FINAL DIVIDEND  -,2006-03-16 00:00:00,2006-04-17 00:00:00,2006-04-26 00:00:00,254.75,160.25
NEST-N-0,195% FINAL DIVIDEND,2006-03-16 00:00:00,2006-05-10 00:00:00,2006-05-24 00:00:00,194,170.5
COMD-N-0,26 % FINAL DIVIDEND (S,2006-03-22 00:00:00,2006-04-19 00:00:00,2006-04-28 00:00:00,87,67.5
CFIN-N-0,10 % SECOND INTERIM DI,2006-03-23 00:00:00,2006-03-28 00:00:00,2006-04-07 00:00:00,210.5,205
CHL-X-00,15 % INTERIM DIVIDEND,2006-03-23 00:00:00,2006-04-03 00:00:00,2006-04-18 00:00:00,27,25.5
CHL-N-00,15 % INTERIM DIVIDEND,2006-03-23 00:00:00,2006-04-03 00:00:00,2006-04-18 00:00:00,44.75,44.75
LFIN-N-0,10 % INTERIM DIVIDEND,2006-03-27 00:00:00,2006-03-30 00:00:00,2006-04-12 00:00:00,84.25,85
OFEQ-N-0,25% INTERIM DIVIDEND,2006-03-27 00:00:00,2006-03-31 00:00:00,2006-04-17 00:00:00,40,60
HHL-N-00,12.5 % 2ND INTERIM DIV,2006-03-30 00:00:00,2006-04-18 00:00:00,2006-04-28 00:00:00,110,109.75
NEH-N-00,INTERIM DIVIDEND 10 %,2006-03-30 00:00:00,2006-04-10 00:00:00,2006-04-25 00:00:00,625,650
JFIN-N-0,73% SPECIAL INTERIM DI,2006-03-31 00:00:00,2006-04-06 00:00:00,2006-04-21 00:00:00,229.5,220
SPEN-N-0,30 % INTERIM DIVIDEND,2006-03-31 00:00:00,2006-04-06 00:00:00,2006-04-21 00:00:00,345,340
HAYL-N-0,17.5 % INTERIM DIVIDEN,2006-04-03 00:00:00,2006-04-05 00:00:00,2006-04-20 00:00:00,102.75,102
EMER-N-0,10 % FIRST AND FINAL D,2006-04-05 00:00:00,2006-04-10 00:00:00,2006-04-27 00:00:00,80,80
CTC-N-00,14% FIRST INTERIM DIVI,2006-04-06 00:00:00,2006-04-18 00:00:00,2006-04-28 00:00:00,60,60
AUTO-N-0,15% FIRST INTERIM DIVI,2006-04-10 00:00:00,2006-04-18 00:00:00,2006-04-27 00:00:00,1750,
DIAL-N-0,38% FIRST &FINAL DIVID,2006-04-10 00:00:00,2006-05-16 00:00:00,2006-05-26 00:00:00,21.5,21.25
SERV-N-0,70% FINAL DIVIDEND,2006-04-10 00:00:00,2006-05-24 00:00:00,2006-06-05 00:00:00,190,155
BREW-N-0,40% FIRST & FINAL DIVI,2006-04-17 00:00:00,2006-04-24 00:00:00,2006-05-05 00:00:00,120,110
LION-N-0,30% FIRST & FINAL DIVI,2006-04-17 00:00:00,2006-04-24 00:00:00,2006-05-05 00:00:00,78,76.5
WAPO-N-0,15 % FIRST AND FINAL D,2006-04-21 00:00:00,2006-05-05 00:00:00,2006-05-19 00:00:00,600,550
EQIT-N-0,2% 1ST & FINAL DIVIDEN,2006-04-24 00:00:00,2006-05-05 00:00:00,2006-05-19 00:00:00,29,28
LHL-N-00,8% FINAL DIVIDEND (TAX,2006-04-24 00:00:00,2006-06-14 00:00:00,2006-06-24 00:00:00,52,54.5
GLAS-N-0,3 % FINAL DIVIDEND,2006-04-25 00:00:00,2006-07-13 00:00:00,2006-07-25 00:00:00,1.9,1.9
GOOD-N-0,10 % 1ST & FINAL DIV (,2006-04-27 00:00:00,2006-05-16 00:00:00,2006-05-26 00:00:00,198.25,193.75
SELI-N-0,10 % FIRST AND FINAL D,2006-04-27 00:00:00,2006-05-16 00:00:00,2006-05-26 00:00:00,200,200
SHAL-N-0,15 % 1ST & FINAL DIVID,2006-04-27 00:00:00,2006-05-16 00:00:00,2006-05-26 00:00:00,800,815
CINV-N-0,15% FIRST & FINAL DIVI,2006-05-02 00:00:00,2006-05-18 00:00:00,2006-05-30 00:00:00,75,72
GUAR-N-0,15% FIRST & FINAL DIVI,2006-05-02 00:00:00,2006-05-18 00:00:00,2006-05-30 00:00:00,133.25,132
BUKI-N-0,5 % FINAL DIVIDEND ( S,2006-05-03 00:00:00,2006-05-19 00:00:00,2006-05-31 00:00:00,1404.25,1399.8
CARS-N-0,25% FIRST & FINAL DIVI,2006-05-03 00:00:00,2006-05-19 00:00:00,2006-05-31 00:00:00,2700,2750
SPEN-N-0,35% FINAL ORDINARY DIV,2006-05-03 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,322.25,306
LOLC-N-0,15% FINAL DIVIDEND,2006-05-08 00:00:00,2006-06-20 00:00:00,2006-06-30 00:00:00,94,88.25
CDIC-N-0,7% FINAL DIVIDEND,2006-05-09 00:00:00,2006-06-02 00:00:00,2006-06-14 00:00:00,136.75,141.5
DIPD-N-0,15% FINAL DIVIDEND (TA,2006-05-15 00:00:00,2006-06-14 00:00:00,2006-06-24 00:00:00,79.5,79.5
WATA-N-0,12.5 % FIRST AND FINAL,2006-05-15 00:00:00,2006-06-07 00:00:00,2006-06-19 00:00:00,44.75,46.75
LDEV-N-0,10 % FIRST AND FINAL D,2006-05-17 00:00:00,2006-07-11 00:00:00,2006-07-21 00:00:00,15.5,15
MGT-N-00,15% FINAL DIVIDEND (TA,2006-05-17 00:00:00,2006-06-13 00:00:00,2006-06-23 00:00:00,52.75,50.5
HAYL-N-0,17.5 % FINAL DIVIDEND,2006-05-18 00:00:00,2006-06-15 00:00:00,2006-06-27 00:00:00,90.5,88
JKL-N-00,50% FIRST & FINAL DIVI,2006-05-22 00:00:00,2006-06-15 00:00:00,2006-06-27 00:00:00,93,88
KOTA-N-0,10% FIRST & FINAL DIVI,2006-05-22 00:00:00,2006-06-13 00:00:00,2006-06-23 00:00:00,22,21
TSML-N-0,10% FINAL DIVIDEND,2006-05-22 00:00:00,2006-06-16 00:00:00,2006-06-28 00:00:00,55,60.5
UCAR-N-0,45% FINAL DIVIDEND,2006-05-22 00:00:00,2006-07-12 00:00:00,2006-07-24 00:00:00,175,150.25
AHUN-N-0,5 % FIRST AND FINAL DI,2006-05-23 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,69.25,69
CIC-X-00,26.5 % FINAL DIVIDEND,2006-05-23 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,39.25,37.25
CIC-N-00,26.5 % FINAL DIVIDEND,2006-05-23 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,70.5,67.75
DIMO-N-0,30 % FINAL DIVIDEND,2006-05-23 00:00:00,2006-06-08 00:00:00,2006-06-20 00:00:00,135,135
TRAN-N-0,16 .5 % SECOND AND FIN,2006-05-23 00:00:00,2006-06-22 00:00:00,2006-07-04 00:00:00,109.75,109
KHL-N-00,15 % FIRST AND FINAL D,2006-05-24 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,80,76.25
AHPL-N-0,10 % FINAL DIVIDEND,2006-05-26 00:00:00,2006-06-20 00:00:00,2006-06-30 00:00:00,43.75,42
CCS-N-00,30 % FIRST AND FINAL D,2006-05-26 00:00:00,2006-06-16 00:00:00,2006-06-28 00:00:00,145,139.5
HARI-N-0,100 % INTERIM DIVIDEND,2006-05-26 00:00:00,2006-06-05 00:00:00,2006-06-21 00:00:00,360,330
JKH-N-00,10 % FINAL DIVIDEND,2006-05-26 00:00:00,2006-06-14 00:00:00,2006-06-30 00:00:00,149.25,129
DFCC-N-0,60% FIRST & FINAL DIVI,2006-05-29 00:00:00,2006-06-20 00:00:00,2006-06-30 00:00:00,266.75,153.25
RICH-N-0,15% FIRST AND FINAL DI,2006-05-29 00:00:00,2006-06-20 00:00:00,2006-06-30 00:00:00,64.75,60.5
CHMX-N-0,20 % FINAL DIVIDEND,2006-05-30 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,110,102
KGAL-N-0,25% FIRST & FINAL DIVI,2006-05-30 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,46,43
MASK-N-0,15 % FIRST & FINAL DIV,2006-05-30 00:00:00,2006-06-19 00:00:00,2006-06-29 00:00:00,23.5,22.5
PMB-N-00,20% FINAL DIVIDEND,2006-05-31 00:00:00,2006-06-27 00:00:00,2006-07-07 00:00:00,28,28.5
UML-N-00,20% FINAL DIVIDEND,2006-05-31 00:00:00,2006-06-23 00:00:00,2006-07-12 00:00:00,71.25,63.25
APDL-N-0,30% FIRST & FINAL DIVI,2006-06-01 00:00:00,2006-07-19 00:00:00,2006-07-31 00:00:00,76.5,72.5
HDFC-N-0,5 % FIRST & FINAL DIVI,2006-06-02 00:00:00,2006-06-22 00:00:00,2006-07-04 00:00:00,155.5,157
SMOT-N-0,190 % FIRST & FINAL DI,2006-06-08 00:00:00,2006-07-11 00:00:00,2006-07-21 00:00:00,111.75,85
SEMB-N-0,2% FIRST & FINAL DIVID,2006-06-13 00:00:00,2006-07-28 00:00:00,2006-08-10 00:00:00,8.25,8.25
SEYB-N-0,20% FIRST & FINAL DIVI,2006-06-13 00:00:00,2006-07-24 00:00:00,2006-08-04 00:00:00,33,32
AMW-N-00,50 % FINAL DIVIDEND,2006-06-14 00:00:00,2006-07-25 00:00:00,2006-08-04 00:00:00,385,385
LVEN-N-0,15 % FIRST AND FINAL D,2006-06-15 00:00:00,2006-07-28 00:00:00,2006-08-10 00:00:00,15,13
ASHA-N-0,20 % FINAL DIVIDEND,2006-06-16 00:00:00,2006-09-21 00:00:00,2006-09-28 00:00:00,44,42.75
AEC-N-00,75% FINAL DIVIDEND,2006-06-20 00:00:00,2006-09-08 00:00:00,2006-09-20 00:00:00,650,600
ALLI-N-0,50% FIRST & FINAL DIVI,2006-06-22 00:00:00,2006-07-28 00:00:00,2006-08-04 00:00:00,195,180
ARPI-N-0,30% FIRST & FINAL DIVI,2006-06-22 00:00:00,2006-07-24 00:00:00,2006-07-31 00:00:00,75,75
SUGA-N-0,10% FIRST & FINAL DIVI,2006-06-23 00:00:00,2006-07-14 00:00:00,2006-07-26 00:00:00,32.25,31.75
ACL-N-00,20% INTERIM DIVIDEND,2006-06-27 00:00:00,2006-07-05 00:00:00,2006-07-18 00:00:00,109.75,108
ASHO-N-0,100% FIRST & FINAL DIV,2006-06-27 00:00:00,2006-09-04 00:00:00,2006-09-15 00:00:00,222.5,206
ONAL-N-0,8% FINAL DIVIDEND,2006-06-27 00:00:00,2006-07-31 00:00:00,2006-08-11 00:00:00,34.75,33
SIRA-N-0,5 % FINAL DIVIDEND,2006-06-30 00:00:00,2006-08-10 00:00:00,2006-08-22 00:00:00,2,2
CARG-N-0,50% FINAL DIVIDEND (TA,2006-07-03 00:00:00,2006-07-20 00:00:00,2006-08-01 00:00:00,515,510
CSD-N-00,4% FIRST & FINAL DIVID,2006-07-04 00:00:00,2006-07-26 00:00:00,2006-08-07 00:00:00,9.5,9.75
SUN-N-00,15% FIRST & FINAL DIVI,2006-07-05 00:00:00,2006-07-21 00:00:00,2006-08-02 00:00:00,136,130
CTC-N-00,16% SECOND INTERIM DIV,2006-07-06 00:00:00,2006-07-19 00:00:00,2006-07-31 00:00:00,60,59.25
RCL-N-00,10% FINAL DIVIDEND (TA,2006-07-11 00:00:00,2006-07-24 00:00:00,2006-08-03 00:00:00,3.2,3.1
TKYO-X-0,30% FINAL DIVIDEND (TA,2006-07-11 00:00:00,2006-08-14 00:00:00,2006-08-24 00:00:00,11.5,11
TKYO-N-0,30% FINAL DIVIDEND (TA,2006-07-11 00:00:00,2006-08-14 00:00:00,2006-08-24 00:00:00,178,175.25
AMSL-N-0,12.5% FIRST INTERIM DI,2006-07-12 00:00:00,2006-07-25 00:00:00,2006-08-04 00:00:00,5.25,5.75
ASIR-N-0,12.5% FIRST INTERIM DI,2006-07-12 00:00:00,2006-07-31 00:00:00,2006-08-11 00:00:00,65,64.5
CTLD-N-0,6% FINAL DIVIDEND (LES,2006-07-12 00:00:00,2006-08-15 00:00:00,2006-08-25 00:00:00,11.75,11.75
BOPL-N-0,5% FIRST & FINAL DIVID,2006-07-18 00:00:00,2006-08-30 00:00:00,2006-09-12 00:00:00,16,16
ACME-N-0,12.5 % FIRST & FINAL D,2006-07-19 00:00:00,2006-08-17 00:00:00,2006-08-29 00:00:00,22.75,19.25
LALU-N-0,6 % FIRST & FINAL DIVI,2006-07-19 00:00:00,2006-08-17 00:00:00,2006-08-29 00:00:00,26.25,27
SLND-N-0,10% FIRST & FINAL DIVI,2006-07-20 00:00:00,2006-09-28 00:00:00,2006-10-11 00:00:00,250,
CFIN-N-0,15% FINAL DIVIDEND (PA,2006-07-24 00:00:00,2006-08-14 00:00:00,2006-08-24 00:00:00,178.5,175
CTEA-N-0,80% FINAL DIVIDEND,2006-07-27 00:00:00,2006-08-16 00:00:00,2006-08-28 00:00:00,550,257
CWM-N-00,5% FIRST & FINAL DIVID,2006-07-28 00:00:00,2006-08-17 00:00:00,2006-08-29 00:00:00,20.25,20
SOY-N-00,10% FIRST & FINAL DIVI,2006-07-28 00:00:00,2006-08-15 00:00:00,2006-08-25 00:00:00,75,61.5
VPEL-N-0,15% FIRST INTERIM DIVI,2006-07-28 00:00:00,2006-08-15 00:00:00,2006-08-25 00:00:00,2,1.8
LLUB-N-0,35% SECOND INTERIM DIV,2006-08-02 00:00:00,2006-08-08 00:00:00,2006-08-21 00:00:00,78,74
PHAR-N-0,50% FIRST & FINAL DIVI,2006-08-02 00:00:00,2006-09-01 00:00:00,2006-09-14 00:00:00,200,190
MILL-N-0,72% FINAL DIVD (NET OF,2006-08-04 00:00:00,2006-09-05 00:00:00,2006-09-18 00:00:00,700,500
HARI-N-0,100 % FINAL DIVIDEND,2006-08-07 00:00:00,2006-10-18 00:00:00,2006-10-28 00:00:00,400,425
CLND-N-0,7.5 % FIRST AND FINAL,2006-08-11 00:00:00,2006-09-08 00:00:00,2006-09-20 00:00:00,4.4,4.4
SIGV-N-0,10% FIRST & FINAL DIVI,2006-08-14 00:00:00,2006-09-13 00:00:00,2006-09-25 00:00:00,44.25,45
TPL-N-00,10 % INTERIM DIVIDEND,2006-08-14 00:00:00,2006-08-25 00:00:00,2006-09-06 00:00:00,24.25,24
CDIC-N-0,100 % INTERIM DIVIDEND,2006-08-16 00:00:00,2006-08-18 00:00:00,2006-08-30 00:00:00,138.25,130
MILL-N-0,65 % SECOND INTERIM (N,2006-08-24 00:00:00,2006-09-05 00:00:00,2006-09-18 00:00:00,700,500
NEST-N-0,100% INTERIM DIVIDEND,2006-08-28 00:00:00,2006-09-14 00:00:00,2006-09-26 00:00:00,240,231.25
CHOU-N-0,7.5% FIRST & FINAL DIV,2006-09-05 00:00:00,2006-10-30 00:00:00,2006-11-09 00:00:00,50.75,49
HOPL-N-0,10 % FIRST & FINAL DIV,2006-09-06 00:00:00,2006-10-12 00:00:00,2006-10-25 00:00:00,23,23
TWOD-N-0,10 % FINAL DIVIDEND,2006-09-08 00:00:00,2006-09-25 00:00:00,2006-10-05 00:00:00,116,117.5
KDL-N-00,10 % FIRST & FINAL DIV,2006-09-12 00:00:00,2006-10-20 00:00:00,2006-11-02 00:00:00,54.25,35.25
APLA-N-0,7.5 % INTERIM DIVIDEND,2006-09-14 00:00:00,2006-10-02 00:00:00,2006-10-13 00:00:00,47.75,47.75
KCAB-N-0,30 % INTERIM DIVIDEND,2006-09-14 00:00:00,2006-10-02 00:00:00,2006-10-13 00:00:00,102.25,100.75
SIL-N-00,20% INTERIM DIVIDEND,2006-09-14 00:00:00,2006-09-29 00:00:00,2006-10-12 00:00:00,49.25,48
CTHR-N-0,75% SECOND INTERIM DIV,2006-09-15 00:00:00,2006-09-26 00:00:00,2006-10-09 00:00:00,2015,2900
BRWN-N-0,20% FIRST & FINAL DIVI,2006-09-18 00:00:00,2006-11-13 00:00:00,2006-11-23 00:00:00,600,617.5
MAL-N-00,10 % INTERIM DIVIDEND,2006-09-18 00:00:00,2006-09-21 00:00:00,2006-09-30 00:00:00,16.75,16
MORI-X-0,60 % FIRST & FINAL DIV,2006-09-18 00:00:00,2006-10-19 00:00:00,2006-10-30 00:00:00,230,216.75
MORI-N-0,60 % FIRST & FINAL DIV,2006-09-18 00:00:00,2006-10-19 00:00:00,2006-10-30 00:00:00,440,444.25
ACL-N-00,5 % FINAL DIVIDEND,2006-09-21 00:00:00,2006-10-27 00:00:00,2006-11-08 00:00:00,139.75,143
LWL-N-00,22.5 % FINAL DIVIDEND,2006-09-25 00:00:00,2006-11-02 00:00:00,2006-11-14 00:00:00,63.25,61.75
LMF-N-00,10% FIRST & FINAL DIVI,2006-09-27 00:00:00,2006-10-13 00:00:00,2006-10-26 00:00:00,30,29
VPEL-N-0,7.5% SECOND INTERIM DI,2006-09-27 00:00:00,2006-10-11 00:00:00,2006-10-23 00:00:00,2.1,2.1
CABO-N-0,5 % FIRST & FINAL DIVI,2006-09-28 00:00:00,2006-11-09 00:00:00,2006-11-21 00:00:00,25.5,25
KURU-N-0,10% INTERIM DIVIDEND,2006-09-28 00:00:00,2006-10-02 00:00:00,2006-10-12 00:00:00,51,51.5
RENU-N-0,50 % FIRST & FINAL DIV,2006-09-28 00:00:00,2006-11-09 00:00:00,2006-11-21 00:00:00,102,102
TFC-N-00,18 % FIRST AND FINAL D,2006-09-28 00:00:00,2006-10-11 00:00:00,2006-10-23 00:00:00,63,60
COML-N-0,20% INTERIM DIVIDEND,2006-09-29 00:00:00,2006-10-04 00:00:00,2006-10-16 00:00:00,131,130
LCEY-N-0,15% FIRST & FINAL DIVI,2006-09-29 00:00:00,2006-10-18 00:00:00,2006-10-31 00:00:00,46.75,44
TILE-N-0,25% FINAL DIVIDEND,2006-09-29 00:00:00,2006-10-26 00:00:00,2006-11-07 00:00:00,68,66.75
EBCR-N-0,20 % FIRST & FINAL DIV,2006-10-04 00:00:00,2006-10-31 00:00:00,2006-11-10 00:00:00,202,190
