Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2008-12-16 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS  LANKA  PLC,FOURTH INTERIM DIVIDEND OF RS.1.00 PER SHARE,2008-12-23 00:00:00,2009-01-06 00:00:00,92,91.25
2008-12-23 00:00:00,CFIN-N-0000,CENTRAL FINANCE COMPANY PLC,FIRST INTERIM DIVIDEND OF RS.1.25 PER SHARE,2009-01-09 00:00:00,2009-01-22 00:00:00,165,160
2008-12-30 00:00:00,COMD-N-0000,COMMERCIAL DEVELOPMENT COMPANY PLC,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2009-01-12 00:00:00,2009-01-23 00:00:00,35,35.75
2009-01-02 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,FOURTH INTERIM DIVIDEND OF RS.4.80 PER SHARE,2009-01-13 00:00:00,2009-01-26 00:00:00,74,69.5
2009-01-08 00:00:00,UCAR-N-0000,UNION CHEMICALS LANKA PLC,FIRST INTERIM DIVIDEND OF RS.5.00 PER SHARE,2009-01-12 00:00:00,2009-01-16 00:00:00,132,132
2009-01-09 00:00:00,CTEA-N-0000,CEYLON TEA SERVICES PLC,INTERIM DIVIDEND OF RS.25.00 PER SHARE,2009-01-15 00:00:00,2009-01-27 00:00:00,299.75,299
2009-01-28 00:00:00,JKH-N-0000,JOHN KEELLS HOLDINGS PLC,SECOND INTERIM DIVIDEND OF RS.1.00 PER SHARE,2009-02-10 00:00:00,2009-02-20 00:00:00,59.5,62
2009-01-29 00:00:00,COMB-N-0000,COMMERCIAL BANK OF CEYLON PLC (N),FINAL DIVIDEND OF RS.4.00 PER SHARE,2009-04-07 00:00:00,2009-04-17 00:00:00,79,77
2009-01-29 00:00:00,COMB-X-0000,COMMERCIAL BANK OF CEYLON PLC (X),FINAL DIVIDEND OF RS.4.00 PER SHARE,2009-04-07 00:00:00,2009-04-17 00:00:00,64.5,60
2009-01-30 00:00:00,PDL-N-0000,PROPERTY DEVELOPMENT PLC,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2009-03-19 00:00:00,2009-03-25 00:00:00,25,24
2009-02-02 00:00:00,COLO-N-0000,COLONIAL MOTORS PLC,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2009-03-19 00:00:00,2009-03-25 00:00:00,32.5,33.5
2009-02-02 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,FINAL DIVIDEND OF RS.2.13 PER SHARE ,2009-03-26 00:00:00,2009-04-01 00:00:00,94,91.75
2009-02-02 00:00:00,HASU-N-0000,HNB ASSURANCE PLC,FIRST & FINAL DIVIDEND OF RS.1.25 PER SHARE,2009-03-31 00:00:00,2009-04-06 00:00:00,21,20.25
2009-02-03 00:00:00,SERV-N-0000,HOTEL SERVICES (CEYLON) PLC,FIRST INTERIM DIVIDEND OF RS.1.20 PER SHARE,2009-02-20 00:00:00,2009-03-05 00:00:00,120,113.5
