Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-02-26 00:00:00,TILE-N-0,INTERIM DIVIDEND OF RS.1.25 PER SHARE,2010-03-09 00:00:00,2010-03-18 00:00:00,96.75,92.25
2010-03-02 00:00:00,HAYC-N-0,INTERIM DIVIDEND OF RS.2.00 PER SHARE ,2010-03-11 00:00:00,2010-03-22 00:00:00,167,164
2010-03-05 00:00:00,HAPU-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2010-04-26 00:00:00,2010-05-05 00:00:00,45,45
2010-03-08 00:00:00,HAYL-N-0,INTERIM DIVIDEND OF RS.2.00 PER SHARE ,2010-03-17 00:00:00,2010-03-26 00:00:00,230.25,231.5
2010-01-28 00:00:00,COMB-N-0,FINAL DIVIDEND OF RS.4.00 PER SHARE ,2010-04-07 00:00:00,2010-04-19 00:00:00,227,225
2010-01-28 00:00:00,COMB-X-0,FINAL DIVIDEND OF RS.4.00 PER SHARE ,2010-04-07 00:00:00,2010-04-19 00:00:00,188.25,189
2010-03-08 00:00:00,DIPD-N-0,INTERIM DIVIDEND OF RS.1.50 PER SHARE ,2010-03-17 00:00:00,2010-03-25 00:00:00,105.5,105.25
2010-03-08 00:00:00,REG-N-00,FINAL DIVIDEND OF RS.3.00 PER SHARE,2010-03-17 00:00:00,2010-03-24 00:00:00,82.25,84
2010-03-10 00:00:00,MGT-N-00,INTERIM DIVIDEND OF RS.1.00 PER SHARE ,2010-03-19 00:00:00,2010-03-26 00:00:00,33.75,33.25
2010-03-16 00:00:00,JKH-N-00,SECOND INTERIM DIVIDEND OF RS.1.00 PER SHARE,2010-03-25 00:00:00,2010-04-07 00:00:00,171,178
2010-03-17 00:00:00,SLTL-N-0,FIRST & FINAL DIVIDEND OF RS.0.25 PER SHARE,2010-04-29 00:00:00,2010-05-07 00:00:00,37,37
2010-03-17 00:00:00,NDB-N-00,FINAL DIVIDEND OF RS.8.00 PER SHARE ,2010-03-31 00:00:00,2010-04-07 00:00:00,217.5,210
2010-03-18 00:00:00,CRL-N-00,SECOND INTERIM DIVIDEND OF RS.0.50 PER SHARE,2010-03-30 00:00:00,2010-03-31 00:00:00,15.5,15.25
2010-03-23 00:00:00,DOCK-N-0,FIRST & FINAL DIVIDEND OF RS. 8.00 PER SHARE,2010-04-05 00:00:00,2010-04-16 00:00:00,283.75,277.25
2010-03-30 00:00:00,AHPL-N-0,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2010-04-09 00:00:00,2010-04-22 00:00:00,147.5,146
2010-04-01 00:00:00,LWL-N-00,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2010-04-15 00:00:00,2010-04-26 00:00:00,79,79.5
2010-04-01 00:00:00,LLUB-N-00 ,FIRST INTERIM DIVIDEND OF RS. 3.00 PER SHARE,2010-04-15 00:00:00,2010-04-26 00:00:00,173.25,172
2010-03-15 00:00:00,CINS-X-0,FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE,2010-05-31 00:00:00,2010-06-08 00:00:00,168.25,168
2010-03-15 00:00:00,CINS-N-0,FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE,2010-05-31 00:00:00,2010-06-08 00:00:00,270,265
2010-04-07 00:00:00,COMD-N-0,FINAL DIVIDEND OF RS. 1.00 PER SHARE,2010-06-01 00:00:00,2010-06-09 00:00:00,53.75,49.5
2010-04-27 00:00:00,LFIN-N-0,INTERIM DIVIDEND OF RS. 5.00 PER SHARE ,2010-05-07 00:00:00,2010-05-18 00:00:00,91,88
2010-04-27 00:00:00,SELI-N-0,FIRST & FINAL DIVIDEND OF RS. 12.50 PER SHARE ,2010-06-07 00:00:00,2010-06-15 00:00:00,413.5,420
2010-04-27 00:00:00,SHAL-N-0,FIRST & FINAL DIVIDEND OF RS. 10.00 PER SHARE ,2010-06-07 00:00:00,2010-06-15 00:00:00,725,725
2010-04-27 00:00:00,GOOD-N-0,FIRST & FINAL DIVIDEND OF RS. 12.00 PER SHARE ,2010-06-07 00:00:00,2010-06-15 00:00:00,399.25,403.5
2010-04-27 00:00:00,INDO-N-0,FIRST & FINAL DIVIDEND OF RS. 9.50 PER SHARE ,2010-06-07 00:00:00,2010-06-15 00:00:00,400,415
2010-04-29 00:00:00,SPEN-N-0,INTERIM DIVIDEND OF RS. 3.50 PER SHARE ,2010-05-10 00:00:00,2010-05-19 00:00:00,1450,1450
2010-05-03 00:00:00,RCL-N-00,SECOND INERIM DIVIDEND OF RS. 2.50 PER SHARE,2010-05-12 00:00:00,2010-05-17 00:00:00,144.5,141.5
2010-05-06 00:00:00,ASIR-N-0,INTERIM DIVIDEND OF RS.0.10 PER SHARE ,2010-05-17 00:00:00,2010-05-25 00:00:00,9.5,9.25
2010-05-06 00:00:00,AMSL-N-0,INTERIM DIVIDEND OF RS.0.10 PER SHARE ,2010-05-17 00:00:00,2010-05-21 00:00:00,9.75,9.5
2010-05-06 00:00:00,DFCC-N-0,FIRST & FINAL DIVIDEND OF RS.6.00 PER SHARE ,2010-07-01 00:00:00,2010-07-09 00:00:00,267.75,260.25
2010-05-07 00:00:00,WAPO-N-0,FIRST & FINAL DIVIDEND OF RS.132.00 PER SHARE ,2010-06-10 00:00:00,2010-06-18 00:00:00,1011,1000
2010-05-10 00:00:00,LION-N-0,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2010-06-14 00:00:00,2010-06-22 00:00:00,108.5,110.25
2010-05-10 00:00:00,BREW-N-0,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE ,2010-06-14 00:00:00,2010-06-22 00:00:00,228.5,230
2010-05-10 00:00:00,UCAR-N-0,FINAL DIVIDEND OF RS.5.00 PER SHARE ,2010-06-07 00:00:00,2010-06-08 00:00:00,259,250
2010-05-19 00:00:00,JKH-N-00,FINAL DIVIDEND OF RS. 1.00 PER SHARE ,2010-06-01 00:00:00,2010-06-10 00:00:00,183.75,186
2010-05-19 00:00:00,CCS-N-00,FIRST & FINAL DIVIDEND OF RS 4.00 PER SHARE ,2010-06-01 00:00:00,2010-06-10 00:00:00,205,223
2010-05-20 00:00:00,KGAL-N-0,FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE ,2010-06-30 00:00:00,2010-07-07 00:00:00,80,80.75
2010-05-21 00:00:00,CIC-X-00,FINAL DIVIDEND OF RS.1.35 PER SHARE ,2010-07-01 00:00:00,2010-07-09 00:00:00,50.5,50
2010-05-21 00:00:00,CIC-N-00,FINAL DIVIDEND OF RS.1.35 PER SHARE ,2010-07-01 00:00:00,2010-07-09 00:00:00,74,74
2010-08-12 00:00:00,LMF-N-00,FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE,2010-09-16 00:00:00,2010-09-27 00:00:00,143.3,136.1
2010-05-24 00:00:00,REXP-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-07-01 00:00:00,2010-07-08 00:00:00,35.25,35.25
2010-05-25 00:00:00,RICH-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-07-01 00:00:00,2010-07-08 00:00:00,88,88.75
2010-05-24 00:00:00,WATA-N-0,FINAL DIVIDEND OF RS.2.75 PER SHARE ,2010-07-08 00:00:00,2010-07-16 00:00:00,224,229.25
2010-05-26 00:00:00,CHL-N-00,INTERIM DIVIDEND OF RS. 1.50 PER SHARE,2010-06-08 00:00:00,2010-06-16 00:00:00,113,114
2010-05-26 00:00:00,CHL-X-00,INTERIM DIVIDEND OF RS. 1.50 PER SHARE,2010-06-08 00:00:00,2010-06-16 00:00:00,80,80
2010-05-26 00:00:00,JKL-N-00,FIRST & FINAL DIVIDEND OF RS.10.00 PER SHARE,2010-06-08 00:00:00,2010-06-17 00:00:00,240,237
2010-05-26 00:00:00,TRAN-N-0,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2010-06-08 00:00:00,2010-06-17 00:00:00,240,250.75
2010-05-26 00:00:00,TSML-N-0,FIRST & FINAL DIVIDEND OF RS.8.00 PER SHARE,2010-06-08 00:00:00,2010-06-17 00:00:00,160,160
2010-04-22 00:00:00,LHL-N-00,FINAL DIVIDEND OF RS.0.50 PER SHARE ,2010-06-23 00:00:00,2010-07-02 00:00:00,64,65
2010-06-04 00:00:00,SUN-N-00,FINAL DIVIDEND OF RS.0.30 PER SHARE ,2010-07-19 00:00:00,2010-07-26 00:00:00,51.5,52.75
2010-06-07 00:00:00,HPWR-N-0,INTERIM DIVIDEND OF RS.1.30 PER SHARE ,2010-06-16 00:00:00,2010-06-24 00:00:00,21,20.25
2010-06-07 00:00:00,HDFC-N-0,FINAL DIVIDEND OF RS.5.00 PER SHARE ,2010-07-01 00:00:00,2010-07-09 00:00:00,281.25,269
2010-06-07 00:00:00,LWL-N-00,SECOND INTERIM DIVIDEND OF RS.1.00 PER SHARE ,2010-06-16 00:00:00,2010-06-28 00:00:00,92.5,91.75
2010-06-08 00:00:00,HHL-N-00,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-06-17 00:00:00,2010-06-28 00:00:00,175,173
2010-06-08 00:00:00,CIT-N-00,FIRST & FINAL DIVIDEND OF RS.1.20 PER SHARE ,2010-07-15 00:00:00,2010-07-23 00:00:00,116,116
2010-06-08 00:00:00,CFI-N-00,FIRST & FINAL DIVIDEND OF RS.1.20 PER SHARE ,2010-07-15 00:00:00,2010-07-23 00:00:00,109,107.5
2010-06-09 00:00:00,UML-N-00,FIRST & FINAL DIVIDEND OF RS.1.80 PER SHARE ,2010-07-09 00:00:00,2010-07-19 00:00:00,126.5,128
2010-06-14 00:00:00,VLL-N-00,FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-07-22 00:00:00,2010-07-30 00:00:00,57.5,6.25
2010-06-21 00:00:00,CARG-N-0,FINAL DIVIDEND OF RS.0.80 PER SHARE ,2010-08-02 00:00:00,2010-08-10 00:00:00,140,137.8
2010-06-21 00:00:00,CIND-N-0,FINAL DIVIDEND OF RS.7.00 PER SHARE ,2010-08-09 00:00:00,2010-08-17 00:00:00,350.1,333.1
2010-06-22 00:00:00,CARE-N-0,FINAL DIVIDEND OF RS.2.00 PER SHARE ,2010-07-22 00:00:00,2010-07-30 00:00:00,77,77.25
2010-06-23 00:00:00,YORK-N-0,FIRST & FINAL DIVIDEND OF RS.0.30 PER SHARE ,2010-07-30 00:00:00,2010-08-09 00:00:00,23,23
2010-06-23 00:00:00,ONAL-N-0,FINAL DIVIDEND OF RS.1.35 PER SHARE ,2010-07-05 00:00:00,2010-07-14 00:00:00,48.5,45
2010-06-04 00:00:00,SMOT-N-0,FINAL DIVIDEND OF RS.2.00 PER SHARE ,2010-07-26 00:00:00,2010-08-03 00:00:00,138,138
2010-07-05 00:00:00,SOY-N-00,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-08-04 00:00:00,2010-08-12 00:00:00,165,150.1
2010-07-05 00:00:00,SELI-N-0,FIRST INTERIM DIVIDEND OF RS.21.91 PER SHARE ,2010-07-14 00:00:00,2010-07-21 00:00:00,449.25,450
2010-07-06 00:00:00,SIRA-N-0,FIRST & FINAL DIVIDEND OF RS.0.20 PER SHARE ,2010-08-05 00:00:00,2010-08-13 00:00:00,3.8,3.6
2010-07-09 00:00:00,MORI-N-0,FIRST & FINAL DIVIDEND OF RS.16.50 PER SHARE ,2010-08-30 00:00:00,2010-09-07 00:00:00,1561.7,1406
2010-07-09 00:00:00,MORI-X-0,FIRST & FINAL DIVIDEND OF RS.16.50 PER SHARE ,2010-08-30 00:00:00,2010-09-07 00:00:00,1100,1100
2010-04-27 00:00:00,LAMB-N-0,FINAL DIVIDEND OF RS.2.00 PER SHARE ,2010-08-06 00:00:00,2010-08-16 00:00:00,27.5,24.8
2010-07-29 00:00:00,ALLI-N-0,FIRST & FINAL DIVIDEND OF RS.3.50 PER SHARE ,2010-09-08 00:00:00,2010-09-15 00:00:00,609,669.9
2010-07-07 00:00:00,CFIN-N-0,FINAL DIVIDEND OF RS.3.50 PER SHARE ,2010-08-23 00:00:00,2010-09-01 00:00:00,570,579.6
2010-08-02 00:00:00,SWAD-N-0,FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-09-06 00:00:00,2010-09-14 00:00:00,3800,
2010-07-28 00:00:00,LVEN-N-0,FINAL DIVIDEND OF RS.1.50 PER SHARE ,2010-09-17 00:00:00,2010-09-28 00:00:00,42.8,41.4
2010-08-02 00:00:00,LLUB-N-0,SECOND INTERIM DIVIDEND OF RS.3.25 PER SHARE ,2010-08-11 00:00:00,2010-08-20 00:00:00,164.1,160.2
2010-06-11 00:00:00,ELPL-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE ,2010-08-30 00:00:00,2010-09-07 00:00:00,38.3,42.1
2010-08-06 00:00:00,CTC-N-00,RS.5.90 PER SHARE (LESS WITHHOLDING TAX),2010-08-17 00:00:00,2010-08-26 00:00:00,330,327
2010-08-06 00:00:00,TYRE-N-0,INTERIM DIVIDEND OF RS.2.50 PER SHARE ,2010-08-17 00:00:00,2010-08-27 00:00:00,91.6,90.5
2010-08-06 00:00:00,TKYO-X-0,INTERIM DIVIDEND OF RS.1.65 PER SHARE ,2010-08-17 00:00:00,2010-08-26 00:00:00,28.8,27.3
2010-08-06 00:00:00,TKYO-N-0,INTERIM DIVIDEND OF RS.1.65 PER SHARE ,2010-08-17 00:00:00,2010-08-26 00:00:00,40.1,38.8
2010-08-10 00:00:00,BFL-N-00,FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-08-19 00:00:00,2010-08-31 00:00:00,96.9,97.9
2010-07-23 00:00:00,CTEA-N-0,FINAL DIVIDEND OF RS. 17.50 PER SHARE,2010-09-06 00:00:00,2010-09-08 00:00:00,700,700
2010-08-16 00:00:00,ASHO-N-0,FIRST & FINAL DIVIDEND OF RS.15.00 PER SHARE ,2010-09-28 00:00:00,2010-10-06 00:00:00,4000,4027
2010-08-18 00:00:00,RHL-N-00,FIRST & FINAL DIVIDEND OF RS.0.83 PER SHARE ,2010-09-28 00:00:00,2010-09-30 00:00:00,65.3,65.2
2010-08-18 00:00:00,COCO-X-0,RS.1.00 PER SHARE (RS.0.94 TAX-FREE) - FIRST & FINAL,2010-09-28 00:00:00,2010-09-30 00:00:00,39.8,40
2010-08-18 00:00:00,RAL-N-00,RS.0.10 PER SHARE (TAX-FREE) - FIRST & FINAL,2010-09-28 00:00:00,2010-09-30 00:00:00,5.1,5.1
2010-08-18 00:00:00,COCO-N-0,RS.1.00 PER SHARE (RS.0.94 TAX-FREE) - FIRST & FINAL,2010-09-28 00:00:00,2010-09-30 00:00:00,47.1,46.4
2010-08-18 00:00:00,RHL-X-00,FIRST & FINAL DIVIDEND OF RS.0.83 PER SHARE ,2010-09-28 00:00:00,2010-09-30 00:00:00,45,43.7
2010-08-18 00:00:00,LALU-N-0,FIRST & FINAL DIVIDEND OF RS. 1.25 PER SHARE ,2010-09-29 00:00:00,2010-10-07 00:00:00,40.5,39
