Dividend Records - 2011,,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price,
2010-12-14 00:00:00,BFL-N-0000,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2010-12-24 00:00:00,2011-01-04 00:00:00,272.5,267,
2010-12-15 00:00:00,LLUB-N-0000,FOURTH INTERIM DIVIDEND OF RS.3.00 PER SHARE,2010-12-27 00:00:00,2011-01-05 00:00:00,162,160,
2010-12-16 00:00:00,NDB-N-0000,INTERIM DIVIDEND OF RS. 4.00 PER SHARE,2010-12-28 00:00:00,2011-01-06 00:00:00,354.3,355,
2010-12-24 00:00:00,CHMX-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-02-01 00:00:00,2011-02-11 00:00:00,150,155.7,
2011-01-03 00:00:00,CTC-N-0000,FOURTH INTERIM DIVIDEND OF RS.5.75PER SHARE,2011-01-11 00:00:00,2011-01-21 00:00:00,370,366,
2011-01-10 00:00:00,NEST-N-0000,INTERIM DIVIDEND OF RS.12.00 PER SHARE,2011-01-20 00:00:00,2011-01-31 00:00:00,693.7,683,
2011-01-14 00:00:00,ODEL-N-0000,INTERIM DIVIDEND OF RS.0.25 PER SHARE,2011-01-26 00:00:00,2011-02-07 00:00:00,45.1,44.3,
2011-01-17 00:00:00,CARG-N-0000,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2011-01-27 00:00:00,2011-02-07 00:00:00,236,232.3,
2011-01-18 00:00:00,LCEY-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-01-28 00:00:00,2011-02-09 00:00:00,333.1,333.1,
2011-01-24 00:00:00,VPEL-N-0000,INTERIM DIVIDEND OF RS.0.20 PER SHARE,2011-02-02 00:00:00,2011-02-14 00:00:00,9.9,9.8,
2011-01-25 00:00:00,CTLD-N-0000,INTERIM DIVIDEND OF RS.0.60 PER SHARE,2011-02-03 00:00:00,2011-02-14 00:00:00,32.5,32.3,
2011-01-26 00:00:00,CTHR-N-0000,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2011-02-07 00:00:00,2011-02-18 00:00:00,233.9,236.9,
2011-01-27 00:00:00,CERA-N-0000,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2011-02-08 00:00:00,2011-02-18 00:00:00,142.6,147.7,
