Dividend Records - 2012,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY CODE,COMPANY,RATE AND REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2011-12-14 00:00:00, LLUB-N-0000, CHEVRON LUBRICANTS, THIRD INTERIM DIVIDEND OF RS.3.50 PER SHARE, 23-DEC-11, 04-JAN-12,171.9,172.9
2011-12-19 00:00:00, CARG-N-0000, CARGILLS, INTERIM DIVIDEND OF RS.0.70 PER SHARE, 29-DEC-11, 06-JAN-12,198.3,200.5
2011-12-23 00:00:00, NDB-N-0000, NATIONAL DEVELOPMENT BANK, INTERIM DIVIDEND-RS.3.50 PER SHARE, 04-JAN-12, 11-JAN-12,134,128
2011-12-30 00:00:00, CTC-N-0000, CEYLON TOBACCO, FOURTH INTERIM DIVIDEND OF RS.4.50 PER SHARE (LESS WITHHOLDING TAX), 10-JAN-12, 20-JAN-12,474.9,479.9
2012-01-02 00:00:00, UML-N-0000, UNITED MOTORS, INTERIM DIVIDEND-RS.3.00 PER SHARE, 11-JAN-12, 16-JAN-12,144.1,143
2012-01-05 00:00:00, TILE-N-0000, LANKA FLOORTILES, INTERIM DIVIDEND OF RS.1.00 PER SHARE, 17-JAN-12, 26-JAN-12,80,80
2012-01-06 00:00:00, CTLD-N-0000, C T LAND DEVELOPMENT, INTERIM DIVIDEND OF RS. 0.60 PER SHARE, 18-JAN-12, 24-JAN-12,29.2,28.2
2012-01-09 00:00:00, CTHR-N-0000, C T HOLDINGS, INTERIM DIVIDEND OF RS.0.65 PER SHARE, 19-JAN-12, 27-JAN-12,170,165
2012-01-12 00:00:00, PABC-N-0000, PAN ASIA BANKING CORPORATION, FINAL DIVIDEND OF RS.1.00 PER SHARE, 02-APR-12, 11-APR-12,23.5,22.1
2012-01-13 00:00:00, CARE-N-0000, PRINTCARE , INTERIM DIVIDEND OF RS.0.35 PER SHARE, 25-JAN-12, 02-FEB-12,30.4,30.5
2012-01-13 00:00:00, LWL-N-0000, LANKA WALLTILE, INTERIM DIVIDEND OF RS.1.00 PER SHARE, 25-JAN-12, 03-FEB-12,94.5,91.2
2012-01-18 00:00:00, NIFL-N-0000, NANDA FINANCE, FINAL DIVIDEND OF RS. 0.07 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 27-JAN-12, 08-FEB-12,10.1,10.5
2012-01-25 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA, INTERIM DIVIDEND OF RS.2.50 PER SHARE, 03-FEB-12, 15-FEB-12,74,70.2
2012-01-27 00:00:00, ALLI-N-0000, ALLIANCE FINANCE, INTERIM DIVIDEND OF RS. 25.00 PER SHARE, 08-FEB-12, 17-FEB-12,712.1,700
2012-01-27 00:00:00, BFL-N-0000, BAIRAHA FARMS, INTERIM DIVIDEND OF RS.2.00 PER SHARE, 08-FEB-12, 21-FEB-12,167.7,163.2
2012-01-27 00:00:00, RCL-N-0000, ROYAL CERAMIC, INTERIM DIVIDEND OF RS.2.00 PER SHARE (TAX FREE), 08-FEB-12, 17-FEB-12,132.8,126.4
2012-01-30 00:00:00, HASU-N-0000, HNB ASSURANCE, FINAL DIVIDEND OF RS. 2.10 PER SHARE, 30-MAR-12, 10-APR-12,47.4,45.8
2012-02-01 00:00:00, CTC-N-0000, CEYLON TOBACCO, FINAL DIVIDEND OF RS. 5.70 PER SHARE (LESS WITHHOLDING TAX), 04-APR-12, 17-APR-12,585.3,595
2012-02-02 00:00:00, AMSL-N-0000, ASIRI SURGICAL, SECOND INTERIM DIVIDEND OF RS. 0.13 PER SHARE (TAX FREE), 15-FEB-12, 23-FEB-12,7.3,7.3
2012-02-02 00:00:00, ASIR-N-0000, ASIRI HOSPITAL, SECOND INTERIM DIVIDEND OF RS. 0.13 PER SHARE (OUT O FWHICH 54.90% (I.E.RS.0.07 PER SHARE) IS TAX FREE), 15-FEB-12, 27-FEB-12,7.6,7.2
2012-02-02 00:00:00, CIC-N-0000, CIC HOLDINGS, INTERIM DIVIDEND OF RS. 0.80 PER SHARE (VOTING & NON VOTING), 15-FEB-12, 23-FEB-12,90,93
2012-02-06 00:00:00, CONN-N-0000, AMAYA LEISURE, INTERIM DIVIDEND OF RS.4.00 PER SHARE (NOT LIABLE TO 10% TAX), 17-FEB-12, 28-FEB-12,73,73
2012-02-09 00:00:00, COMB-N-0000, COMMERCIAL BANK, FINAL DIVIDEND OF RS. 1.50 PER SHARE (VOTING & NON VOTING), 02-APR-12, 11-APR-12,100,99.3
2012-02-09 00:00:00, SEYB-N-0000, SEYLAN BANK, FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE (VOTING & NON-VOTING), 29-MAR-12, 09-APR-12,65,66.9
2012-02-13 00:00:00, CTCE-N-0000, AVIVA N D B INSURANCE, FIRST AND FINAL DIVIDEND OF RS. 9.00 PER SHARE, 27-MAR-12, 04-APR-12,210.9,203.5
2012-02-13 00:00:00, DIMO-N-0000, DIMO, SECOND INTERIM DIVIDEND OF RS. 7.50 PER SHARE, 23-FEB-12, 05-MAR-12,1000.7,1005
2012-02-15 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 27-FEB-12, 08-MAR-12,176.1,175
2012-02-15 00:00:00, KVAL-N-0000, KELANI VALLEY PLANTATIONS, FIRST AND FINAL DIVIDEND OF RS. 5.00 PER SHARE, 30-MAR-12, 09-APR-12,97.2,92
2012-02-15 00:00:00, SAMP-N-0000, SAMPATH BANK, FINAL DIVIDEND OF RS. 4.50 PER SHARE, 02-APR-12, 09-APR-12,179.8,172.6
2012-02-17 00:00:00, DIAL-N-0000, DIALOG, FINAL DIVIDEND OF RS. 0.25 PER SHARE, 10-MAY-12, 17-MAY-12,5.8,5.5
2012-02-17 00:00:00, GOOD-N-0000, GOOD HOPE, FIRST INTERIM DIVIDEND OF RS. 42.70 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 29-FEB-12, 09-MAR-12,1270.5,1270.2
2012-02-17 00:00:00, INDO-N-0000, INDO MALAY, FIRST INTERIM DIVIDEND OF RS. 1.25 PER SHARE, 29-FEB-12, 09-MAR-12,1400,1420
2012-02-17 00:00:00, SELI-N-0000, SELINSING, FIRST INTERIM DIVIDEND OF RS. 30.80 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 29-FEB-12, 09-MAR-12,1095.1,1299.3
2012-02-17 00:00:00, SHAL-N-0000, SHALIMAR, FIRST INTERIM DIVIDEND OF RS. 7.50 PER SHARE  (SUBJECT TO 10% DIVIDEND TAX), 29-FEB-12, 09-MAR-12,940,890
2012-02-21 00:00:00, HNB-N-0000, HNB, FINAL DIVIDEND OF RS. 3.00 PER SHARE (VOTING & NON VOTING), 02-APR-12, 11-APR-12,153,150
2012-02-21 00:00:00, OSEA-N-0000, OVERSEAS REALTY, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE, 25-MAY-12, 05-JUN-12,13,12.7
2012-02-21 00:00:00, PDL-N-0000,PROPERTY DEVELOPMENT, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 02-APR-12, 10-APR-12,51,46.1
2012-02-21 00:00:00, SLTL-N-0000, SLT, FIRST & FINAL DIVIDEND RS. 0.85 PER SHARE, 30-MAR-12, 10-APR-12,46.1,46.3
2012-02-22 00:00:00, AAIC-N-0000, ASIAN ALLIANCE INSURANCE , FINAL DIVIDEND OF RS. 2.00 PER SHARE, 27-MAR-12, 04-APR-12,86,85.6
2012-02-22 00:00:00, DOCK-N-0000,COLOMBO DOCKYARD, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE, 02-MAR-12, 14-MAR-12,245,240
