Dividend Records - 2013,,,,,,,,
DATE_OF_ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE_OF_PAYMENT, CUM_PRICE,EX_PRICE
2012-12-17 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, FOURTH INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 28-DEC-12, 09-JAN-13,205,202.4
2012-12-18 00:00:00, ONAL-N-0000, ON'ALLY, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 31-DEC-12, 09-JAN-13,57,54.4
2012-12-28 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, FOURTH INTERIM DIVIDEND OF RS. 4.30 PER SHARE, 09-JAN-13, 21-JAN-13,849,849.4
2013-01-23 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.79 PER SHARE, 05-FEB-13, 14-FEB-13,50, 
2013-01-24 00:00:00, RICH-N-0000, RICHARD PIERIS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.20 PER SHARE, 06-FEB-13, 15-FEB-13,7.9,7.6
2013-01-28 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE(VOTING & NON VOTING), 07-FEB-13, 18-FEB-13,108.7,109.9
2013-01-29 00:00:00, VPEL-N-0000, VALLIBEL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 08-FEB-13, 19-FEB-13,6.8,6.5
2013-01-30 00:00:00, WATA-N-0000, WATAWALA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.50, 11-FEB-13, 20-FEB-13,12.7,12.2
2013-01-31 00:00:00, CARG-N-0000, CARGILLS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.70 PER SHARE, 12-FEB-13, 21-FEB-13,150.5,150
2013-01-31 00:00:00, HAYC-N-0000, HAYCARB, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.4.00 PER SHARE - RS.3.21 LIABLE FOR 10% TAX/ RS.0.79 NOT LIABLE FOR 10% TAX, 12-FEB-13, 20-FEB-13,180.3,177
