DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2013-12-11 00:00:00, PLC-N-0000, PEOPLES LEASING, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.75 PER SHARE, 23-DEC-13, 03-JAN-14,13.9,13.3
2013-12-13 00:00:00, CARG-N-0000, CARGILLS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.70 PER SHARE, 26-DEC-13, 06-JAN-14,146,146.5
2013-12-13 00:00:00, TRAN-N-0000, TRANS ASIA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.50 PER SHARE, 26-DEC-13, 07-JAN-14,80,78
2013-12-18 00:00:00, BUKI-N-0000, BUKIT DARAH, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS.3.00 PER SHARE, 30-DEC-13, 06-JAN-14,615.9,617.8
2013-12-18 00:00:00, CTLD-N-0000, C T LAND, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.10 PER SHARE, 30-DEC-13, 07-JAN-14,31.9,31.9
2013-12-18 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, FOURTH INTERIM DIVIDEND OF RS.4.50 PER SHARE, 30-DEC-13, 09-JAN-14,271.6,266
2013-12-19 00:00:00, AHPL-N-0000, AHOT PROPERTIES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 31-DEC-13, 10-JAN-14,65.4,64.2
2013-12-20 00:00:00, ONAL-N-0000, ON'ALLY, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.10 PER SHARE, 02-JAN-14, 10-JAN-14,47.5,48.6
2013-12-23 00:00:00, CTHR-N-0000, C T HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.80 PER SHARE, 03-JAN-14, 16-JAN-14,140.1,140.1
2013-12-30 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, FOURTH INTERIM DIVIDEND OF RS. 5.10 PER SHARE (LESS WITHHOLDING TAX), 09-JAN-14, 22-JAN-14,1206.3,1219.5
2013-12-30 00:00:00, AMF-N-0000, AMF CO LTD, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 6.00 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 09-JAN-14, 21-JAN-14,325,325
2014-01-03 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON VOTING), 16-JAN-14, 27-JAN-14,126.7,126.6
2014-01-03 00:00:00, GOOD-N-0000, GOOD HOPE, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 14.74 PER SHARE, 16-JAN-14, 27-JAN-14,1200,1186
2014-01-03 00:00:00, SELI-N-0000, SELINSING, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 26.55 PER SHARE, 16-JAN-14, 27-JAN-14,1248,1035
2014-01-03 00:00:00, SHAL-N-0000, SHALIMAR, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 19.59 PER SHARE, 16-JAN-14, 27-JAN-14,990,881.5
2014-01-03 00:00:00, INDO-N-0000, INDO MALAY, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 8.13 PER SHARE, 16-JAN-14, 27-JAN-14,1400,1500
2014-01-09 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.59 PER SHARE, 22-JAN-14, 31-JAN-14,50,60
2014-01-20 00:00:00, EXPO-N-0000, EXPOLANKA, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.21 PER SHARE, 29-JAN-14, 10-FEB-14,9,8.9
2014-01-24 00:00:00, ASPM-N-0000, SPENCEPLANTATION, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 05-FEB-14, 17-FEB-14, , 
2014-01-24 00:00:00, OSEA-N-0000, OVERSEAS REALTY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.0.45 PER SHARE & SPECIAL DIVIDEND OF RS.1.00 PER SHARE, 25-APR-14, 06-MAY-14,21.2,20.1
2014-01-27 00:00:00, MPRH-N-0000, MET. RES. HOL., SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 06-FEB-14, 17-FEB-14,24,22.8
2014-01-28 00:00:00, TJL-N-0000, TEXTURED JERSEY, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 07-FEB-14, 19-FEB-14,16.1,15.5
2014-01-29 00:00:00, ECL-N-0000, E - CHANNELLING, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 10-FEB-14, 20-FEB-14,14.6,14.3
2014-01-29 00:00:00, TILE-N-0000, LANKA TILES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 10-FEB-14, 19-FEB-14,77,75
2014-02-03 00:00:00, UML-N-0000, UNITED MOTORS, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 3.00 PER SHARE (LESS WHT), 13-FEB-14, 25-FEB-14,124,125.1
