,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2014-12-12 00:00:00,PLC-N-0000,PEOPLE'S LEASING,Interim Dividend of Rs.0.75 per share/Financial Year 2014/2015,2014-12-23 00:00:00,2015-01-06 00:00:00,24.6,24
2014-12-24 00:00:00,SING-N-0000,STANDED CAPITAL,First Interim Dividend of Rs. 1.00 per share / Financial Year 2014/2015,2015-01-07 00:00:00,2015-01-20 00:00:00,82.7,83.9
2014-12-29 00:00:00,KAPI-N-0000,MTD WALKERS,Interim Dividend of Rs.0.50 per share/ Financial Year 2014/2015,2015-01-09 00:00:00,2015-01-21 00:00:00,62.1,64.5
2014-12-31 00:00:00,CTC-N-0000,CTC HOLDINGS,Fourth Interim Dividend of Rs. 4.40 per share (Less Wht),2015-01-13 00:00:00,2015-01-23 00:00:00,1089.5,1100
2015-01-12 00:00:00,COMB-N-0000 & COMB-X-0000,COMMERCIAL BANK,Second interim dividend of Rs. 1.00 per share (voting & non voting) - Financial Year 2014, 23-JAN-15, 05-FEB-15,178,180
2015-01-16 00:00:00,CTLD-N-0000,C T LAND,Interim Dividend of Rs. 1.25 per share/Financial Year 2014/2015, 27-JAN-15, 09-FEB-15,40.6,40.9
2015-01-28 00:00:00,SFCL-N-0000,SENKADAGALA,Interim Dividend of Rs. 0.85 per share/Financial Year 2014/2015, 10-FEB-15, 20-FEB-15,60, 
2015-01-28 00:00:00,OSEA-N-0000,OVERSEAS REALTY,First & Final Dividend Of Rs.1.00 per  share Transfer Book Open Financial Year 2014 (Dividend Dates), 07-MAY-15, 15-MAY-15,25,23.9
2015-01-29 00:00:00,JKH-N-0000,JKH,Second Interim Dividend of Rs. 1.00 per share/Financial Year 2014/2015, 11-FEB-15, 23-FEB-15,219.6,220
2015-01-29 00:00:00,TJL-N-0000,TEXTURED JERSEY,First Interim Dividend of Rs. 0.50 Per Share/Financial Year 2014/2015, 11-FEB-15, 23-FEB-15,24,24.2
2015-02-06 00:00:00,CARG-N-0000,CARGILLS,Interim Dividend of Rs. 0.70 Per Share/Financial Year 2014/2015, 18-FEB-15, 27-FEB-15,146.6,147.3
2015-02-06 00:00:00,VPEL-N-0000,VALLIBEL,Interim Dividend of Rs. 0.50 per share/Financial Year 2014/2015 , 18-FEB-15, 27-FEB-15,8.7,8.3
2015-02-09 00:00:00,HASU-N-0000,HNB ASSURANCE,Final Dividend of Rs. 3.75 per share/Financial Year 2014/Share Transfer Book Open, 30-MAR-15, 08-APR-15,87.5,85.5
2015-02-10 00:00:00,CTHR-N-0000,C T HOLDINGS,Interim Dividend of Rs. 0.80 per share/Financial Year 2014/2015, 20-FEB-15, 03-MAR-15,140.1,140
2015-02-11 00:00:00,CFVF-N-0000,FIRST CAPITAL,Interim Dividend of Rs. 2.00 per share. Dividend is not subject to tax/Financial Year 2014/2015, 23-FEB-15, 03-MAR-15,47.2,43.8
2015-02-11 00:00:00,ODEL-N-0000,ODEL PLC,Interim Dividend of Rs. 0.12 per share (tax free)/Financial Year 2014/2015, 23-FEB-15, 04-MAR-15,21.8,21.5
2015-02-13 00:00:00,CSEC-N-0000,DUNAMIS CAPITAL,Second Interim Dividend of Rs. 1.00 per share (Dividend is not subject to tax)/ Financial Year 2014/2015, 25-FEB-15, 09-MAR-15,32.6,31.1
2015-02-13 00:00:00,NDB-N-0000,NAT. DEV. BANK,Final Dividend of RS. 4.00 per share (will be liable to a dividend tax at 10%)/ Financial Year 2014, 25-FEB-15, 09-MAR-15,255.1,255
2015-02-13 00:00:00,AAIC-N-0000,ASIAN ALLIANCE,Interim Dividend of RS. 5.00 Per share/ Financial Year 2014/2015, 25-FEB-15, 09-MAR-15,148,144
2015-02-19 00:00:00,NEST-N-0000,NESTLE,Second Interim Dividend of Rs. 28.50 per share/Financial Year 2014, 02-MAR-15, 12-MAR-15,2316.6,2317
2015-02-20 00:00:00,HNB-N-0000 & HNB-X-0000,HNB,Final Dividend of Rs. 7.00 per share/Share Transfer Book Open/Voting & Non Voting Financial Year  2014, 31-MAR-15, 09-APR-15,226.4,222
2015-02-20 00:00:00,SAMP-N-0000,SAMPATH,First & Final Dividend of Rs. 5.00 per share/Financial Year 2014/share transfer book open, 01-APR-15, 10-APR-15,252.1,246.3
2015-02-20 00:00:00,NEST-N-0000,NESTLE,Final Dividend of rs.28.00 per share/financial year 2014/share transfer book open - announcement date should be 19/02/2015, 13-MAY-15, 21-MAY-15,2289.9,2288.6
2015-02-23 00:00:00,PHAR-N-0000,COLOMBO CITY,Interim Dividend of Rs. 5.00 per share/Financial Year 2014/2015, 04-MAR-15, 16-MAR-15,646,647
2015-02-23 00:00:00,CIC-N-0000  & CIC-X-0000,CIC,Interim Dividend of Rs. 1.00 per share/Financial Year 2014/15 Voting & Non Voting, 04-MAR-15, 16-MAR-15,82.7,82.9
2015-02-23 00:00:00,COMB-N-0000 & COMB-X-0000,COMMERCIAL BANK,Final Dividend of Rs. 2.00 per share/Financial Year 2014/Share Transfer Book Open/Voting & Non Voting, 01-APR-15, 10-APR-15,165.4,167
2015-02-24 00:00:00,RCL-N-0000,ROYAL CERAMIC,Second Interim Dividend of Rs. 2.00 per share(Tax Free)/Financial Year 2014/2015, 06-MAR-15, 17-MAR-15,120,119.9
2015-02-24 00:00:00,JFIN-N-0000,FINLAYS COLOMBO,Final Dividend of Rs. 1.00 per share/Financial Year of 2014/Share Transfer Book Open, 31-MAR-15, 09-APR-15,290,285.8
2015-02-24 00:00:00,JINS-N-0000,JANASHAKTHI INS.,Final Dividend of Rs. 1.00 per share (subject to tax)/Financial Year 2014/Share Transfer Book open, 01-APR-15, 09-APR-15,22.5,21.5
2015-02-25 00:00:00,UAL-N-0000,UNION ASSURANCE,First & Final Dividend of Rs. 6.50 per share/Financial Year 2014, 09-MAR-15, 18-MAR-15,175,166
2015-02-25 00:00:00,TAFL-N-0000,THREE ACRE FARMS,First & Final Dividend of Rs. 0.52 per share/Financial year 2014/Share Transfer Book Open, 20-MAY-15, 28-MAY-15,61.7,61.1
2015-02-26 00:00:00,NEH-N-0000,NUWARA ELIYA,Interim Dividend of Rs. 22.50 per share/Financial Year 2014/2015, 10-MAR-15, 19-MAR-15,1607.5,1500.5
2015-02-26 00:00:00,UML-N-0000,UNITED MOTORS,Interim Dividend of Rs. 2.00 per share (Less WHT)/Financial Year 2014/2015, 10-MAR-15, 18-MAR-15,97.1,96.1
2015-02-26 00:00:00,COMD-N-0000,COMMERCIAL DEV.,Final Dividend of Rs. 3.00 per share/Financial Year 2014/Share Transfer Book Open, 05-MAY-15, 13-MAY-15,107.7,105
2015-02-26 00:00:00,NTB-N-0000,NATIONS TRUST,First & Final Dividend of Rs. 2.10 per share/Financial Year 2014/Share Transfer Book Open, 01-APR-15, 10-APR-15,100.1,99
2015-02-26 00:00:00,SEYB-N-0000  & SEYB-X-0000,SEYLAN BANK,First & Final Dividend of Rs. 2.50 per share/Financial Year 2014/Share Transfer Book Open (Voting & Non Voting), 01-APR-15, 10-APR-15,100,99
2015-02-27 00:00:00,MERC-N-0000,MERCANTILE INV,Second Interim Dividend of Rs. 17.00 per share/Financial Year 2014/2015, 11-MAR-15, 19-MAR-15,2200, 
2015-02-27 00:00:00,CSD-N-0000,SEYLAN DEVTS,First & Final Dividend of Rs. 0.50 per share/Financial Year 2014/Share Transfer Book Open, 01-APR-15, 10-APR-15,13.2,13.2
