,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2015-12-14 00:00:00, CARE-N-0000, PRINTCARE PLC,0.6, Interim Dividend Of Rs. 0.60 Per Share/Financial Year 2015/2016. , 23-DEC-15, 05-JAN-16,40.8,40.1,,
2015-12-15 00:00:00, LLUB-N-0000, CHEVRON,6, Fourth Interim Dividend Of Rs. 6.00 Per Share/FY2015, 28-DEC-15, 07-JAN-16,349.9,347.5,,
2015-12-15 00:00:00, PLC-N-0000, PEOPLES LEASING,0.75, Interim Dividend Of Rs. 0.75 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 28-DEC-15, 07-JAN-16,22.8,21.9,,
2015-12-23 00:00:00, CARG-N-0000, CARGILLS,1.25, Interim Dividend Of Rs. 1.25 Per Share/Financial Year 2015/2016, 06-JAN-16, 18-JAN-16,189,183,,
2015-12-23 00:00:00, CTHR-N-0000, C T HOLDINGS,1, Interim Dividend Of Rs. 1.00 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 06-JAN-16, 18-JAN-16,140,140,,
2015-12-31 00:00:00, CTC-N-0000, CEYLON TOBACCO,5, Fourth Interim Dividend Of Rs. 5.00 (Less Wht) Per Share/Financial Year 2015, 12-JAN-16, 22-JAN-16,970,970,,
2016-01-04 00:00:00, CTLD-N-0000, C T LAND,1.35, Interim Dividend Of Rs. 1.35 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 13-JAN-16, 25-JAN-16,48,46,,
2016-01-08 00:00:00, MPRH-N-0000, METROPOLITAN RESOURCE HOL.,0.6, Interim Dividend Of Rs. 0.60 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 20-JAN-16, 29-JAN-16,28.1, ,,
2016-01-12 00:00:00, ALLI-N-0000, ALLIANCE,29, Interim Dividend Of Rs. 29.00 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 22-JAN-16, 02-FEB-16,840,840,,
2016-01-28 00:00:00, PABC-N-0000, PAN ASIA BANK,0.5, Final Dividend Of Rs. 0.50 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,23,23.4,,
2016-01-29 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS,1, Second Interim Dividend Of Rs. 1.00 Per Share/FY2015/2016, 10-FEB-16, 19-FEB-16,163,163,,
2016-02-02 00:00:00, ALUM-N-0000, ALUMEX PLC,0.75, Interim Dividend Of Rs. 0.75 Per Share (Rs. 0.57 Per Share Not Liable To 10% Dividend Tax, 12-FEB-16, 23-FEB-16,16.8,16,,
2016-02-02 00:00:00, TJL-N-0000, TEEJAY LANKA,0.6, First Interim Dividend Of Rs. 0.60 Per Share/FY2015/2016, 12-FEB-16, 24-FEB-16,32.9,31.9,,
2016-02-05 00:00:00, CCS-N-0000, COLD STORES,7, Second Interim Dividend Of Rs. 7.00 Per Share/Financial Year 2015/2016, 16-FEB-16, 26-FEB-16,425,425,,
2016-02-09 00:00:00, CHMX-N-0000, CHEMANEX,1, Interim Dividend Of Rs. 1.00 Per Share/FY 2015/2016, 18-FEB-16, 01-MAR-16,61,64.4,,
2016-02-09 00:00:00, HASU-N-0000, HNB ASSURANCE,2, Final Dividend Of Rs. 2.00 Per Share/Financial Year 2015/Share Transfer Book Open, 30-MAR-16, 07-APR-16,55.5,54,,
2016-02-11 00:00:00, CSD-N-0000, SEYLAN DEVTS,0.6, First & Final Dividend Of Rs. 0.60 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,12.2,12,,
2016-02-11 00:00:00, SIRA-N-0000, SIERRA  CABLE,0.2, Interim Dividend Of Rs. 0.20 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 23-FEB-16, 03-MAR-16,3.3,3,,
2016-02-12 00:00:00, NDB-N-0000, NATIONAL DEVELOP. BANK,4,Rs.4.00 Per Share(Rs. 0.21 Will Be Out Of Dividend Income-Net Of Tax & The Balance Rs. 3.79 Will Be Paide Out Of Operational Profilts & Subject To 10% Wht)/FY2015, 24-FEB-16, 04-MAR-16,171.5,167.9,,
2016-02-15 00:00:00, VPEL-N-0000, VALLIBEL,0.5, Interim Dividend Of Rs. 0.50 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 25-FEB-16, 08-MAR-16,8.9,8.3,,
2016-02-15 00:00:00, ODEL-N-0000, ODEL PLC,0.3, Interim Dividend Of Rs. 0.30 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 25-FEB-16, 08-MAR-16,19,19,,
2016-02-17 00:00:00, DIAL-N-0000, DIALOG,0.32, Rs.0.32 Per Share (Subject To Tax) - Final Dividend Fy 2015, 01-JUN-16, 09-JUN-16,11.2,10.9,,
2016-02-17 00:00:00, CTCE-N-0000, A I A INSURANCE,49.5, First & Final Dividend Of Rs. 49.50 Per Share/ Financial Year 2015/Share Transfer Book Open, 30-MAR-16, 07-APR-16,330,330,,
2016-02-17 00:00:00, SAMP-N-0000, SAMPATH,6, First & Final Dividend Of Rs. 6.00 Per Share/Financial Year 2015/Share Transfer Book Open, 01-APR-16, 11-APR-16,226,220.1,,
2016-02-18 00:00:00, PINS-N-0000, PEOPLE'S INSURANCE,0.6, First & Final.Rs.0.60 Per Share, 29-JUN-16, 08-JUL-16,, ,,
2016-02-19 00:00:00, CTC-N-0000, CEYLON TOBACCO,3.7, Final Dividend Of Rs. 3.70 Per Share(Less Wht)/Financial Year 2015, 01-APR-16, 11-APR-16,1011.9,1005.1,,
2016-02-19 00:00:00, HNB-N-0000, HNB BANK,3.5, Final Dividend Of Rs. 3.50 Per Share (Voting & Non Voting)/FY2015, 31-MAR-16, 08-APR-16,205,199.3,,
2016-02-23 00:00:00, NEST-N-0000, NESTLE,34.5, Interim Dividend Of Rs. 34.50 Per Share/Financial Year 2015, 03-MAR-16, 15-MAR-16,2045.6,2038.1,,
2016-02-23 00:00:00, COMD-N-0000, COMMERCIAL DEVELOPMENTS,3, Final Dividend Of Rs. 3.00 Per Share/Financial Year 2015/Share Transfer Book Open, 03-MAY-16, 11-MAY-16,94.3,91,,
2016-02-23 00:00:00, TILE-N-0000, LANKA TILES,3, Interim Dividend Of Rs. 3.00 Per Share/Financial Year 2015/2016/Share Transfer Book Open, 03-MAR-16, 15-MAR-16,104.1,102.5,,
2016-02-24 00:00:00, DFCC-N-0000, DFCC BANK PLC,2.5, First & Final Dividend Of Rs. 2.50 Per Share/Financial Year 2015, 04-MAR-16, 16-MAR-16,141,139.6,,
2016-02-24 00:00:00, NEST-N-0000, NESTLE,30, Final Dividend Of Rs. 30.00 Per Share/ Financial Year 2015, 06-MAY-16, 16-MAY-16,2110,2110,,
2016-02-24 00:00:00, REXP-N-0000, RICH PIERIS EXPORT,12.5, Interim Dividend Of Rs. 12.50 Per Share/Financial Year 2015/2016, 04-MAR-16, 14-MAR-16,234.9,219.2, , 
2016-02-24 00:00:00, UBC-N-0000, UNION BANK,0.04, Final Dividend Of Rs. 0.04 Per Share/Financial Year 2015/Share Transfer Book Open, 04-MAR-16, 16-MAR-16,15.8,15.9,,
2016-02-24 00:00:00, UAL-N-0000, UNION ASSURANCE,8.5, First & Final Dividend Of Rs. 8.50 Per Share/Financial Year 2015/Share Transfer Book Open, 04-MAR-16, 16-MAR-16,165.8,165.3,,
2016-02-25 00:00:00, ASPM-N-0000, SPENCEPLANTATION,2,Rs. 2.00 Per Share/Financial Year 2015/2016, 08-MAR-16, 14-MAR-16, , ,,
2016-02-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,3, Final Dividend Of Rs. 3.00 (Voting & Non Voting)/FY2015, 01-APR-16, 11-APR-16,125.5,123.6,,
2016-02-25 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.5, First & Final Dividend Of Rs. 1.50 Per Share/Financial Year 2015/Share Transfer Book Open, 26-APR-16, 04-MAY-16,26,24.5,,
2016-02-25 00:00:00, SFCL-N-0000, SENKADAGALA,0.65, Second Interim Dividend Of Rs. 0.65 Per Share/FY2015/2016, 08-MAR-16, 16-MAR-16,60,90,,
2016-02-25 00:00:00, NEH-N-0000, NUWARA ELIYA,30, Interim Dividend Of Rs. 30.00 Per Share/Financial Year 2015/2016/, 08-MAR-16, 17-MAR-16,1374.9,1374.9,,
