,,,,DIVIDEND ANNOUNCEMENTS 2017 ,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE
2016-12-14 00:00:00, LLUB-N-0000, CHEVRON,3.5, Rs. 3.50 per share / Fifth Interim Dividend  Financial Year: - 2016 , 23-DEC-16, 04-JAN-17,160,158.3
2016-12-16 00:00:00, PLC-N-0000, PEOPLES LEASING,0.75, Rs. 0.75 per share / Interim Dividend, 28-DEC-16, 06-JAN-17,17.9,17.3
2016-12-20 00:00:00, ONAL-N-0000, ON'ALLY,1.1, Rate of Dividend:- Rs. 1.10 per share / Interim Dividend  Financial Year:- 2016 / 2017 , 30-DEC-16, 10-JAN-17,55,55.5
2016-12-21 00:00:00, GOOD-N-0000, GOOD HOPE,56.44,Rs. 56.44 per share (Subject to a WHT of 10%) / First Interim Dividend  FY: - 2016 / 2017 , 02-JAN-17, 10-JAN-17,1635,1635
2016-12-23 00:00:00, CTLD-N-0000, C T LAND,1.4, Rate of Dividend: - Rs. 1.40 per share / Interim Dividend  Financial Year: - 2016 / 2017 , 04-JAN-17, 16-JAN-17,50.2,50.2
2016-12-27 00:00:00, CARG-N-0000, CARGILLS,1.8, Rate of Dividend:- Rs. 1.80 per share / Interim Dividend  Financial Year:- 2016 / 2017 , 05-JAN-17, 17-JAN-17,192.7,187
2016-12-29 00:00:00, PDL-N-0000, PDL,15, Rate of Dividend:- Rs. 15.00 per share / Interim Dividend  Financial Year:- 2016 , 09-JAN-17, 19-JAN-17,99.9,81.5
2016-12-29 00:00:00, CTHR-N-0000, C T HOLDINGS,1.7, Rate of Dividend:- Rs. 1.70 per share / Interim Dividend  Financial Year:- 2016/2017 , 09-JAN-17, 19-JAN-17,126.5,125
2016-12-30 00:00:00, CTC-N-0000, CEYLON TOBACCO,12.5,Rs. 12.50 per share (Less Withholding Tax) / Fourth Interim Dividend  Financial Year:- 2016 , 10-JAN-17, 20-JAN-17,812.7,815
2017-01-05 00:00:00, SFCL-N-0000, SENKADAGALA,0.9,  Rs. 0.90 per share / Second Interim Dividend  Financial Year:- 2016/2017 , 17-JAN-17, 26-JAN-17,90,90
2017-01-09 00:00:00, CFVF-N-0000, FIRST CAPITAL,2, Rate of Dividend: - Rs. 2.00 per share / Interim Dividend  Financial Year: - 2016 / 2017 , 19-JAN-17, 30-JAN-17,28,25.4
2017-01-10 00:00:00, RFL-N-0000, RAMBODA FALLS,0.5, Rate of Dividend:- Rs. 0.50 per share / Interim Dividend  Financial Year:- 2016 / 2017 , 20-JAN-17, 31-JAN-17,23.9,23.9
2017-01-19 00:00:00, CTCE-N-0000, A I A INSURANCE,48, Rs. 48.00 per share / Interim Dividend  Financial Year:- 2016, 30-JAN-17, 08-FEB-17,350.4,300.4
2017-01-26 00:00:00, TJL-N-0000, TEEJAY LANKA,1,  Rs. 1.00 per share / First Interim Dividend  Financial Year: - 2016/2017 , 06-FEB-17, 16-FEB-17,38.9,37.5
2017-01-26 00:00:00, JKH-N-0000, JKH,2, Rs. 2.00 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 06-FEB-17, 16-FEB-17,141.2,141.9
2017-01-27 00:00:00, COMB-X-0000, COMMERCIAL BANK,3, Rs. 3.00 per share / Second Interim Dividend  Financial Year: - 2016 , 07-FEB-17, 17-FEB-17,116.8,114.9
2017-01-27 00:00:00, COMB-N-0000, COMMERCIAL BANK,3, Rs. 3.00 per share / Second Interim Dividend  Financial Year: - 2016 , 07-FEB-17, 17-FEB-17,145,142
2017-01-31 00:00:00, RCL-N-0000, ROYAL CERAMIC,5,  Rs. 5.00 per share / Interim Dividend  Financial Year:- 2016/2017 , 09-FEB-17, 21-FEB-17,125,120
2017-02-01 00:00:00, TILE-N-0000, LANKA TILES,5,  Rs. 5.00 per share / Second Interim Dividend  Financial Year: - 2016 / 2017 , 13-FEB-17, 22-FEB-17,103.6,103.6
2017-02-08 00:00:00, SIRA-N-0000, SIERRA  CABL,0.25, Rs. 0.25 per share / Interim Dividend  Financial Year: - 2016 / 2017, 20-FEB-17, 02-MAR-17,3.5,3.2
2017-02-08 00:00:00, VPEL-N-0000, VALLIBEL,0.3, Rs. 0.30 per share / Interim Dividend  Financial Year: - 2016 / 2017, 20-FEB-17, 02-MAR-17,8.6,8.4
2017-02-08 00:00:00, RICH-N-0000, RICHARD PIERIS,0.6, Rs. 0.60 per share / Interim Dividend  Financial Year: - 2016 / 2017 , 20-FEB-17, 01-MAR-17,8.8,8.1
2017-02-09 00:00:00, HASU-N-0000, HNB ASSURANCE,5, Rs. 5.00 per share / Final Dividend  Financial Year:- 2016 , 30-MAR-17, 07-APR-17,63.9,60.8
2017-02-09 00:00:00, DIAL-N-0000, DIALOG,0.39, Rs. 0.39 per share (Subject to tax) / Final Dividend  Financial Year:- 2016 , 12-MAY-17, 22-MAY-17,12.2,11.8
2017-02-09 00:00:00, OSEA-N-0000, OVERSEAS REALTY,1.25, Rs. 1.25 per share / First & Final Dividend  Financial Year:- 2016 , 25-APR-17, 04-MAY-17,21.2,20.3
2017-02-09 00:00:00, ODEL-N-0000, ODEL PLC,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year:- 2016/2017 , 21-FEB-17, 03-MAR-17,20.7,20.2
2017-02-14 00:00:00, LWL-N-0000, LANKA WALLTILE,5.5, Rate of Dividend: - Rs. 5.50 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 23-FEB-17, 07-MAR-17,102.6,96.1
2017-02-14 00:00:00, SAMP-N-0000, SAMPATH,4.75, Rate of Dividend: - Rs. 4.75 per share / Second & Final Dividend  Financial Year: - 2016 , 03-APR-17, 12-APR-17,259,255
2017-02-15 00:00:00, SMOT-N-0000, SATHOSA MOTORS,15, Rate of Dividend:- Rs. 15.00 per share / Interim Dividend  Financial Year:- 2016/2017 , 27-FEB-17, 08-MAR-17,300,280.4
2017-02-17 00:00:00, CCS-N-0000, COLD STORES,14, Rs. 14.00 per share / Second Interim Dividend  Financial Year:- 2016/2017 , 01-MAR-17, 10-MAR-17,771.7,740
2017-02-20 00:00:00, DFCC-N-0000, DFCC BANK PLC,4.5, Rs. 4.50 per share / First & Final Dividend  Financial Year: - 2016 , 02-MAR-17, 13-MAR-17,122,119.7
2017-02-21 00:00:00, NEST-N-0000, NESTLE,40, Rs. 40.00 per share / Interim Dividend  Financial Year: - 2016, 03-MAR-17, 14-MAR-17,2040,2040
2017-02-21 00:00:00, CTCE-N-0000, A I A INSURANCE,2, Rs. 2.00 per share / Final Dividend  Financial Year: - 2016, 28-MAR-17, 31-MAR-17,300.3,300.3
2017-02-21 00:00:00, COMD-N-0000, COMMERCIAL DEV.,2.5, Rate of Dividend: - Rs. 2.50 per share / Second Interim Dividend  Financial Year: - 2016 , 03-MAR-17, 14-MAR-17,75,75
2017-02-22 00:00:00, NEST-N-0000, NESTLE,40, Rs. 40.00 per share / Final Dividend  FY: - 2016  The announcement date is 21/02/2017, 08-MAY-17, 18-MAY-17,2300.1,2260
2017-02-22 00:00:00, NDB-N-0000, NAT. DEV. BANK,2, Rs. 2.00 per share / Final Dividend  Financial Year: - 2016 , 06-MAR-17, 15-MAR-17,149,144
2017-02-23 00:00:00, CERA-N-0000, LANKA CERAMIC,8, Rs. 8.00 per share / Interim Dividend  Financial Year:- 2016/2017 , 07-MAR-17, 16-MAR-17,125,125
2017-02-23 00:00:00, SINI-N-0000, SINGER IND.,6.5, Rs. 6.50 per share / Final Dividend  Financial Year:- 2016 , 07-MAR-17, 16-MAR-17,140,140
2017-02-23 00:00:00, PINS-N-0000, PEOPLE'S INS,0.75, Rs. 0.75 per share / Second Interim Dividend  Financial Year:- 2016 , 07-MAR-17, 16-MAR-17,19.8,19.4
2017-02-23 00:00:00, SELI-N-0000, SELINSING,73.36, Rs. 73.36 (Rs. 4.86 per share which has been already subjected to tax and Rs. 68.50 which would be subject to tax of 10%) / First Interim Dividend  FY:- 2016/2017, 07-MAR-17, 15-MAR-17,1449.9,1449.9
2017-02-23 00:00:00, UBC-N-0000, UNION BANK,0.1, Rs. 0.10 per share / Final Dividend  Financial Year:- 2016, 07-MAR-17, 16-MAR-17,14.5,14.5
2017-02-23 00:00:00, HNB-X-0000, HNB,3.5, Rs. 3.50 per share (Voting & Non-Voting) / Final Dividend  Financial Year:- 2016 , 31-MAR-17, 11-APR-17,189.6,185
2017-02-23 00:00:00, HNB-N-0000, HNB,3.5, Rs. 3.50 per share (Voting & Non-Voting) / Final Dividend  Financial Year:- 2016 , 31-MAR-17, 11-APR-17,229,225.3
2017-02-23 00:00:00, SINS-N-0000, SINGER SRI LANKA,8.8, Rs. 8.80 per share / Final Dividend  Financial Year:- 2016, 07-MAR-17, 16-MAR-17,145.1,143.7
2017-02-23 00:00:00, SEYB-N-0000, SEYLAN BANK,1, Rs. 1.00 per share (Voting & Non-Voting) / First & Final Dividend  Financial Year: - 2016 , 03-APR-17, 12-APR-17,87,88
2017-02-23 00:00:00, SEYB-X-0000, SEYLAN BANK,1, Rs. 1.00 per share (Voting & Non-Voting) / First & Final Dividend  Financial Year: - 2016 , 03-APR-17, 12-APR-17,54.7,53
2017-02-23 00:00:00, NEH-N-0000, NUWARA ELIYA,30, Rs. 30.00 per share / Interim Dividend  Financial Year:- 2016/2017, 07-MAR-17, 16-MAR-17,1400.5,1400.5
2017-02-23 00:00:00, REG-N-0000, REGNIS,18.5, Rs.18.50 per share / Final Dividend  Financial Year:- 2016, 07-MAR-17, 16-MAR-17,150.2,135
2017-02-27 00:00:00, SHAL-N-0000, SHALIMAR,8.2,  Rs. 8.20  (Subject to dividend tax of 10%) / Second Interim Dividend  Financial Year:- 2016/2017 , 08-MAR-17, 16-MAR-17,1726.6,1726.6
2017-02-27 00:00:00, INDO-N-0000, INDO MALAY,21.63, Rs. 21.63 per share (Rs. 1.18 per share would be paid out of income already subjected to tax and Rs. 20.45 would be subject to tax of 10%) / Second Interim Dividend  Financial Year:- 2016/2017 , 08-MAR-17, 16-MAR-17,1429.6,1429.6
2017-02-27 00:00:00, CTC-N-0000, CEYLON TOBACCO,6, Rs. 6.00 per share (Less 10% Tax) / Final Dividend  Financial Year: - 2016 , 26-APR-17, 05-MAY-17,963.3,969.3
2017-02-27 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL,2, Rs. 2.00 per share / Interim Dividend  Financial Year:- 2016 / 2017 , 08-MAR-17, 16-MAR-17,51.5,51.5
2017-02-27 00:00:00, NTB-N-0000, NATIONS TRUST,2.1, Rs. 2.10 per share / First & Final Dividend  Financial Year:- 2016 , 08-MAR-17, 17-MAR-17,75,75
2017-02-27 00:00:00, UAL-N-0000, UNION ASSURANCE,10.5, Rs. 10.50 per share / First and Final Dividend  Financial Year:- 2016 , 08-MAR-17, 17-MAR-17,152.3,150
2017-02-28 00:00:00, CINS-N-0000, CEYLINCO INS.,27.5, Rs. 27.50 per share ( Voting & Non-Voting) / First and Final Dividend  Financial Year:- 2016, 24-APR-17, 02-MAY-17,1640,1640
2017-02-28 00:00:00, CINS-X-0000, CEYLINCO INS.,27.5, Rs. 27.50 per share ( Voting & Non-Voting) / First and Final Dividend  Financial Year:- 2016, 24-APR-17, 02-MAY-17,880,880
2017-03-01 00:00:00, CARE-N-0000, PRINTCARE PLC,0.4, Rs. 0.40 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 10-MAR-17, 20-MAR-17,32.4,32.4
2017-03-06 00:00:00, GOOD-N-0000, GOOD HOPE,38.05, Rs. 38.05 (Rs. 2.05 per share would be paid out of dividend income received which has already been subjected to tax. Rs. 36 per share would be paid out of operational profits subject to 10% dividend tax) / Second Interim Dividend  FY:- 2016/2017 , 15-MAR-17, 23-MAR-17,1550,1550
2017-03-07 00:00:00, CTLD-N-0000, C T LAND,1.8, Rs. 1.80 per share / Second Interim Dividend  Financial Year:- 2016/2017, 16-MAR-17, 27-MAR-17,46.5,46.8
2017-03-07 00:00:00, CARG-N-0000, CARGILLS,3.8, Rs. 3.80 per share / Interim Dividend  Financial Year:- 2016/2017 , 16-MAR-17, 27-MAR-17,187.3,187.2
2017-03-07 00:00:00, CSD-N-0000, SEYLAN DEVTS,0.75, Rs. 0.75 per share / First & Final Dividend  Financial Year: - 2016 , 03-APR-17, 12-APR-17,14,13.1
2017-03-08 00:00:00, KFP-N-0000, KEELLS FOOD,3, Rs. 3.00 per share / Second Interim Dividend  Financial Year: - 2016/2017, 17-MAR-17, 28-MAR-17,148,145.1
2017-03-08 00:00:00, LITE-N-0000, LAXAPANA,0.77, Rs. 0.77 per share / Interim Dividend  Financial Year: - 2016/2017 , 17-MAR-17, 28-MAR-17,10.4,10.2
2017-03-08 00:00:00, MORI-X-0000, MORISONS,10, Rs. 10.00 per share (Voting & Non-Voting) / Interim Dividend  Financial Year: - 2016/2017 , 17-MAR-17, 28-MAR-17,339.2,339.2
2017-03-08 00:00:00, MORI-N-0000, MORISONS,10, Rs. 10.00 per share (Voting & Non-Voting) / Interim Dividend  Financial Year: - 2016/2017 , 17-MAR-17, 28-MAR-17,360,360
2017-03-08 00:00:00, MELS-N-0000, MELSTACORP,1, Rs. 1.00 per share / Final Dividend  Financial Year:- 2016/2017 , 17-MAR-17, 28-MAR-17,62.2,61.8
2017-03-08 00:00:00, LALU-N-0000, LANKA ALUMINIUM,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2016/2017, 17-MAR-17, 28-MAR-17,66.2,66.2
2017-03-09 00:00:00, MULL-N-0000, MULLERS,0.07, Rs. 0.07 per share / Interim Dividend  Financial Year:- 2016/2017, 20-MAR-17, 29-MAR-17,1.1,1.1
2017-03-09 00:00:00, LAMB-N-0000, KOTMALE HOLDINGS,13.1, Rs. 13.10 per share / Interim Dividend  Financial Year:- 2016/2017 , 20-MAR-17, 29-MAR-17,120,120
2017-03-09 00:00:00, CTHR-N-0000, C T HOLDINGS,3.5, Rs. 3.50 per share / Second Interim Dividend  Financial Year:- 2016/2017, 20-MAR-17, 28-MAR-17,149.4,149.4
2017-03-09 00:00:00, AAIC-N-0000, Softlogic Life,2.16, Rs. 2.16 per share / Interim Dividend  Financial Year:- 2016 , 20-MAR-17, 29-MAR-17,22,20.1
2017-03-09 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, Rs. 0.50 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 20-MAR-17, 27-MAR-17,24.6,24.1
2017-03-10 00:00:00, EBCR-N-0000, E B CREASY,36, Rs. 36.00 per share / Interim Dividend  Financial Year: - 2016/2017 , 21-MAR-17, 30-MAR-17,1447.9,1447.9
2017-03-10 00:00:00, PARQ-N-0000, SWISSTEK,1.5, Rs. 1.50 per share / Interim Dividend  Financial Year: - 2016/2017 , 21-MAR-17, 30-MAR-17,66,65
2017-03-10 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD.,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2016/2017, 21-MAR-17, 30-MAR-17,36.1,36.1
2017-03-10 00:00:00, KHL-N-0000, KEELLS HOTELS,0.1, Rs. 0.10 per share / Second Interim Dividend  Financial Year: - 2016/2017, 21-MAR-17, 30-MAR-17,10.1,10.1
2017-03-10 00:00:00, SCAP-N-0000, SOFTLOGIC CAP,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2016/2017 , 21-MAR-17, 30-MAR-17,5.5,5.1
2017-03-10 00:00:00, TRAN-N-0000, TRANS ASIA,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2016/2017, 21-MAR-17, 30-MAR-17,77,76
