SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2017,,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2017-02-03 00:00:00,Sampath Bank PLC,2017-03-01 00:00:00,1,19.21739786,9209419,2017-03-09 00:00:00
2,2017-02-22 00:00:00,National Development Bank PLC,2017-03-06 00:00:00,1,26.219093,6300199,2017-03-15 00:00:00
3,2017-02-22 00:00:00,Commercial Bank                                   Voting,2017-03-30 00:00:00,1,79.3888902155,10521802,2017-04-11 00:00:00
,2017-02-22 00:00:00,Commercial Bank                          Non-Voting,,1,63.3333809335,903357,2017-04-11 00:00:00
4,2017-02-23 00:00:00,Hatton National Bank PLC                    Voting,2017-03-30 00:00:00,1,73.3333456014,4519797,2017-04-11 00:00:00
,2017-02-23 00:00:00,Hatton National Bank PLC           Non-Voting,,1,63.4920828574,1310462,2017-04-11 00:00:00
5,2017-02-23 00:00:00,Seylan Bank PLC                                    Voting,2017-03-31 00:00:00,1,48.395058065,3636268,2017-04-12 00:00:00
,2017-02-23 00:00:00,Seylan Bank PLC                            Non-Voting,,1,28.8395060063,5859428,2017-04-12 00:00:00
6,2017-04-19 00:00:00,Sanasa Development Bank PLC,2017-05-31 00:00:00,1,22.8533333333,2279147,2017-06-12 00:00:00
7,2017-06-01 00:00:00,Sunshine Holdings PLC,2017-06-29 00:00:00,1,100,1351410,2017-07-12 00:00:00
8,2017-06-29 00:00:00,Colombo Investment Trust PLC,2017-09-18 00:00:00,1,73.3336341892,88636,2017-09-29 00:00:00
9,2017-06-29 00:00:00,Colombo Fort Investments PLC,2017-09-18 00:00:00,1,62.5,104000,2017-09-29 00:00:00
10,2017-05-23 00:00:00,Ceylon Hotels Corporation PLC,2017-09-27 00:00:00,1,20.9401672601,8205541,2017-10-06 00:00:00
