SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31 ST DECEMBER 2018,,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2018-02-21 00:00:00,National Development Bank PLC,2018-03-02 00:00:00,1,28.689218,5977357,2018-03-14 00:00:00
2,2018-02-27 00:00:00,Nations Trust Bank -                               Voting ,2018-03-13 00:00:00,1,38.4644498,5991740,2018-03-20 00:00:00
,,                                                            Non-voting,,1,38.4644498,1042499,2018-03-20 00:00:00
3,2018-02-23 00:00:00,Commercial Bank of Ceylon PLC -      Voting ,2018-03-28 00:00:00,1,77.7777802052,11998388,2018-04-09 00:00:00
,,                                                            Non-voting,,1,58.8889000454,1085563,
4,2018-02-20 00:00:00,Hatton National Bank PLC -                  Voting ,2018-03-28 00:00:00,1,134.1666725376,2925530,2018-04-09 00:00:00
,,                                                            Non-voting,,1,106.1112143752,907421,
5,2018-02-19 00:00:00,Seylan Bank PLC -                                  Voting,2018-03-29 00:00:00,1,40.0000064583,4490341,2018-04-10 00:00:00
,,                                                          Non- Voting,,1,24.444444957,7152645,
6,2018-02-16 00:00:00,Sampath Bank PLC,26-Apr-18,1,19.72803355,13551804,2018-05-10 00:00:00
7,2018-03-15 00:00:00,Sanasa Development Bank PLC,2018-05-22 00:00:00,1,35.3754159668,1548501,2018-06-04 00:00:00
8,2018-06-28 00:00:00,Sunshine Holdings PLC,2018-06-28 00:00:00,1,119.80005863,1138746,2018-07-10 00:00:00
9,2018-05-25 00:00:00,Central Finance Company PLC ,2018-06-29 00:00:00,1,113.86927807,1902139,2018-07-12 00:00:00
10,2018-08-02 00:00:00,Amaya Leisure PLC,2018-08-10 00:00:00,1,24.49334397,2118003,2018-08-23 00:00:00
11,2018-07-02 00:00:00,Colombo Investment Trust PLC,2018-08-31 00:00:00,1,52.0836673227,126501,2018-09-13 00:00:00
12,2018-07-02 00:00:00,Colombo Fort Investments PLC,2018-08-31 00:00:00,1,41.6666666666,158496,2018-09-13 00:00:00
