SCRIP DIVIDENDS 2019 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2019-02-22 00:00:00,National Development Bank PLC,2019-03-05 00:00:00,1,18.316095,11482639,2019-03-15 00:00:00
2,2019-02-22 00:00:00,Hemas Holdings PLC,2019-03-06 00:00:00,1,27.2607815916,21090833,2019-03-15 00:00:00
3,2019-02-28 00:00:00,Nations Trust Bank PLC                          Voting,2019-03-13 00:00:00,1,46.10018487,5176579,2019-03-22 00:00:00
,,                                                             Non-voting,,1,42.00693871,928157,
4,2019-03-07 00:00:00,Resus Energy PLC,2019-03-15 00:00:00,1,3.410769126,17117999,2019-03-27 00:00:00
5,2019-02-20 00:00:00,Seylan Bank PLC                                       Voting,2019-03-28 00:00:00,1,40.8720928942,4504394,2019-04-08 00:00:00
,,                                                              Non-voting,,1,25.5813924919,7114354,2019-04-08 00:00:00
6,2019-02-22 00:00:00,Commercial Bank of Ceylon PLC          Voting,2019-03-28 00:00:00,1,62.0348847,15249529,2019-04-08 00:00:00
,,Non-voting,,1,52.383720827,1241095,2019-04-08 00:00:00
7,2019-02-15 00:00:00,Sampath Bank PLC ,2019-03-29 00:00:00,1,24.32291217,11548874,2019-04-09 00:00:00
8,2019-02-22 00:00:00,Hatton National Bank PLC                     - Voting,2019-03-29 00:00:00,1,67.1096360444,5892615,2019-04-10 00:00:00
,,                                                            - Non-voting,,1,52.1594765342,1863503,2019-04-10 00:00:00
9,,Central Finance PLC,2019-06-28 00:00:00,1,108.5271413,2013340,2019-07-11 00:00:00
10,,People's Leasing & Finance PLC,2019-07-31 00:00:00,1,33.0232559141,47840906,2019-08-09 00:00:00
11,,Watawala Plantations PLC,2019-08-22 00:00:00,1,85.65894058,2346078,2019-08-29 00:00:00
12,,Citizens Development Business Finance PLC - Voting,2019-09-19 00:00:00,0.02721519,1,1575052,2019-09-30 00:00:00
,,                                                                     - Non-voting,,0.03359375,1,336188,2019-09-30 00:00:00
13,,Colombo Investment Trust PLC,2019-09-19 00:00:00,1,52.5001524545,127907,2019-10-02 00:00:00
14,,Colombo Fort Investments PLC,2019-09-19 00:00:00,1,45.8334474228,147545,2019-10-02 00:00:00
15,,Mahaweli Coconut Plantations PLC,2019-09-26 00:00:00,0.0343999821,1,1163830,2019-10-09 00:00:00
