SCRIP DIVIDENDS 2024 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,,People's Leasing and Finance PLC,2024-01-08 00:00:00,18.15126061,1,112492634,2024-01-23 00:00:00
2,,DFCC Bank PLC,2024-02-29 00:00:00,39.4000026705,1,10709356,2024-03-18 00:00:00
3,,Nations Trust Bank PLC - Ordinary voting,2024-03-06 00:00:00,48.308808,1,5716050,2024-03-25 00:00:00
,,Nations Trust Bank PLC - Ordinary non-voting,2024-03-06 00:00:00,50.161475,1,864237,2024-03-25 00:00:00
4,,National Development Bank PLC,2024-03-26 00:00:00,24.8901968364,1,16049064,2024-04-15 00:00:00
5,,Commercial Bank of Ceylon PLC,2024-04-01 00:00:00,53.2941180806,1,23202324,2024-04-15 00:00:00
,,,2024-04-01 00:00:00,47.235294619,1,1642749,2024-04-15 00:00:00
6,,Hatton National Bank PLC,2024-04-01 00:00:00,47.9411792612,1,9316663,2024-04-15 00:00:00
,,,2024-04-01 00:00:00,40.8823597886,1,2766146,2024-04-15 00:00:00
7,,Seylan Bank PLC,2024-04-01 00:00:00,34.8235307235,1,8520571,2024-04-16 00:00:00
,,,2024-04-01 00:00:00,27.2941185538,1,11677706,2024-04-16 00:00:00
8,,People's Insurance PLC,2024-05-29 00:00:00,55.0588331161,1,3632478,2024-06-11 00:00:00
9,,Sanasa Development Bank PLC,2024-06-03 00:00:00,46.34212677014,1,3467662,2024-06-13 00:00:00
10,,hSenid Business Solutions PLC,2024-08-16 00:00:00,32.3265562482,1,8559383,2024-08-28 00:00:00
11,,Ceylon Land & EquitY PLC,2024-09-20 00:00:00,72.0000168784,1,4206552,2024-10-01 00:00:00
12,,Galle Face Capital Partners PLC,2024-09-20 00:00:00,13.8528420229,1,1945415,2024-10-01 00:00:00
13,,Vidullanka PLC - Ordinary Voting ,2024-11-13 00:00:00,11.8122485,1,73763768,2024-11-29 00:00:00
14,,Vidullanka PLC - Ordinary Non-Voting ,2024-11-13 00:00:00,7.44832599,1,9719511,2024-11-29 00:00:00
