Bonus Issues 1994,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) AMW,1 for 5,Data n.a. ,1144773
2) Industrial Asphalts,1 for 1,Data n.a. ,333283
3) JKH,1 for 6,Data n.a. ,2500000
4) Pure Beverages,1 for 1,Data n.a. ,9453425
5) Asian Hotels,1 for 2,Data n.a. ,36657511
6) Hotel Reefcomber,7 for 5,Data n.a. ,4301350
7) ACL,1 for 1,Data n.a. ,2800224
8) Asiri,1 for 3,Data n.a. ,2414516
9) CTC Eagle,1 for 5,Data n.a. ,2000000
10) United Motors,1 for 5,Data n.a. ,2036300
11) Alliance Finance,2 for 1,Data n.a. ,1080000
12) On'ally Holdings,1 for 4,Data n.a. ,2800123
13) Arpico Finance,3 for 4,Data n.a. ,450000
14) Ahungalla Hotels,1 for 3,Data n.a. ,2444602
15) Mercantile Leasing ,1 for 4,Data n.a. ,1000000
16) Mercantile Leasing  (convertible Debentures),5 for 4,Data n.a. ,5000000
17) Singer Sri Lanka,1 for 5,Data n.a. ,2608875
18) Mikechris Industries,1 for 3,Data n.a. ,334933
19) Ceylon Breweries,14 for 27,Data n.a. ,1038647
20) Aitken Spence,1 for 5,Data n.a. ,1785146
21) Korea Ceylon,1 for 5,Data n.a. ,1943780
22) Ceylon Tea,2 for 5,Data n.a. ,2000000
23) Serendib Hotels,2 for 1,Data n.a. ,5250000
24) Serendib Land,1 for 7,Data n.a. ,45000
25) Blue Diamonds,1 for 10,Data n.a. ,4320000
26) Central Securities,1 for 2,Data n.a. ,1639961
27) Kapila Heavy,17 for 23,Data n.a. ,1701062
28) Dimo,1 for 5,Data n.a. ,600000
29) Merchant Bank,1 for 4,Data n.a. ,10000000
30) Hayleys,1 for 5,Data n.a. ,3000000
31) Stafford Hotels,1 for 1,Data n.a. ,4216197
32) Ceylon Grain Elevators,1 for 2,Data n.a. ,15000000
33) Arpico Finance,1 for 2,Data n.a. ,525000
34) Richard Pieris,1 for 5,Data n.a. ,2086602
Value (Rs.),1345113100,,
Issues (No.),34,,
Bonus Issues - by Sector 1994,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",7,Data n.a. ,
Manufacturing,5,Data n.a. ,
Hotels & Travels,5,Data n.a. ,
"Beverage, Fod & Tobacco",3,Data n.a. ,
Motors,3,Data n.a. ,
Investment Trust,2,Data n.a. ,
Services,2,Data n.a. ,
Trading,2,Data n.a. ,
Land & Property,2,Data n.a. ,
Construction 7 Engineering,1,Data n.a. ,
Chemical & Pharmaceuticals,1,Data n.a. ,
Footwear & Textiles,1,Data n.a. ,
Total,34,Data n.a. ,
