Bonus Issues 2002,,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment,
LANKA TILES,1 For 10,10,1826805,2002-01-29 00:00:00,227651340
CEYLINCO INS.,1 For 5,10,2772000,2002-03-27 00:00:00,14866500
HNB,1 For 10,10,5000000,2002-04-01 00:00:00,65000000
INDO MALAY,1 For 5,10,486000,2002-04-02 00:00:00,4650230
SELINSING,1 For 5,10,642600,2002-04-02 00:00:00,70518520
SHALIMAR,1 For 5,10,642600,2002-04-02 00:00:00,33013750
WATAPOTA INVESTMENT,3 For 5,10,251628,2002-04-02 00:00:00,5000000
GOOD HOPE,1 For 5,10,530193,2002-04-02 00:00:00,1457360
COMM. LEASING,1 For 10,10,733333,2002-04-25 00:00:00,
CEYLON INV.,1 For 4,10,776115,2002-05-07 00:00:00,
CEYLON GUARDI,1 For 4,10,760906,2002-05-07 00:00:00,
UNION ASSURAN,1 For 4,10,5000000,2002-05-28 00:00:00,
CIC,1 For 7,10,900000,2002-06-28 00:00:00,
UNITED MOTORS,1 For 1,10,14714675,2002-07-26 00:00:00,
HAYLEYS EXPOR,1 For 5,10,1000000,2002-08-08 00:00:00,
DIPPED PRODUC,1 For 8,10,2309472,2002-08-16 00:00:00,
SAMSON INTERN,1 For 10,10,299842,2002-09-27 00:00:00,
ACL,1 For 4,10,2450196,2002-10-14 00:00:00,
Value (Rs.),"Rs. 428,663,650",,,,
Issues (No.),18,,,,
Bonus Issues - by Sector 2002,,,,,
Sector,No of Issues,No of Shares,,,
"Banks, Finance & Insurance",4,15005333,,,
Chemical & Pharmaceuticals,1,1170000,,,
Investment Trust,3,1788649,,,
Manufacturing,4,6886315,,,
Motors,1,14714675,,,
Oil Palms,4,2301393,,,
Trading,1,1000000,,,
Total,18,42866365,,,
