Bonus Issues 2003,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment
The Indo-Malay Estates Ltd.,1 for 5,10,583200,2003-05-29 00:00:00
The Selinsing Company Ltd.,1 for 5,10,771120,2003-05-29 00:00:00
The Shalimar (Malay) Estate Company Ltd.,1 for 5,10,771120,2003-05-29 00:00:00
The Good Hope Company Ltd.,1 for 5,10,636232,2003-05-29 00:00:00
Lanka Orix Leasing Co. Ltd.,1 for 1,10,23760000,2003-06-30 00:00:00
Commercial Bank of Ceylon Ltd.,1 for 3,10,"13,000,000 Voting",2003-06-12 00:00:00
,1 for 3,10,"930,046 Non-Voting",2003-06-12 00:00:00
John Keells Holdings Ltd.,1 for 4,10,46936255,2003-06-27 00:00:00
Hayleys Exports Ltd.,1 for 6,10,1000000,2003-08-07 00:00:00
Dipped Products Ltd.,1 for 5,10,4157049,2003-08-14 00:00:00
The Ceylon Investment Company Ltd.,1 for 6,10,862350,2003-08-29 00:00:00
The Ceylon Guardian Investment Trust Ltd.,1 for 6,10,760906,2003-08-29 00:00:00
Colombo Land & Development Co. Ltd.,1 for 4,1,32550000,2003-07-23 00:00:00
Caltex Lubricants Lanka Ltd.,1 for 1,10,30000000,2003-09-22 00:00:00
Richard Pieris & Co. Ltd.,1 for 4,10,5905402,2003-09-03 00:00:00
Value (Rs.),1333286800,,,
Issues (No.),14,,,
Bonus Issues - by Sector 2003,,,,
Sector,No of Issues,No of Shares,,
Banks Finance & Insurance,2,37690046,,
Diversified Holdings,1,46936255,,
Investment Trust,2,1623256,,
Land & Property,1,32550000,,
Manufacturing,3,40062451,,
Oil Palms,4,2761672,,
Trading,1,1000000,,
Total,14,162623680,,
