Bonus Issues 2006,,,,
Company,Ratio,No. of Shares offered,Allotment,Par Value (Rs)
Pegasus Hotels of Ceylon Ltd,1 for 5 ,4558731,2006-02-16 00:00:00,10
Commercial Leasing Co. Ltd,1 for 4,3529168,2006-03-29 00:00:00,10
Colombo Dockyard Ltd,1 for 20,3103722,2006-04-20 00:00:00,10
National Development Bank Ltd,1 for2 ,27285128,2006-04-26 00:00:00,10
Singer (Sri Lanka) Ltd,1 for 4 ,12520961,2006-04-26 00:00:00,10
Chemical Industries (Colombo) Ltd - Voting,3 for 2,24300000,2006-06-09 00:00:00,10
Chemical Industries (Colombo) Ltd - Non Voting,3 for 2 ,7290000,2006-06-09 00:00:00,10
DFCC Bank ,1 for 2,28797824,2006-06-30 00:00:00,10
John Keells Holdings Ltd,1 for 7,57163177,2006-06-30 00:00:00,10
Lanka Tiles Ltd,1 for 7,3157762,2006-07-17 00:00:00,10
United Motors Lanka Ltd,1 for 7,4204192,2006-07-12 00:00:00,10
Vallibel Power Erathna Ltd,2 for 1,498073154,2006-07-05 00:00:00,10
Ceylon Tea Services Ltd,1 for 1,10000000,2006-08-28 00:00:00,10
Bogawantalawa Tea Estates Ltd,1 for 2,16750000,2006-09-05 00:00:00,10
Connaissance Holdings Ltd,1 for 5,7004993,2006-09-12 00:00:00,10
Diesel & Motor Engineering Co. Ltd,1 for 10,1000000,2006-09-12 00:00:00,10
Associated Motorways Ltd,5 for 1,46373000,2006-10-12 00:00:00,10
LB Finance Ltd,2 for 5,5771428,2006-10-19 00:00:00,10
Kelsey Developments Ltd,1 for 2,3873172,2006-11-02 00:00:00,10
Renuka City Hotels Ltd,2 for 5,2000000,2006-11-14 00:00:00,10
Seylan Merchant Leasing Ltd,1 for 4 ,4542728,2006-12-12 00:00:00,10
Bonus Issues - by Sector 2006,,,,
Sector,No of Issues,No of Shares,,
Banks Finance & Insurance,5,69926276,,
"Beverage, Food & Tobacco",1,10000000,,
Chemicals & Pharmaceuticals,1,31590000,,
Construction & Engineering,1,3103722,,
Diversified Holdings,1,57163177,,
Hotels & Travels,3,13563724,,
Land & Property,1,3873172,,
Manufacturing,1,3157762,,
Motors,3,51577192,,
Plantations,1,16750000,,
Power & Energy,1,498073154,,
Trading ,1,12520961,,
Total,20,771299140,,
