Bonus Issues - 2007,,,,
Company,Ratio,No. of Shares offered,Allotment,
Asiri Hospitals Ltd,1 for 2,23713681,2007-01-31 00:00:00,
ACL Cables Ltd,1 for 1,14973420,2007-02-22 00:00:00,
Associated Hotels Co. Ltd,24 for 25,8742384,2007-03-09 00:00:00,
HNB Assurance Ltd,1 for 2,12500000,2007-03-30 00:00:00,
Hatton National Bank Ltd,1 for 1,94664700,2007-03-29 00:00:00,
,(Voting),,,
,1 for 1,23100000,2007-03-29 00:00:00,
,(Non-voting),,,
John Keells Holdings PLC,1 for 7,78960338,2007-03-23 00:00:00,
Union Assurance PLC,1 for 2,12500000,2007-03-30 00:00:00,
Asiri Surgical Hospitals Ltd,1 for 3,117435010,2007-04-25 00:00:00,
Chemical Industries (Colombo) Ltd,4 for 5,32400000,2007-04-05 00:00:00,
,(Voting),,,
,4 for 5,9720000,2007-04-05 00:00:00,
,(Non-voting),,,
Tangerine Beach Hotels Ltd,1 for 1,10000000,2007-04-18 00:00:00,
Commercial Bank of Ceylon Ltd,1 for 3,58204268,2007-06-11 00:00:00,
,(Voting),,,
,1 for 3,4030199,2007-06-11 00:00:00,
,(Non-voting),,,
DFCC Bank,1 for 5,21639765,2007-06-18 00:00:00,
Bonus Issues - by Sector 2007,,,,
Sector,No of Issues,No of Shares,,
Banks Finance & Insurance,5,226638932,,
Chemicals & Pharmaceuticals,1,42120000,,
Diversified Holdings,1,78960338,,
Health Care,2,141148691,,
Hotels & Travels,2,18742384,,
Manufacturing,1,14973420,,
Total ,12,522583765,,
Capitalisation of Reserves,,,,
Company,,Ratio,No. of Shares offered,Allotment
Tokyo Cement Company Ltd,(Voting),1:5,3000000,2007-12-10 00:00:00
,(Non-Voting),1:5,15000000,2007-12-10 00:00:00
