Capitalization of reserves 2008,,,,,
Company,Date of Announcement,Ratio,Consideration (Rs.),No. of shares offered,Allotment
Vidullanka PLC,19-03-2008,01:10:00,12,3279375,2008-03-19 00:00:00
Colombo Dockyard PLC,22-04-2008,01:20:00,10,3258908,2008-04-22 00:00:00
Carson Cumberbatch PLC,23-07-2008,01:20:00,121/53,4584195,2008-07-23 00:00:00
Brown & Company Ltd.,2008-09-09 00:00:00,02:01:00,42,47250000,2008-09-09 00:00:00
Capitalization of Reserves by Sector -2008,,,,,
Sector,No. of Issues,No.of share,,,
Power & Energy,1,3279375,,,
Construction & Engineering,1,3258908,,,
Diversified ,1,4584195,,,
Trading ,1,47250000,,,
Total ,4,58372478,,,
