Bonus Issues - 2010,,,
Company,Ratio,No. of Shares offered,Allotment
DFCC Bank,1:1,132431968,01-NOV-2010
Capitalization of Reserves,,,
Company,Ratio,No. of Shares offered,Allotment
Abans Electricals ,01:02:00,1064700,2010-06-24 00:00:00
Tokyo Cement Company (Lanka),01:08:00,22500000,2010-06-28 00:00:00
,,Voting ,
,01:08:00,11250000,2010-06-28 00:00:00
,,Non voting ,
Amaya Leisure ,01:07:00,6004279,2010-07-20 00:00:00
Ceylon Hospitals ,01:05:00,4254545,2010-09-07 00:00:00
,,Voting,
,01:05:00,1390909,2010-09-07 00:00:00
,,Non voting,
Lanka Tiles ,01:04:00,10610082,2010-09-24 00:00:00
Ceylon Investment ,01:50:00,1931664,2010-10-25 00:00:00
Ceylon Guardian Investment Trust ,01:50:00,1609739,2010-11-18 00:00:00
Bukit Darah,01:50:00,2000000,2010-12-23 00:00:00
Carson Cumberbatch,01:50:00,3850724,2010-12-23 00:00:00
