Capitalization of Reserves 2011,,,
Company,Ratio,No. of Shares offered,Allotment
Royal Ceramics Lanka ,01:01:00,55394692,2011-01-10 00:00:00
Lanka Walltile,01:05:00,9100000,2011-02-08 00:00:00
LB Finance,01:01:00,34628571,2011-03-04 00:00:00
HNB Assuarance,01:06:00,6250000,2011-03-29 00:00:00
Central Finance Company ,01:30:00,3383333,2011-08-19 00:00:00
On'ally Holdings ,01:04:00,3500154,2011-09-06 00:00:00
Alliance Finance Company ,01:02:00,810000,2011-10-04 00:00:00
Capitalization of Reserves by Sector,,,
Sector,No. of Issues,No.of share,
Banks Finance & Insurance,4,45071904,
Land & Property,1,3500154,
Manufacturing,2,64494692,
Total ,7,113066750,
