Capitalisation of Reserves 2013,,,,,
No. ,Company,No. of shares listed ,Date of allotment ,Propotion,Date listed
1,Commercial Credit and Finance,20000000,2013-03-27 00:00:00,00:01:10.900000,2013-04-08 00:00:00
2,Tokyo Cement Company Lanka - Voting,20250000,2013-08-08 00:00:00,01:10:00,2013-08-21 00:00:00
,                                             Non-voting ,10125000,2013-08-08 00:00:00,01:10:00,2013-08-21 00:00:00
3,Abans Electricals ,851760,2013-09-24 00:00:00,01:05:00,2013-10-04 00:00:00
,Capitalization of Reserves by Sector,,,,
,Sector,No. of Issues,No.of share,,
,"BANKS, FINANCE AND INSURANCE",1,20000000,,
,MANUFACTURING,1,30325000,,
,LAND AND PROPERTY,1,851760,,
,Total,3,51176760,,
