Capitalisation of Reserves 01st January to 31st December 2018,,,,,,
No. ,Date of Announcement,Company,No. of shares listed ,Date of allotment ,Propotion,Date listed
1,2018-01-30 00:00:00,C T Lands Development PLC,32500000,2018-03-20 00:00:00,02:03:00,2018-03-28 00:00:00
2,2018-02-01 00:00:00,C T Holdings PLC,18309725,2018-03-20 00:00:00,01:10:00,2018-03-28 00:00:00
3,2018-02-01 00:00:00,Cargills (Ceylon) PLC,31999927,2018-03-20 00:00:00,01:07:00,2018-03-28 00:00:00
4,2018-08-08 00:00:00,Singer Industries (Ceylon) PLC,6154080,2018-09-11 00:00:00,08:05:00,2018-09-20 00:00:00
,,Capitalization of Reserves by Sector,,,,
,,Sector,No. of Issues,No.of share,,
,,LAND & PROPERTY,1,32500000,,
,,DIVERSIFIED HOLDINGS,1,18309725,,
,,BEVARAGE FOOD & TOBACCO,1,31999927,,
,,MANUFACTURING,1,6154080,,
