Right Issues 1991,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,
,,Offered,(Rs.),by the Public,
1) Asiri Hospitals,3 for 10,1137184,10,Data n.a. ,
2) Asian Cottons,1 for 3,1940397,10,Data n.a. ,
3) DIMO,1 for 3,500000,30,Data n.a. ,
4) E B Creasy,3 for 2,1014183,10,Data n.a. , 
5) Gilbeys,87 for 20,17544942,10,Data n.a. ,
6) Hotel Services,1 for 3,4400000,10,Data n.a. ,
7) Korea Ceylon,1 for 3,2429725,20,Data n.a. ,
8) Lanka Alum,12 for 10,9453998,10,Data n.a. ,
9) Pegasus,3 for 5,1669457,10,Data n.a. ,
10) AMW,1 for 3,9539781,10,Data n.a. ,
11) Central Securities,1 for 3,500000,20,Data n.a. ,
12) Chemanex,1 for 3,250000,30,Data n.a. ,
13) Gestetner,3 for 2,168750,40,Data n.a. ,
14) Huejay,1 for 1,900000,20,Data n.a. ,
15) Lake House Investment,1 for 2,236561,10,Data n.a. ,
16) Merchant Bank,1 for 2,5000000,20,Data n.a. ,
17) Radiant Gems,1 for 7,300000,10,Data n.a. ,
Value (Rs),74107660,,,,
Issues (No.),17,,,,
Right Issues 1990 by Sector,,,,,
Sector (Equity),No of Issues,No of Shares,Value (Rs.),,
"1) Beverages, Food & Tobacco",Data n.a. ,Data n.a. ,Data n.a. ,,
2) Chemicals and Pharmacy,Data n.a. ,Data n.a. ,Data n.a. ,,
3) Hotels & Travels,Data n.a. ,Data n.a. ,Data n.a. ,,
4) Investment,Data n.a. ,Data n.a. ,Data n.a. ,,
5) Land & Property,Data n.a. ,Data n.a. ,Data n.a. ,,
6) Manufacturing,Data n.a. ,Data n.a. ,Data n.a. ,,
7) Motors,Data n.a. ,Data n.a. ,Data n.a. ,,
8) Services,Data n.a. ,Data n.a. ,Data n.a. ,,
9) Trading,2,Data n.a. ,3819000,,
Total,17,Data n.a. ,74107661,,
