Right Issues 1996,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed
,,Offered,(Rs.),by the Public
1) Pure Beverages Co Ltd,3 for 1,56720550,18,56720550
2) Colonial Motors Ltd,1 for 1,8100000,15,10505
3) Dipped Products Ltd,1 for 5,1584000,60,1584000
4) Asian Hotels Corp. Ltd,1 for 1,140141205,10,81246438
5) Lankem Ceylon Ltd,13 for 7,7800000,20,7800000
6) Alufab Ltd,6 for 5,1096200,10,1096200
7) Ceylon Brewery ltd,4 for 1,16790472,30,16790472
8) Commercial Bank Ltd,1 for 4,,,
                  Voting,,5000000,80,5000000
                  Non - Voting,,357710,70,357710
9) Nuwara4eliya Hotels Co. Ltd.,1 for 3,464534,110,464534
10) PD Keels Ltd,1 for 1,3750000,10,1414229
11) Regnis (Lanka) Ltd,1 for 2,1000000,22,716360
12) Singer (Sri Lanka) Ltd,1 for 9,2125750,50,1855766
13) Sathosa Motors Ltd.,1 for 1,1750007,55,1266804
14) Ceylon Oxygen Ltd.,1 for 2,3000000,60,3000000
15) Overseas Reality (Ceylon) Ltd,26% CCULS for 3 Ordinery Shares,"US$ 20,004,192",US$ 1 (Rs. 50/=),"US$ 20,004,192"
Value (Rs),5227984035,,,
Issues (No.),15,,,
Right Issues 1996 by Sector,,,,
Sector (Equity),No of Issues,No of Shares,Value (Rs.),
"1) Banks, Finance & Insurance",1,5357710,425039700,
"2) Beverages, Food & Tobacco",2,73511022,1524684060,
3) Chemicals & Pharmaceuticals,1,7800000,156000000,  
4) Hotels & Travels,2,140605739,1452510790,
5) Land & Property,1,3750000,37500000,
6) Manufacturing,4,6680200,308002000,
7) Motors,2,9850007,217750385,
8) Trading,1,2125750,106287500,
Total,14,249680428,4227774435,
Sector,No of Issues,No of  Loan Stock,Value (US$.),
Convertible Loan Stock,,,,
Overseas Reality (Ceylon) Ltd,1,20004192,20004192,
