Right Issues 1999,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,Allotment
,,Offered,(Rs.),by the Public,
1) Walker & Greig Ltd,15 for 1,16299450,2,16299450,1999-03-02 00:00:00
2) C W Mackie & Co Ltd,8 for 5,22146804,12,"16,218,484 [5,928,320 by underwriters]",1999-02-01 00:00:00
3) Ceylon Strategic Holdings Ltd,3 for 1,3452679,10,3452679,1999-01-11 00:00:00
4) Hatton National Bank Ltd,3 for 10,15000000,70,1199176,1999-10-22 00:00:00
,non-voting ordinary shares,,,,
5) Hotel Reefcomber,1 for 6,1474748,10,1474748,1999-11-08 00:00:00
6) Aitken Spence Hotel Holdings Ltd,3 for 5,14412429,40,14412429,1999-11-03 00:00:00
"Value (Rs) = 1,008,074,298",,,,,
Issues (No.) = 6,,,,,
Right Issues 1999 by Sector,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,1199176,83942320,,
"2) Beverages, Food & Tobacco",1,22146804,265761648,,
3)  Hotels & Travels,3,19339856,625771430,,
4)  Trading,1,16299450,32598900,,
Total,6,58985286,1008074298,,
