Right Issues 2000,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,
CEYLINCO INS.,1 for   2,4200000,15,4200000,-,2000-09-14 00:00:00
HAPUGASTENNE,1 for   1,20000000,10,10246021,9753979,2000-08-18 00:00:00
HAYLEYS,1 for  11,3000000,10,3000000,-,2000-09-15 00:00:00
HAYL. PHOTOPRINT,1 for   3,1000000,10,1000000,-,2000-10-23 00:00:00
HOTEL SIGIRIYA,2 for   5,1116000,10,1116000,-,2000-04-19 00:00:00
MERCANTILE LEASING LTD,1 for   1,9559669,15,3495263,6064406,2000-06-27 00:00:00
MET. RES. HOL.,1 for   5,6610800,20,6610800,-,2000-02-07 00:00:00
SUNSHINE TRAVELS,19 for   1,2850000,10,2850000,-,2000-09-07 00:00:00
UDAPUSSELLAWA,4 for   5,7600000,12.5,3910238,3689762,2000-08-18 00:00:00
Right Issues 2000 by Sector,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,
"1) Banks, Finance & Insurance",2,13759669,206395035,,,
2) Diversified,1,3000000,30000000,,,
3)  Hotels & Travels,2,3966000,39660000,,,
4)  Plantations,3,34210800,427216000,,,
5)  Trading,1,1000000,10000000,,,
Total,9,55936469,713271035,,,
