Right Issues 2002,,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,Amount Raised,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,(Rs.),
WATAPOTA INVESTMET,3 for 1,314535,30,314535,-,9436050,2002-01-03 00:00:00
ROYAL CERAMI,4 for 5,24619863,10,24619863,-,246198630,2002-01-07 00:00:00
THE FINANCE,4 for 5,7984992,12.5,7984992,-,99812400,2002-06-06 00:00:00
CEYLON INV.,1 for 4,620892,50,620892,-,31044600,2002-03-11 00:00:00
CEYLON GUAR,1 for 7,380453,80,380453,-,30436240,2002-03-11 00:00:00
ASIAN ALLIA,1 for 4,5000000,10,5000000,-,50000000,2002-05-20 00:00:00
HAYLEYS,1 for 8,5000000,20,5000000,-,100000000,2002-09-19 00:00:00
BLUE DIAMOND,3 for 1*,177101841,2.5,45928171,-,114820427.5,2002-11-27 00:00:00
MAHAWELI REACH,3 for 2,28239868,10,28239868,-,282398680,2002-12-24 00:00:00
,,,,,,964147027.5,
*Note: 3 Non Voting for 1 ordinary,,,,,,,
Right Issues 2002 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,,
Investment Trusts,3,1315880,70916890,,,,
Manufacturing,2,201721704,361019057.5,,,,
Banks Finance & Insurance,2,12984992,149812400,,,,
Diversified,1,5000000,100000000,,,,
Hotels & Travels,1,28239868,282398680,,,,
Total,9,249262444,964147027.5,,,,
