Rights Issues 2004,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,
Riverina Hotels Limited,2 for 5,4051914,20/-,4051914,-,2004-01-26 00:00:00
Commercial Leasing Company Limited,1 for 2,4033335,25/-,4033335,-,2004-01-30 00:00:00
Capital Development and Investment Company Ltd.,79 for 100,19355000,56/-,19355000,-,2004-03-01 00:00:00
Kuruwita Textile Mills Limited,1 for 2,5000000,22/-,5000000,-,2004-03-31 00:00:00
Eden Hotel Lanka Limited,1 for 10,4800000,10/-,4800000,-,2004-04-08 00:00:00
The Ceylon Investment Company Limited,1 for 2,3018225,50/-,3018225,-,2004-07-19 00:00:00
The Ceylon Guardian Investment Trust Limited,1 for 2,2663172,80/-,2663172,-,2004-07-19 00:00:00
Sigiriya Village Hotels Limited,1 for 2,1159650,45/-,1159649,-,2004-07-09 00:00:00
Stafford Hotels Limited,1 for 4,6324295,10/-,6324295,-,2004-07-30 00:00:00
Colombo Investment Trust Limited,1 for 3,1033333,10/-,1033333,-,2004-08-09 00:00:00
Hayleys Limited,1 for 10,5000000,20/-,5000000,-,2004-08-18 00:00:00
Associated Hotels Co. Ltd.,3 for 4,3902850,18/-,3902850,-,2004-09-17 00:00:00
Chemanex Limited,1 for 5,875000,50/-,875000,-,2004-09-14 00:00:00
Hotel Sigiriya Limited,1 for 2,1953000,30/-,1953000,-,2004-09-23 00:00:00
Elephant Lite Corporation Limited,2 for 1,6480648,10/-,2459676,-,2004-09-10 00:00:00
Colombo Fort Investments Limited,1 for 4,1000000,15/-,1000000,-,2004-10-15 00:00:00
Hatton National Bank Limited,2 for 5,22000000,55/-,22000000,-,2004-10-09 00:00:00
,(voting),(voting),,(voting),,
,2 for 5,6600000,33/-,6600000,,2004-10-09 00:00:00
,(non voting),(non voting),,(non voting),,
Marawila Resorts Limited,3 for 25,6000000,10/-,6000000,-,2004-10-22 00:00:00
The Fortress Resorts Limited,1 for 2,10368625,10/-,10368625,-,2004-10-26 00:00:00
Blue Diamonds Jewellery Worldwide Ltd.,1 for 4,26240529,2.5,26238311,-,2004-11-05 00:00:00
,(non voting),,,,,
Lankem Developments Ltd.,6 for 1,5103372,10/-,3349438,-,2004-11-10 00:00:00
Hotel Reefcomber Ltd.,1 for 3,2949497,10/-,2949497,-,2004-11-19 00:00:00
Sampath Bank Ltd,1 for 3,17221907,60/-,17221907,-,2004-12-20 00:00:00
Asiri Hospitals Ltd.,1 for 4,9485472,30/-,9485472,-,2004-12-29 00:00:00
Right Issues 2004 by Sector,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,
Banks Finance & Insurance,5,69210242,3645827795,,,
Construction & Engineering,1,3349438,33494380,,,
Chemicals & Pharmaceuticals,2,3334676,68346760,,,
Diversified,1,5000000,100000000,,,
Footwear & Textiles,1,5000000,110000000,,,
Healthcare,1,9485472,284564160,,,
Hotels & Travels,9,41509830,566487955,,,
Investment Trusts,4,7714730,389298340,,,
Manufacturing,1,26238311,65595777,,,
Total,25,170842699,5263615167,,,
