Rights Issues 2005,,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,,
Gestetner of Ceylon Limited,4 for 5,1012500,20,1012500,-,20250000,2005-02-11 00:00:00
The Fortress Resorts Limited,2 for 3,20737250,10,20737250,-,207372500,2005-03-29 00:00:00
Hotel Reefcomber Limited,1 for 3,3932663,10,3932663,-,39326630,2005-03-22 00:00:00
Lankem Developments Limited,3 for 7,1800000,15,1800000,-,27000000,2005-03-21 00:00:00
Laxapana Batteries Limited,1 for 1,5700000,10,3300000,-,33000000,2005-04-04 00:00:00
The Ceylon Guardian Investment Trust Limited,1 for 3,3550896,80,3550896,-,284071680,2005-04-05 00:00:00
The Ceylon Investment Company Limited,1 for 3,4527338,50,4527338,-,226366900,2005-04-05 00:00:00
Tess Agro Limited,2 for 5,53200000,1.5,30636364,-,45954546,2005-06-10 00:00:00
Seylan Merchant Bank Limited,1 for 3,11125780,11,11125780,-,122383580,2005-06-22 00:00:00
Nawaloka Hospitals Limited,1 for 5,120000000,4,104752798,-,419011192,2005-07-14 00:00:00
Muller & Phipps (Ceylon) Limited,9 for 1,54000000,2,48000000,-,96000000,2005-07-15 00:00:00
E-Channeling Limited,2 for 3,6978938,10,6978938,-,69789380,2005-09-21 00:00:00
Kelsey Developments Limited,1 for 2,2582115,25,2582115,-,64552875,2005-10-03 00:00:00
Merchant Bank of Sri Lanka,1 for 2,30000000,15,30000000,-,450000000,2005-10-18 00:00:00
Pegasus Hotels of Ceylon Limited,11 for 5,15670637,18,15670637,-,282071466,2005-12-06 00:00:00
Equity One Limited,11 for 2,34118387,30,34118387,-,1023551610,2005-11-09 00:00:00
Equity Two Limited,4 for 1,24800000,14,24800000,-,347200000,2005-11-09 00:00:00
Samson International Limited,1 for 6,549711,46,549711,-,25286706,2005-11-21 00:00:00
,,,,,,3783189065,
Rights Issues 2005 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,,
Banks Finance & Insurance,2,41125780,572383580,,,,
Chemicals & Pharmaceuticals,1,3300000,33000000,,,,
Construction & Engineering,1,1800000,27000000,,,,
Healthcare,1,104752798,419011192,,,,
Hotels & Travels,3,40340550,528770596,,,,
Investment Trust,2,8078234,510438580,,,,
Information Technology,1,6978938,69789380,,,,
Land & Property,3,61500502,1435304485,,,,
Manufacturing,1,549711,25286706,,,,
Stores & Supplies,2,49012500,116250000,,,,
Trading,1,30636364,45954546,,,,
Total,18,348075377,3783189065,,,,
