Rights Issues 2006,,,,,,,
Company,Ratio,No. of Shares offered,Issue Price (Rs.),No. of shares subscribed by public ,No. of shares devolved to underwriter,,Allotment 
Blue Diamonds Jewellery Worldwide Ltd,1 for 2,65589385,2.5,30057291,-,75143227.5,2006-01-06 00:00:00
,(Non Voting),,,,,,
Cargo Boat Development Co. Ltd,1 for 2,3400012,15,3400012,-,51000180,2006-01-04 00:00:00
Commercial Leasing Co. Ltd,1 for 6,2016667,60,2016667,-,121000020,2006-01-30 00:00:00
Regnis (Lanka) Ltd,1 for 3,1207271,50,1207271,-,60363550,2006-01-20 00:00:00
Chemical Industries (Colombo) Ltd,1 for1 ,8100000,62,8100000,-,502200000,2006-03-29 00:00:00
,(Voting),,,,,,
,1 for 1 ,2430000,35,2430000,-,85050000,2006-03-29 00:00:00
,(Non Voting),,,,,,
Dankotuwa Porcelain Ltd,2 for 3,18094296,10,12791509,5302787,180942960,2006-04-25 00:00:00
Seylan Merchant Leasing Ltd,1 for 2,5047475,18,5047475,-,90854550,2006-04-20 00:00:00
The Fortress Resorts Ltd,3 for 4 ,38882344,10,38882344,-,388823440,2006-05-23 00:00:00
Seylan Bank Ltd,1 for 1,83560000,12.5,83560000,-,1044500000,2006-05-02 00:00:00
,(Non Voting),,,,,,
Vidullanka Ltd, 1 for 10,2981250,20,2981250,-,59625000,2006-05-03 00:00:00
Overseas Realty (Ceylon) Ltd,7 for 50,69057200,15,10133921,58923279,1035858000,2006-08-23 00:00:00
Pan Asia Banking Corporation Ltd,1 for 1,55571883,10,55068524,-,550685240,2006-10-26 00:00:00
Seylan Merchant Leasing Ltd,1 for 5,3028485,20,3028485,-,60569700,2006-10-30 00:00:00
Diesel & Motor Engineering Co. Ltd,1 for 10,1100000,50,1100000,-,55000000,2006-11-20 00:00:00
People’s Merchant Bank Ltd,1 for 1,12500000,20,12500000,-,250000000,2006-11-14 00:00:00
,,,,,,4611615867.5,
Rights Issues 2006 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,
Banks Finance & Insurance,6,161221151,2117609510,,,,
Chemicals & Pharmaceuticals,1,10530000,587250000,,,,
Hotels & Travels,1,38882344,388823440,,,,
Land & Property,2,72457212,1086858180,,,,
Motors,1,1100000,55000000,,,,
Manufacturing,3,49358858,316449737.5,,,,
Power & Energy,1,2981250,59625000,,,,
Total,15,336530815,4611615867.5,,,,
