Rights Issues - 2007,,,,,,,
Company,Ratio,No. of Shares offered,Issue Price (Rs.),No. of shares subscribed by public ,No. of shares devolved to underwriter,,Allotment 
Kshatriya Holdings PLC,4 for 1,19679528,10,19679528,,196795280,2007-02-12 00:00:00
Kelsey Developments Limited ,1 for 2,5809758,20,5809758,,116195160,2007-02-12 00:00:00
The Fortress Resorts Ltd,2 for 9,20161215,10,17242725,2918490,201612150,2007-02-27 00:00:00
Lanka Tiles Ltd,1 for 5,5052420,35,5052420,-,176834700,2007-03-01 00:00:00
John Keells Holdings PLC,1 for 5,92103534,140,92103534,-,12894494760,2007-02-06 00:00:00
Amana Takaful PLC,1 for 1,12500009,30,12500009,-,375000270,2007-03-22 00:00:00
Commercial Bank of Ceylon Ltd,3 for 10,40288996,138,40288996,-,5559881448,2007-04-04 00:00:00
,,(Voting),, (Voting),,,
,3 for 10,2790138,65,2790138,-,181358970,2007-04-04 00:00:00
,,(Non-voting),,(Non-voting),,,
ACME Printing & Packaging Ltd,1 for 2,4472160,14,3510191,961969,62610240,2007-04-24 00:00:00
DFCC Bank ,1 for 4,21639134,140,21639134,-,3029478760,2007-04-27 00:00:00
Kshatriya Holdings PLC,3 for 1,73798230,10,73798230,- ,737982300,2007-06-21 00:00:00
Dialog Telekom PLC,1 for 10,740343492,21,740343492,-,15547213332,2007-05-21 00:00:00
John Keells Hotels PLC,5 for 6,496413675,5.75,496413675,-,2854378631.25,2007-06-28 00:00:00
Marawila Resorts Ltd. ,1 for 4,14000000,4,14000000,-,56000000,2007-08-07 00:00:00
Muller and Phipps (Ceylon) Limited  ,4 for 1,216000000,1,87571714,-,87571714,2007-12-31 00:00:00
First Capital Holdings PLC ,5 for 4,18750000,10,18750000,-,187500000,2007-08-17 00:00:00
Parquet (Ceylon) Ltd.,1 for 5,1324800,10,1324800,-,13248000,2007-10-23 00:00:00
LB Finance Ltd,1 for 2,10100000,17,10100000,-,171700000,2007-11-27 00:00:00
Coco Lanka Ltd.,1 for 1,6300000,18,6300000,-,113400000,2007-11-07 00:00:00
Ceylon Glass Company PLC,5 for 7,395869200,1.9,395869200,-,752151480,2007-11-05 00:00:00
The Lanka Hospitals Corporation Ltd. ,3 for 7,67119651,15,67119651,-,1006794765,2007-12-20 00:00:00
Ceylon Hotels Corporation PLC.,50 for 1,150000000,2,150000000,-,300000000,2007-12-31 00:00:00
,,,,,,44622201960.25,
Rights Issues 2007 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,
Banks Finance & Insurance,5,106068277,9504919448,,,,
Beverage Food & Tobacco,1,6300000,113400000,,,,
Hotels & Travels,4,680574890,3411990781.25,,,,
Healthcare,1,67119651,1006794765,,,,
Manufacturing,4,406718580,1004844420,,,,
Diversified Holdings ,3,185581292,13829272340,,,,
Land & Property ,1,5809758,116195160,,,,
Stores & Supplies,1,216000000,87571714,,,,
Telecommunication,1,740343492,15547213332,,,,
Total,21,2414515940,44622201960.25,,,,
