Rights Issues - 2009,,,,,,,
Company,Ratio,No. of Shares offered,Issue Price (Rs.),No. of shares subscribed by public ,Amount raised,No. of shares devolved to underwriter,Allotment
Lankem Development PLC,01:02:00,3000000,10,900000,9000000, - ,2009-11-12 00:00:00
Marawila Resorts PLC,02:07:00,20000000,5,17000000,85000000, - ,2009-11-03 00:00:00
Renuka Holdings PLC ,01:06:00,"1,250,000 (Voting)",25,1250000,31250000, - ,2009-09-23 00:00:00
,01:06:00,"1,250,000 (Non-voting)",15,1250000,18750000, - ,2009-09-23 00:00:00
Arpico Finance Company PLC,10:07:00,2625000,25,2625000,65625000, - ,2009-02-13 00:00:00
Merchant Bank of Sri Lanka PLC,01:02:00,45000000,12,45000000,540000000, - ,2009-11-19 00:00:00
Environmental Resource Investments PLC,01:01:00,17386080,20,17386080,347721600, - ,2009-02-11 00:00:00
Keells Food Products PLC,07:10:00,3500000,50,3500000,175000000, - ,2009-02-19 00:00:00
Sigiriya Village PLC,01:01:00,3478950,20,3421050,68421000, - ,2009-03-24 00:00:00
Lion Brewery (Ceylon) PLC,03:05:00,30000000,40,30000000,1200000000, - ,2009-08-28 00:00:00
Ceylon Hospitals PLC,01:11:00,"1,772,727 (Voting)",57,1772727,101045439, - ,2009-11-11 00:00:00
,01:11:00,"579,545 (Non-voting)",30,579545,17386350, - ,2009-11-11 00:00:00
Environmental Resource Investments PLC,03:01:00,104316480,20,104316480,2086329600, - ,2009-07-07 00:00:00
Nation Lanka Finance PLC,01:01:00,19986050,12,19986050,239832600, - ,2009-12-03 00:00:00
People's Merchant Bank PLC,01:02:00,12500000,20,12500000,250000000, - ,
Rights Issues 2009 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,
Banks Finance & Insurance,4,80111050,1095457600,,,,
Beverage Food & Tobacco,2,33500000,1375000000,,,,
Construction & Engineering,1,900000,9000000,,,,
Healthcare,1,2352272,118431789,,,,
Hotels & Travels,2,20421050,153421000,,,,
Investment Trust,1,2500000,50000000,,,,
Trading,2,121702560,2434051200,,,,
Total,13,261486932,5235361589,,,,
