Rights Issues - 2011,,,,,,
COMPANY NAME,PROPORTION,NO. OF SHARES OFFERED,ISSUE PRICE (RS),NO.OF SHARES SUBSCRIBED BY PUBLIC,AMOUNT RAISED (RS),ALLOTMENT DATE
Browns Beach Hotels PLC,7:2,33600000,65,33600000,2184000000,2011-01-11 00:00:00
Dunamis Capital PLC,1:4,24599410,10,24599410,245994100,2011-01-24 00:00:00
Marawila Resorts PLC,1:4,24500000,10,24500000,245000000,2011-02-21 00:00:00
Guardian Capital Partners PLC,75:2,25162800,20,25162800,503256000,2011-02-18 00:00:00
Amana Takaful PLC,1:1,500000360,1.5,500000360,750000540,2011-03-18 00:00:00
Nation Lanka Finance PLC,3:2,59958150,5,59958150,299790750,2011-03-09 00:00:00
East West Properties PLC,3:1,103680000,10,103680000,1036800000,2011-03-14 00:00:00
CT Holdings PLC,1:55,3097253,210,3097253,650423130,2011-04-28 00:00:00
HNB Assurance PLC,1:7,6250000,62.5,6250000,390625000,2011-04-11 00:00:00
Lankem Developments PLC,15:1,103500000,25,53100000,1327500000,2011-04-21 00:00:00
People's Leasing Finance PLC,1:2,22713639,25,22713639,567840975,2011-04-25 00:00:00
Seylan Developments PLC,1:1,73982430,11,73982430,813806730,2011-05-12 00:00:00
Serendib Hotels PLC - (Voting),1:4,15102948,24.5,15102948,370022226,2011-05-05 00:00:00
Serendib Hotels PLC - (Non Voting),1:4,7202211,18.25,7202211,131440350.75,2011-05-05 00:00:00
Seylan Bank PLC - (Voting),1:3,43333333,75,43333333,3249999975,2011-05-09 00:00:00
Seylan Bank PLC -  (Non Voting),1:3,41186666,35,41186666,1441533310,2011-05-09 00:00:00
Ceylon Cold Stores PLC,1:10,2160000,300,2160000,648000000,2011-06-30 00:00:00
Citizens Development Business Finance PLC -(Voting) ,1:6,6614175,70,6614175,462992250,2011-07-25 00:00:00
Citizens Development Business Finance PLC -(Non Voting) ,1:7,5669293,45,5669293,255118185,2011-07-25 00:00:00
Commercial Bank of Ceylon PLC - (Voting),1:14,25502433,181.65,25502433,4632516954.45,2011-07-26 00:00:00
Commercial Bank of Ceylon PLC - (Non Voting),1:14,1745494,130.13,1745494,227141134.22,2011-07-26 00:00:00
Softlogic Finance PLC,2:5,10701129,50,10701129,535056450,2011-07-29 00:00:00
Hatton National Bank PLC - (Voting)/AS AT 8-DEC-11,1:10,28740020,219.5,23820702,5228644089,2011-07-01 00:00:00
Hatton National Bank PLC - (Non Voting)/AS AT 8-DEC-11,1:10,7013916,119.5,7013849,838154955.5,2011-07-01 00:00:00
Singalanka Standard Chemicals PLC,3:1,4155621,55,4155621,228559155,2011-08-11 00:00:00
Alufab PLC,2:1,8038800,38,8038800,305474400,2011-08-23 00:00:00
People's Merchant PLC,4:5,30000000,15,30000000,450000000,2011-10-10 00:00:00
,,1218210081,,,28019690659.92,
Rights Issues 2011 by Sector,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,
Banks Finance & Insurance,9,784509223,19329414568.17,,,
Beverage Food & Tobacco,1,2160000,648000000,,,
Construction & Engineering,1,53100000,1327500000,,,
DIVERSIFIED,2,27696663,896417230,,,
Hotels & Travels,4,80405159,2930462576.75,,,
Investment Trust,1,25162800,503256000,,,
Chemicals & Pharmaceuticals,1,4155621,228559155,,,
Land & Property,2,177662430,1850606730,,,
Manufacturing,1,8038800,305474400,,,
TOTAL,22,1162890696,28019690659.92,,,
Non Voting shares are not included in the above calculation,,,,,,
