Rights Issues - 2013,,,,,,,,,
No.,Company Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,Kotagala Plantations ,2013-03-05 00:00:00,8000000,45,8000000,360000000,360000000,01:04:00,2013-04-18 00:00:00
2,PC House ,2013-04-19 00:00:00,114466667,3,114466667,343400001,343400001,01:02:00,2013-05-29 00:00:00
3,Chilaw Finance ,2013-05-02 00:00:00,4237667,10,4237667,42376670,42376670,01:07:00,2013-06-12 00:00:00
4,The Kingsbury ,2013-08-14 00:00:00,66000000,10,66000000,660000000,660000000,03:08:00,2013-09-24 00:00:00
5,John Keells Holdings ,2013-10-02 00:00:00,131987983,175,131987983,23097897025,23097897025,02:13:00,2013-11-12 00:00:00
6,Tess Agro      (voting),2013-10-30 00:00:00,60000000,1.5,30000000,90000000,45000000,01:03:00,2013-12-10 00:00:00
,                     (non-voting),2013-10-30 00:00:00,30000000,0.9,30000000,27000000,27000000,01:06:00,2013-12-10 00:00:00
7,Taprobane Holdings PLC,2013-11-08 00:00:00,255950493,3,234873335,767851479,704620005,01:03:00,2013-12-20 00:00:00
8,Senkadagala Finance Company,2013-11-22 00:00:00,5336800,40,5336800,213472000,213472000,01:10:00,2013-12-24 00:00:00
,Rights Issues 2013 by Sector,,,,,,,,
,Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,,
,Banks Finance & Insurance,2,9574467,255848670,,,,,
,Information Technology,1,114466667,343400001,,,,,
,Hotels & Travels,1,66000000,660000000,,,,,
,Services,1,131987983,23097897025,,,,,
,Trading,1,60000000,72000000,,,,,
,Plantations,1,8000000,360000000,,,,,
,Diversified,1,234873335,704620005,,,,,
,Total,8,624902452,25493765701,,,,,
