,Rights Issues 2014,,,,,,,,
No.,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,Arpico Finance Company,2014-02-26 00:00:00,2975000,50,2975000,148750000,148750000,2:3,2014-03-31 00:00:00
2,Softlogic Capital PLC,2014-04-10 00:00:00,388960000,3.4,388960000,1322464000,1322464000,13:10:00,2014-05-22 00:00:00
3,Bimputh Finance PLC,2014-05-09 00:00:00,26933336,12.5,26933336,336666700,336666700,1:1,2014-06-24 00:00:00
4,Browns Investments ,2014-08-04 00:00:00,1860000000,1.25,1860000000,2325000000,2325000000,1:1,2014-09-15 00:00:00
5,Hayleys-MGT Knitting Mills ,2014-08-01 00:00:00,55397570,9.5,55397570,526276915,526276915,4:11,2014-09-11 00:00:00
6,Asia Asset Finance ,2014-09-17 00:00:00,279735944,1.6,279735944,447577510.4,447577510.4,1:01,2014-10-28 00:00:00
7,ACME Prinitng & Packaging PLC,2014-10-14 00:00:00,25613280,12,15548633,307359360,186583596,1:1,2014-11-21 00:00:00
8,Anilana Hotels & Properties,2014-11-10 00:00:00,109624114,7,109624114,767368798,767368798,2:7,2014-12-15 00:00:00
9,Renuka Holdings Plc (Voting),2014-11-11 00:00:00,44517313,21,44517313,934863573,934863573,1:1,2014-12-17 00:00:00
,                                      (Non Voting),2014-11-11 00:00:00,6428415,15,6428415,96426225,96426225,1:1,2014-12-17 00:00:00
10,Sanasa Development Bank,2014-11-18 00:00:00,12587661,80,12587661,1007012880,1007012880,1:2,2014-12-30 00:00:00
,Rights Issues 2014 by Sector,,,,,,,,
,Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,,
,Banks Finance & Insurance,5,711191941,3262471090.4,,,,,
,Hotels & Travels,2,160569842,1798658596,,,,,
,Diversified,1,1860000000,2325000000,,,,,
,Footwear and Textiles,1,55397570,526276915,,,,,
,Manufacturing,1,15548633,186583596,,,,,
,Total,8,2802707986,8098990197.4,,,,,
