Rights Issues 01st January to 31 st December 2016,,,,,,,,,,
No.,Date of Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2015-07-03 00:00:00,Waskaduwa Beach Resort ,2015-11-30 00:00:00,77800005,10,46146905,461469050,461469050,1:2,2016-01-06 00:00:00
2,2015-10-13 00:00:00,Colombo Trust Fund (CALF),2015-12-11 00:00:00,7753207,15,7753207,116298105,116298105,1:5,2016-01-26 00:00:00
3,2054-06-26 00:00:00,Nation Lanka Finance PLC,2016-02-10 00:00:00,502326522,1,502326522,502326522,502326522,1:2,2016-03-28 00:00:00
4,2015-12-29 00:00:00,Abans Finance,2016-03-17 00:00:00,7400000,25,7400000,185000000,185000000,1:5,2016-05-05 00:00:00
5,2015-09-02 00:00:00,Eden Hotel Lanka PLC ,2016-04-06 00:00:00,52800000,20,52800000,1056000000,1056000000,1:1,2016-05-16 00:00:00
6,2016-04-25 00:00:00,Amana Takaful PLC,2016-06-24 00:00:00,300000216,0.7,300000216,210000151.2,210000151.2,1:5,2016-08-03 00:00:00
,,,,,,,,2531093828.2,,
,Rights Issues by Sector,,,,,,,,,
,Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,,,
,Banks Finance & Insurance,4,817479945,1013624778.2,,,,,,
,Hotels & Travels,2,98946905,1517469050,,,,,,
