Rights Issues 01st January to 31 st December 2017,,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2016-08-10 00:00:00,Alliance Finance Company PLC,2016-11-29 00:00:00,1296000,55,1296000,71280000,71280000,1:25,2017-01-09 00:00:00
2,2016-09-26 00:00:00,Overseas Reality (Ceylon) PLC,2016-12-23 00:00:00,355151309,20.5,355151309,7280601834.5,7280601834.5,2:5,2017-02-03 00:00:00
3,2016-12-01 00:00:00,Pan Asia Banking Corporation  PLC,2017-01-31 00:00:00,147520543,14,147520543,2065287602,2065287602,1:2,2017-03-03 00:00:00
4,2017-02-03 00:00:00,Senkadagala Finance PLC,2017-04-15 00:00:00,7247506,80,7247506,579800480,579800480,1:9,2017-05-02 00:00:00
6,2016-12-22 00:00:00,BRAC Lanka Finance PLC,2017-04-07 00:00:00,132190708,10,132190708,1321907080,1321907080,5:4,2017-05-12 00:00:00
5,2016-12-28 00:00:00,Abans Finance PLC,2017-04-05 00:00:00,11093695,25,11093595,277342375,277339875,1:5,2017-05-22 00:00:00
7,2017-03-06 00:00:00,Commercial Bank of Ceylon PLC-Voting,2017-05-19 00:00:00,84649465,113.6,84649465,9616179224,9616179224,1:10,2017-06-29 00:00:00
,2017-03-06 00:00:00,Commercial Bank of Ceylon PLC-Non-vVoting,,5811601,90.8,5811601,527693370.8,527693370.8,,2017-06-29 00:00:00
8,2016-09-05 00:00:00,Renuka Capital PLC ( formly known as Kalamazoo Systems PLC) ,2017-06-01 00:00:00,3000000,520,1687985,1560000000,877752200,1:60,2017-07-04 00:00:00
9,2017-05-03 00:00:00,Amana Bank PLC,2017-07-04 00:00:00,1250695267,3.8,1250695267,4752642014.6,4752642014.6,1:1,2017-08-04 00:00:00
10,2017-04-27 00:00:00,Hatton National Bank PLC-Voting,2017-07-05 00:00:00,56029966,220,56029966,12326592520,12326592520,1:6,2017-08-14 00:00:00
,,Hatton National Bank PLC-Non-Voting,,14093547,190,11676947,2677773930,2218619930,,2017-08-14 00:00:00
11,2017-02-27 00:00:00,Swadeshi Industrial Works PLC,2017-07-24 00:00:00,18666,8000,18666,149328000,149328000,1:7,2017-08-29 00:00:00
12,2017-05-04 00:00:00,Summit Finance PLC,2017-07-31 00:00:00,13500000,21,13500000,283500000,283500000,3:5,2017-09-11 00:00:00
13,2017-07-28 00:00:00,Sampath Bank PLC,2017-10-20 00:00:00,31031748,245,31031748,7602778260,7602778260,1:6,2017-12-05 00:00:00
14,2016-09-13 00:00:00,Kotagala Plantations PLC,2017-11-15 00:00:00,80000000,10,10150000,800000000,101500000,2:1,2017-12-26 00:00:00
15,2017-09-11 00:00:00,Singer Finance Lanka PLC,2017-11-22 00:00:00,36740741,15,36740741,551111115,551111115,2:9,2017-12-29 00:00:00
,,,,,,,,50603913505.9,,
,Rights Issues by Sector,,,,,,,,,
,No of Issues,Sector,No of Shares,Amount Raised (Rs.),,,,,,
,11,Banks Finance & Insurance,1789484087,42194731471.4,,,,,,
,1,Land & Property,355151309,7280601834.5,,,,,,
,1,Services,1687985,877752200,,,,,,
,1,Manufacturing,18666,149328000,,,,,,
,1,Plantations,10150000,101500000,,,,,,
