Rights Issues 2023 (January to December),,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2019-01-07 00:00:00,Balangoda Planatations PLC,2022-11-25 00:00:00,23636363,85,23636363,2009090855,2009090855,1:1,2023-01-10 00:00:00
2,2020-01-06 00:00:00,Jetwing Symphony PLC,2022-11-30 00:00:00,100000000,5,100000000,500000000,500000000,1:5.02188559,2023-01-13 00:00:00
3,2020-01-19 00:00:00,Ceylon Hospitals PLC - Voting,2023-02-17 00:00:00,1595454,112.5,1595454,179488575,179488575,1:16,2023-03-30 00:00:00
,2020-01-07 00:00:00,Ceylon Hospitals PLC - Non Voting,2023-02-17 00:00:00,521590,90,521590,46943100,46943100,1:16,2023-03-30 00:00:00
4,2020-02-19 00:00:00,Marawila Resorts PLC,2023-03-24 00:00:00,152000000,2,123923389,304000000,247846778,2:3,2023-05-15 00:00:00
5,2020-02-10 00:00:00,Blue Diamonds Jewellery Worldwide PLC - Voting,2023-04-26 00:00:00,736504455,0.29,404922518,213586291.95,117427530.22,10:4,2023-06-09 00:00:00
7,2020-06-02 00:00:00,Blue Diamonds Jewellery Worldwide PLC - Non Voting,2023-04-26 00:00:00,486584058,0.25,31343091,121646014.5,7835772.75,10:4,2023-06-09 00:00:00
8,2020-06-23 00:00:00,Alpha Fire Services PLC,2023-05-19 00:00:00,4830000,10.53,4830000,50859900,50859900,7:4,2023-06-26 00:00:00
9,,Pegasus Hotels of Ceylon PLC,2023-07-26 00:00:00,8442094,19,8442094,160399786,160399786,1:4,2023-09-08 00:00:00
10,,Amana Bank PLC,2023-09-26 00:00:00,2902267365,2.3,1824777767,6675214939.5,4196988864.1,1:1,2023-11-09 00:00:00
,,,,,2.3,784212329,,1803688356.7,1:2,2023-11-23 00:00:00
11,,Palm Garden Hotels PLC,2023-09-27 00:00:00,432670000,41,432670000,17739470000,17739470000,10:1,2023-11-03 00:00:00
12,,Eden Hotel Lanka PLC,2023-10-02 00:00:00,1056000000,10,1056000000,10560000000,10560000000,2:1,2023-11-13 00:00:00
13,,Beruwela Reosrts PLC,2023-12-20 00:00:00,300000000,1.2,,360000000,,1:2,
,,,,,,,,37620039517.77,,
