Sub Division / Share Splits 2010,,,,
 Company Name  , Security  , Old Proportion  , New Proportion  , Effective Date  
 RENUKA HOLDINGS  , RHL-X-0000  ,1,5, 26-JAN-10  
 RENUKA HOLDINGS  , RHL-N-0000  ,1,5, 26-JAN-10  
 TOKYO CEMENT  , TKYO-N-0000  ,1,10, 01-FEB-10  
 SAMPATH  , SAMP-N-0000  ,10,11, 25-MAR-10  
 KELANI CABLES  , KCAB-N-0000  ,1,2, 31-MAR-10  
 SUNSHINE HOLDING  , SUN-N-0000  ,1,10, 05-APR-10  
 S M B LEASING  , SEMB-N-0000  ,1,10, 21-APR-10  
 FIRST CAPITAL  , CFVF-N-0000  ,1,3, 20-MAY-10  
 AMANA  , ATL-N-0000  ,1,10, 16-JUN-10  
 COMMERCIAL BANK  , COMB-N-0000  ,2,3, 21-JUN-10  
 COMMERCIAL BANK  , COMB-X-0000  ,2,3, 21-JUN-10  
 HEMAS HOLDINGS  , HHL-N-0000  ,1,5, 08-JUL-10  
 TOUCHWOOD  , TWOD-N-0000  ,1,4, 15-JUL-10  
 VIDULLANKA  , VLL-N-0000  ,1,10, 27-JUL-10  
 JOHN KEELLS  , JKL-N-0000  ,1,2, 31-AUG-10  
 TRANS ASIA  , TRAN-N-0000  ,1,2, 06-SEP-10  
 CFT  , CFT-N-0000  ,1,10, 17-SEP-10  
 WATAWALA  , WATA-N-0000  ,1,10, 27-SEP-10  
RICHARD PIERIS,RICH-N-0000,1,15, 08-OCT-10  
AITKEN SPENCE,SPEN-N-0000,1,15, 11-OCT-10  
SAMPATH BANK,SAMP-N-0000,1,2, 12-OCT-10  
CEYLON INVESTMENT,CINV-N-0000,1,5, 26-OCT-10  
ELPITIYA PLANTATIONS,ELPL-N-0000,1,2, 26-OCT-10  
CENTRAL INDUSTRIES,CIND-N-0000,1,3, 28-OCT-10  
KELANI TYRES,TYRE-N-0000,1,2, 08-NOV-10  
BOGAWANTALAWA TEA,BOPL-N-0000,2,3, 22-NOV-10  
CEYLON GUARDIAN INV,GUAR-N-0000,1,5, 22-NOV-10  
LANKA ORIX LEASING,LOLC-N-0000,1,10, 22-NOV-10  
AITKEN SPENCE HOTEL,AHUN-N-0000,1,7, 26-NOV-10  
NAWALOKA HOSPITALS,NHL-N-0000,1,2, 29-NOV-10  
