Sub Division / Share Splits 2011,,,,,
Company ID,Company Name, Security  , Old Proportion  , New Proportion  , Effective Date  
VFIN,VALLIBEL FINANCE,VFIN-N-0000,1,2,2011-02-08 00:00:00
BBH,BROWNS BEACH,BBH-N-0000,1,3,2011-03-08 00:00:00
NDB,NAT. DEV. BANK,NDB-N-0000,1,2,2011-04-05 00:00:00
SINS,SINGER SRI LANKA,SINS-N-0000,1,2,2011-04-06 00:00:00
HNB,HNB,HNB-X-0000,2,3,2011-04-06 00:00:00
HNB,HNB,HNB-N-0000,2,3,2011-04-06 00:00:00
MAL,MALWATTE,MAL-N-0000,1,10,2011-04-08 00:00:00
MAL,MALWATTE,MAL-X-0000,1,10,2011-04-08 00:00:00
ECL,E - CHANNELLING,ECL-N-0000,1,7,2011-04-18 00:00:00
CFLB,FORT LAND,CFLB-N-0000,1,5,2011-05-06 00:00:00
SHOT,SERENDIB HOTELS,SHOT-N-0000,1,5,2011-05-06 00:00:00
SHOT,SERENDIB HOTELS,SHOT-X-0000,1,5,2011-05-06 00:00:00
PABC,PAN ASIA,PABC-N-0000,1,2,2011-06-08 00:00:00
UAL,UNION ASSURANCE,UAL-N-0000,1,2,2011-06-29 00:00:00
JKH,JKH,JKH-N-0000,3,4,2011-06-30 00:00:00
AHPL,AHOT PROPERTIES,AHPL-N-0000,1,2,2011-07-01 00:00:00
TRAN,TRANS ASIA,TRAN-N-0000,1,2,2011-07-04 00:00:00
CARE,PRINTCARE PLC,CARE-N-0000,1,5,2011-07-04 00:00:00
TSML,TEA SMALLHOLDER,TSML-N-0000,1,2,2011-07-05 00:00:00
JKL,JOHN KEELLS,JKL-N-0000,1,2,2011-07-05 00:00:00
CCS,COLD STORES,CCS-N-0000,1,4,2011-08-18 00:00:00
CFIN,CENTRAL FINANCE,CFIN-N-0000,1,5,2011-08-25 00:00:00
COMB,COMMERCIAL BANK,COMB-X-0000,1,2,2011-09-15 00:00:00
COMB,COMMERCIAL BANK,COMB-N-0000,1,2,2011-09-15 00:00:00
EMER,EASTERN MERCHANT,EMER-N-0000,1,70,2011-09-20 00:00:00
MORI,MORISONS,MORI-N-0000,1,10,2011-12-28 00:00:00
MORI,MORISONS,MORI-X-0000,1,10,2011-12-28 00:00:00
