Sub Division / Share Splits 2016,,,,,,
Date of Announcement,COMPANY ID,COMPANY NAME,SECURITY,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
2015-12-29 00:00:00,CPRT,Ceylon Printers PLC,CPRT-N-0000,1,10,2016-02-25 00:00:00
2015-12-29 00:00:00,OFEQ,Office Equipment PLC,OFEQ-N-0000,1,10,2016-02-25 00:00:00
2015-12-29 00:00:00,PARA,Paragon Ceylon PLC,PARA-N-0000,1,10,2016-02-25 00:00:00
2015-12-28 00:00:00,AUTO,The Autodrome PLC,AUTO-N-0000,1,10,2016-02-26 00:00:00
2016-04-25 00:00:00,LLUB,Chevron Lubricants Lanka PLC ,LLUB-N-0000,1,2,2016-06-13 00:00:00
2016-05-24 00:00:00,JKH,John Keels Holdings PLC,JKH-N-0000,7,8,2016-06-30 00:00:00
,,John Keels Holdings PLC,JKH-W-0023,,,
2016-05-11 00:00:00,ACL,ACL Cables PLC,ACL-N-0000,1,2,2016-07-04 00:00:00
2016-05-27 00:00:00,CFIN,Central Finance Company PLC,CFIN-N-0000,1,2,2016-07-22 00:00:00
2016-07-29 00:00:00,CIND,Central Industries PLC,CIND-N-0000,1,2,2016-08-03 00:00:00
2016-08-10 00:00:00,ALLI,Alliance Finance Company PLC,ALLI-N-0000,1,10,2016-11-21 00:00:00
