,Sub Division / Share Splits  2021 (January to December),,,,,
No.,Date of Announcement,COMPANY ID,COMPANY NAME,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
1,2020-03-20 00:00:00,CIC,CIC Holding PLC (CIC-N-0000),1,4,2021-01-11 00:00:00
2,2020-11-05 00:00:00,CIC,CIC Holding PLC (CIC-X-0000),1,4,2021-01-11 00:00:00
3,,EBCR,E B Creasy & Company PLC ,1,100,2021-02-09 00:00:00
4,,LALU,Lanka Aluminium Industries PLC ,1,5,2021-02-10 00:00:00
5,,CONN,Amaya Leisure PLC,1,2,2021-02-16 00:00:00
6,,DIPD,Dipped Products PLC,1,10,2021-02-16 00:00:00
7,,HAYC,Haycarb PLC,1,10,2021-02-16 00:00:00
8,,HAYL,Hayleys PLC,1,10,2021-02-16 00:00:00
9,,HEXP,Hayleys Fiber PLC,1,3,2021-02-16 00:00:00
10,,KVAL,Kelani Valley Plantations PLC,1,2,2021-02-16 00:00:00
11,,MGT,Hayleys Fabric PLC,1,2,2021-02-16 00:00:00
12,,TPL,Talawakelle Tea Estates PLC,1,2,2021-02-16 00:00:00
13,,ACL,ACL Cables PLC ,1,2,2021-03-02 00:00:00
14,,ALUM,Alumex PLC,1,2,2021-03-09 00:00:00
15,,SERV,Kingsbury PLC ,1,2,2021-03-09 00:00:00
16,,Unisyst,Unisyst Engineering PLC ,1,2,2021-03-10 00:00:00
17,,REG,Regnis (Lanka) PLC,1,2,2021-03-10 00:00:00
18,,SIND,Singer Industries (Ceylon) PLC ,1,2,2021-03-10 00:00:00
19,,SING,Singer (Sri Lanka) PLC ,1,3,2021-03-10 00:00:00
20,,LFIN,LB Finance PLC ,1,4,2021-03-17 00:00:00
21,,SAMP,Sampath Bank PLC,1,3,2021-03-23 00:00:00
22,,SUN,Sunshine Holdings PLC ,1,3,2021-03-31 00:00:00
23,,LWL,Lanka Walltiles PC,1,5,2021-04-01 00:00:00
24,,PARQ,Swisstek (Ceylon) PLC,1,5,2021-04-01 00:00:00
25,,TILE,Lanka Tiles PLC,1,5,2021-04-01 00:00:00
26,,RCL,Royal Ceramics Lanka PLC,1,10,2021-04-23 00:00:00
27,,VFIN,Vallible Finance PLC ,1,4,2021-07-06 00:00:00
28,,AMF,Associated Motor Finance Company PLC,1,12,2021-10-08 00:00:00
